EP, 13, 2021082206, 01, CARQ, -24, 193N,  986W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 13, 2021082206, 01, CARQ, -18, 192N,  999W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 13, 2021082206, 01, CARQ, -12, 191N, 1014W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 266,  14,     INVEST,  , 
EP, 13, 2021082206, 01, CARQ,  -6, 190N, 1029W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 13, 2021082206, 01, CARQ,   0, 189N, 1043W,  30, 1004, DB,  34, NEQ,    0,    0,    0,    0, 1006,  100,  40,   0,   0,   E,   0,   X, 265,  14,     INVEST, S, 
EP, 13, 2021082206, 01, CARQ,   0, 189N, 1043W,  30, 1004, DB,  50, NEQ,    0,    0,    0,    0, 1006,  100,  40,   0,   0,   E,   0,   X, 265,  14,     INVEST, S, 
EP, 13, 2021082206, 01, CARQ,   0, 189N, 1043W,  30, 1004, DB,  64, NEQ,    0,    0,    0,    0, 1006,  100,  40,   0,   0,   E,   0,   X, 265,  14,     INVEST, S, 
EP, 13, 2021082206, 03, AC00,   0, 184N, 1048W,  23, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,   6, 185N, 1060W,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  12, 190N, 1070W,  39, 1002, XX,  34, NEQ,   67,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  18, 199N, 1084W,  38,  999, XX,  34, NEQ,   89,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  24, 201N, 1100W,  40, 1000, XX,  34, NEQ,   79,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  30, 203N, 1118W,  37,  996, XX,  34, NEQ,   66,    0,    0,   54, 
EP, 13, 2021082206, 03, AC00,  36, 202N, 1134W,  38,  999, XX,  34, NEQ,   66,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  42, 201N, 1148W,  35,  998, XX,  34, NEQ,    0,    0,    0,   51, 
EP, 13, 2021082206, 03, AC00,  48, 199N, 1160W,  36, 1000, XX,  34, NEQ,   43,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  54, 199N, 1173W,  29,  999, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  60, 197N, 1185W,  29, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  66, 195N, 1194W,  28, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  72, 196N, 1205W,  28, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  78, 198N, 1214W,  24, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  84, 200N, 1221W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  90, 200N, 1229W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00,  96, 200N, 1240W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00, 102, 200N, 1250W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 13, 2021082206, 03, AC00, 108, 196N, 1256W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
