AL, 01, 2021051618, GN, OFCL,  48,     ,      ,   0,   48, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021051618, GN, OFCL, 120,     ,      ,   0,  120, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021051618, GN, OFCL, 168,     ,      ,  10,  168, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021051700, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 001, 
AL, 01, 2021051700, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 001, 
AL, 01, 2021051700, GN, OFCL, 168,     ,      ,  10,  168, PPP, genFcst, , ,  0, 001, 
AL, 01, 2021051706, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051706, GN, OFCL, 120,     ,      ,   0,  120, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051706, GN, OFCL, 168,     ,      ,  10,  168, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051712, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 001, 
AL, 01, 2021051712, GN, OFCL, 120,     ,      ,   0,  120, DPB, genFcst, , ,  0, 001, 
AL, 01, 2021051712, GN, OFCL, 168,     ,      ,  10,  168, DPB, genFcst, , ,  0, 001, 
AL, 01, 2021051718, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 001, 
AL, 01, 2021051718, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 001, 
AL, 01, 2021051718, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 001, 
AL, 01, 2021051800, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051800, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051800, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051806, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051806, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051806, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051812, GN, OFCL,  48,     ,      ,   0,   48, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021051812, GN, OFCL, 120,     ,      ,  10,  120, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021051812, GN, OFCL, 168,     ,      ,  20,  168, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021051818, GN, OFCL,  48,     ,      ,   0,   48, WPC, genFcst, , ,  0, 001, 
AL, 01, 2021051818, GN, OFCL, 120,     ,      ,  10,  120, WPC, genFcst, , ,  0, 001, 
AL, 01, 2021051818, GN, OFCL, 168,     ,      ,  20,  168, WPC, genFcst, , ,  0, 001, 
AL, 01, 2021051900, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051900, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051900, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051906, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051906, GN, OFCL, 120,     ,      ,  20,  120, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051906, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021051912, GN, OFCL,  48,     ,      ,   0,   48, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021051912, GN, OFCL, 120,     ,      ,  30,  120, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021051912, GN, OFCL, 168,     ,      ,  30,  168, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021051918, GN, OFCL,  48,     ,      ,  10,   48, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021051918, GN, OFCL, 120,     ,      ,  40,  120, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021051918, GN, OFCL, 168,     ,      ,  40,  168, ESB, genFcst, , ,  0, 001, 
AL, 01, 2021052000, GN, OFCL,  48,     ,      ,  30,   48, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021052000, GN, OFCL, 120,     ,      ,  60,  120, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021052000, GN, OFCL, 168,     ,      ,  70,  168, SRS, genFcst, , ,  0, 001, 
AL, 01, 2021052000, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021052000, al902021,  1, 001, 
AL, 01, 2021052000, IN, IVCN,  12,     ,      ,  68,  37,   ,    4, 
AL, 01, 2021052000, IN, IVCN,  24,     ,      ,  68,  41,   ,    7, 
AL, 01, 2021052000, IN, IVCN,  36,     ,      ,  68,  41,   ,    8, 
AL, 01, 2021052000, IN, IVCN,  48,     ,      ,  68,  38,   ,   10, 
AL, 01, 2021052000, IN, IVCN,  60,     ,      ,  68,  33,   ,   11, 
AL, 01, 2021052000, IN, IVCN,  72,     ,      ,  68,  29,   ,   12, 
AL, 01, 2021052000, IN, IVCN,  96,     ,      ,  68,  25,   ,   14, 
AL, 01, 2021052000, RI, EIOB,  12, 304N,  553W,   0,  20,  50,    ,            0,           12, 
AL, 01, 2021052000, RI, EIOB,  24, 304N,  553W,   0,  25,  55,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOB,  24, 304N,  553W,   0,  30,  60,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOB,  24, 304N,  553W,   0,  35,  65,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOB,  24, 304N,  553W,   0,  40,  70,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOB,  36, 304N,  553W,   0,  45,  75,    ,            0,           36, 
AL, 01, 2021052000, RI, EIOB,  48, 304N,  553W,   0,  55,  85,    ,            0,           48, 
AL, 01, 2021052000, RI, EIOB,  72, 304N,  553W,   0,  65,  95,    ,            0,           72, 
AL, 01, 2021052000, RI, EIOC,  12, 304N,  553W,   0,  20,  50,    ,            0,           12, 
AL, 01, 2021052000, RI, EIOC,  24, 304N,  553W,   0,  25,  55,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOC,  24, 304N,  553W,   0,  30,  60,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOC,  24, 304N,  553W,   0,  35,  65,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOC,  24, 304N,  553W,   0,  40,  70,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOC,  36, 304N,  553W,   0,  45,  75,    ,            0,           36, 
AL, 01, 2021052000, RI, EIOC,  48, 304N,  553W,   0,  55,  85,    ,            0,           48, 
AL, 01, 2021052000, RI, EIOC,  72, 304N,  553W,   0,  65,  95,    ,            0,           72, 
AL, 01, 2021052000, RI, EIOD,  12, 304N,  553W,   0,  20,  50,    ,            0,           12, 
AL, 01, 2021052000, RI, EIOD,  24, 304N,  553W,   0,  25,  55,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOD,  24, 304N,  553W,   0,  30,  60,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOD,  24, 304N,  553W,   0,  35,  65,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOD,  24, 304N,  553W,   0,  40,  70,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOD,  36, 304N,  553W,   0,  45,  75,    ,            0,           36, 
AL, 01, 2021052000, RI, EIOD,  48, 304N,  553W,   0,  55,  85,    ,            0,           48, 
AL, 01, 2021052000, RI, EIOD,  72, 304N,  553W,   0,  65,  95,    ,            0,           72, 
AL, 01, 2021052000, RI, EIOL,  12, 304N,  553W,   0,  20,  50,    ,            0,           12, 
AL, 01, 2021052000, RI, EIOL,  24, 304N,  553W,   0,  25,  55,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOL,  24, 304N,  553W,   0,  30,  60,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOL,  24, 304N,  553W,   0,  35,  65,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOL,  24, 304N,  553W,   0,  40,  70,    ,            0,           24, 
AL, 01, 2021052000, RI, EIOL,  36, 304N,  553W,   0,  45,  75,    ,            0,           36, 
AL, 01, 2021052000, RI, EIOL,  48, 304N,  553W,   0,  55,  85,    ,            0,           48, 
AL, 01, 2021052000, RI, EIOL,  72, 304N,  553W,   0,  65,  95,    ,            0,           72, 
AL, 01, 2021052000, RI, RIOB,  12, 304N,  553W,   0,  20,  50,    ,            0,           12, 
AL, 01, 2021052000, RI, RIOB,  24, 304N,  553W,   0,  25,  55,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOB,  24, 304N,  553W,   0,  30,  60,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOB,  24, 304N,  553W,   0,  35,  65,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOB,  24, 304N,  553W,   0,  40,  70,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOB,  36, 304N,  553W,   0,  45,  75,    ,            0,           36, 
AL, 01, 2021052000, RI, RIOB,  48, 304N,  553W,   0,  55,  85,    ,            0,           48, 
AL, 01, 2021052000, RI, RIOB,  72, 304N,  553W,   0,  65,  95,    ,            0,           72, 
AL, 01, 2021052000, RI, RIOC,  12, 304N,  553W,   0,  20,  50,    ,            0,           12, 
AL, 01, 2021052000, RI, RIOC,  24, 304N,  553W,   0,  25,  55,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOC,  24, 304N,  553W,   0,  30,  60,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOC,  24, 304N,  553W,   0,  35,  65,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOC,  24, 304N,  553W,   0,  40,  70,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOC,  36, 304N,  553W,   0,  45,  75,    ,            0,           36, 
AL, 01, 2021052000, RI, RIOC,  48, 304N,  553W,   0,  55,  85,    ,            0,           48, 
AL, 01, 2021052000, RI, RIOC,  72, 304N,  553W,   0,  65,  95,    ,            0,           72, 
AL, 01, 2021052000, RI, RIOD,  12, 304N,  553W,   0,  20,  50,    ,            0,           12, 
AL, 01, 2021052000, RI, RIOD,  24, 304N,  553W,   0,  25,  55,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOD,  24, 304N,  553W,   0,  30,  60,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOD,  24, 304N,  553W,   0,  35,  65,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOD,  24, 304N,  553W,   0,  40,  70,    ,            0,           24, 
AL, 01, 2021052000, RI, RIOD,  36, 304N,  553W,   0,  45,  75,    ,            0,           36, 
