AL, 02, 2021061318, GN, OFCL,  48,     ,      ,  10,   48, ESB, genFcst, , ,  0, 005, 
AL, 02, 2021061318, GN, OFCL, 120,     ,      ,  20,  120, ESB, genFcst, , ,  0, 005, 
AL, 02, 2021061318, GN, OFCL, 168,     ,      ,  20,  168, ESB, genFcst, , ,  0, 005, 
AL, 02, 2021061400, GN, OFCL,  48,     ,      ,  10,   48,    , genFcst, , ,  0, 005, 
AL, 02, 2021061400, GN, OFCL, 120,     ,      ,  20,  120,    , genFcst, , ,  0, 005, 
AL, 02, 2021061400, GN, OFCL, 168,     ,      ,  20,  168,    , genFcst, , ,  0, 005, 
AL, 02, 2021061400, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021061400, al932021,  1, 005, 
AL, 02, 2021061400, IN, IVCN,  12,     ,      ,  68,  22,   ,    4, 
AL, 02, 2021061400, IN, IVCN,  24,     ,      ,  68,  26,   ,    6, 
AL, 02, 2021061400, IN, IVCN,  36,     ,      ,  68,  31,   ,    7, 
AL, 02, 2021061400, IN, IVCN,  48,     ,      ,  68,  33,   ,   10, 
AL, 02, 2021061400, IN, IVCN,  60,     ,      ,  68,  32,   ,   12, 
AL, 02, 2021061400, IN, IVCN,  72,     ,      ,  68,  29,   ,   13, 
AL, 02, 2021061400, RI, EIOB,  12, 323N,  771W,   0,  20,  40,    ,            0,           12, 
AL, 02, 2021061400, RI, EIOB,  24, 323N,  771W,   0,  25,  45,    ,            0,           24, 
AL, 02, 2021061400, RI, EIOB,  24, 323N,  771W,   0,  30,  50,    ,            0,           24, 
AL, 02, 2021061400, RI, EIOB,  24, 323N,  771W,   0,  35,  55,    ,            0,           24, 
AL, 02, 2021061400, RI, EIOB,  24, 323N,  771W,   0,  40,  60,    ,            0,           24, 
AL, 02, 2021061400, RI, EIOB,  36, 323N,  771W,   0,  45,  65,    ,            0,           36, 
AL, 02, 2021061400, RI, EIOB,  48, 323N,  771W,   0,  55,  75,    ,            0,           48, 
AL, 02, 2021061400, RI, EIOB,  72, 323N,  771W,   0,  65,  85,    ,            0,           72, 
AL, 02, 2021061400, RI, EIOC,  12, 323N,  771W,   1,  20,  40,    ,            0,           12, 
AL, 02, 2021061400, RI, EIOC,  24, 323N,  771W,   1,  25,  45,    ,            0,           24, 
AL, 02, 2021061400, RI, EIOC,  24, 323N,  771W,   1,  30,  50,    ,            0,           24, 
AL, 02, 2021061400, RI, EIOC,  24, 323N,  771W,   0,  35,  55,    ,            0,           24, 
AL, 02, 2021061400, RI, EIOC,  24, 323N,  771W,   0,  40,  60,    ,            0,           24, 
AL, 02, 2021061400, RI, EIOC,  36, 323N,  771W,   0,  45,  65,    ,            0,           36, 
AL, 02, 2021061400, RI, EIOC,  48, 323N,  771W,   0,  55,  75,    ,            0,           48, 
