AL, 03, 2021060900, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021060900, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021060900, GN, OFCL, 168,     ,      ,  10,  168, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021060906, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021060906, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021060906, GN, OFCL, 168,     ,      ,  10,  168, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021060912, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 004, 
AL, 03, 2021060912, GN, OFCL, 120,     ,      ,   0,  120, BJR, genFcst, , ,  0, 004, 
AL, 03, 2021060912, GN, OFCL, 168,     ,      ,  10,  168, BJR, genFcst, , ,  0, 004, 
AL, 03, 2021060918, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 004, 
AL, 03, 2021060918, GN, OFCL, 120,     ,      ,   0,  120, BJR, genFcst, , ,  0, 004, 
AL, 03, 2021060918, GN, OFCL, 168,     ,      ,  10,  168, BJR, genFcst, , ,  0, 004, 
AL, 03, 2021061000, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061000, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061000, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061006, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061006, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061006, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061012, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061012, GN, OFCL, 120,     ,      ,   0,  120, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061012, GN, OFCL, 168,     ,      ,  20,  168, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061018, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 004, 
AL, 03, 2021061018, GN, OFCL, 120,     ,      ,   0,  120, BJR, genFcst, , ,  0, 004, 
AL, 03, 2021061018, GN, OFCL, 168,     ,      ,  20,  168, BJR, genFcst, , ,  0, 004, 
AL, 03, 2021061100, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061100, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061100, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061106, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061106, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061106, GN, OFCL, 168,     ,      ,  40,  168, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061112, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061112, GN, OFCL, 120,     ,      ,  20,  120, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061112, GN, OFCL, 168,     ,      ,  50,  168, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061118, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061118, GN, OFCL, 120,     ,      ,  20,  120, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061118, GN, OFCL, 168,     ,      ,  60,  168, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061200, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061200, GN, OFCL, 120,     ,      ,  30,  120, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061200, GN, OFCL, 168,     ,      ,  60,  168, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061206, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061206, GN, OFCL, 120,     ,      ,  30,  120, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061206, GN, OFCL, 168,     ,      ,  60,  168, PPP, genFcst, , ,  0, 004, 
AL, 03, 2021061212, GN, OFCL,  48,     ,      ,  10,   48, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061212, GN, OFCL, 120,     ,      ,  40,  120, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061212, GN, OFCL, 168,     ,      ,  70,  168, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061218, GN, OFCL,  48,     ,      ,  10,   48, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061218, GN, OFCL, 120,     ,      ,  40,  120, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061218, GN, OFCL, 168,     ,      ,  70,  168, JLB, genFcst, , ,  0, 004, 
AL, 03, 2021061218, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021061218, al922021,  1, 004, 
AL, 03, 2021061218, IN, IVCN,  12,     ,      ,  68,  21,   ,    4, 
AL, 03, 2021061218, IN, IVCN,  24,     ,      ,  68,  23,   ,    5, 
AL, 03, 2021061218, IN, IVCN,  36,     ,      ,  68,  24,   ,    6, 
AL, 03, 2021061218, IN, IVCN,  48,     ,      ,  68,  24,   ,    9, 
AL, 03, 2021061218, IN, IVCN,  60,     ,      ,  68,  26,   ,   11, 
AL, 03, 2021061218, IN, IVCN,  72,     ,      ,  68,  27,   ,   11, 
AL, 03, 2021061218, IN, IVCN,  96,     ,      ,  68,  27,   ,   10, 
AL, 03, 2021061218, IN, IVCN, 120,     ,      ,  68,  41,   ,   13, 
AL, 03, 2021061218, RI, DTPE,  12, 200N,  945W,   0,  20,  40,    ,            0,           12, 
AL, 03, 2021061218, RI, DTPE,  24, 200N,  945W,   0,  25,  45,    ,            0,           24, 
AL, 03, 2021061218, RI, DTPE,  24, 200N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061218, RI, DTPE,  24, 200N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061218, RI, DTPE,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061218, RI, DTPE,  36, 200N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061218, RI, DTPE,  48, 200N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061218, RI, DTPE,  72, 200N,  945W,   0,  65,  85,    ,            0,           72, 
AL, 03, 2021061218, RI, RIOB,  12, 200N,  945W,   0,  20,  40,    ,            0,           12, 
AL, 03, 2021061218, RI, RIOB,  24, 200N,  945W,   0,  25,  45,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOB,  24, 200N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOB,  24, 200N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOB,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOB,  36, 200N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061218, RI, RIOB,  48, 200N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061218, RI, RIOB,  72, 200N,  945W,   1,  65,  85,    ,            0,           72, 
AL, 03, 2021061218, RI, RIOC,  12, 200N,  945W,   1,  20,  40,    ,            0,           12, 
AL, 03, 2021061218, RI, RIOC,  24, 200N,  945W,   3,  25,  45,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOC,  24, 200N,  945W,   2,  30,  50,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOC,  24, 200N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOC,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOC,  36, 200N,  945W,   1,  45,  65,    ,            0,           36, 
AL, 03, 2021061218, RI, RIOC,  48, 200N,  945W,   1,  55,  75,    ,            0,           48, 
AL, 03, 2021061218, RI, RIOC,  72, 200N,  945W,   1,  65,  85,    ,            0,           72, 
AL, 03, 2021061218, RI, RIOD,  12, 200N,  945W,   0,  20,  40,    ,            0,           12, 
AL, 03, 2021061218, RI, RIOD,  24, 200N,  945W,   0,  25,  45,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOD,  24, 200N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOD,  24, 200N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOD,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOD,  36, 200N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061218, RI, RIOD,  48, 200N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061218, RI, RIOD,  72, 200N,  945W,   0,  65,  85,    ,            0,           72, 
AL, 03, 2021061218, RI, RIOL,  12, 200N,  945W,   3,  20,  40,    ,            0,           12, 
AL, 03, 2021061218, RI, RIOL,  24, 200N,  945W,  10,  25,  45,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOL,  24, 200N,  945W,   5,  30,  50,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOL,  24, 200N,  945W,   1,  35,  55,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOL,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061218, RI, RIOL,  36, 200N,  945W,   2,  45,  65,    ,            0,           36, 
AL, 03, 2021061218, RI, RIOL,  48, 200N,  945W,   2,  55,  75,    ,            0,           48, 
AL, 03, 2021061218, RI, RIOL,  72, 200N,  945W,   3,  65,  85,    ,            0,           72, 
AL, 03, 2021061300, IN, ICON,  12,     ,      ,  68,  25,   ,    4, 
AL, 03, 2021061300, IN, ICON,  24,     ,      ,  68,  27,   ,    6, 
AL, 03, 2021061300, IN, ICON,  36,     ,      ,  68,  29,   ,    7, 
AL, 03, 2021061300, IN, IVCN,  12,     ,      ,  68,  25,   ,    4, 
AL, 03, 2021061300, IN, IVCN,  24,     ,      ,  68,  27,   ,    6, 
AL, 03, 2021061300, IN, IVCN,  36,     ,      ,  68,  29,   ,    7, 
AL, 03, 2021061300, IN, IVCN,  48,     ,      ,  68,  30,   ,   10, 
AL, 03, 2021061300, IN, IVCN,  60,     ,      ,  68,  33,   ,   12, 
AL, 03, 2021061300, IN, IVCN,  72,     ,      ,  68,  33,   ,   16, 
AL, 03, 2021061300, IN, IVCN,  96,     ,      ,  68,  38,   ,   17, 
AL, 03, 2021061300, IN, IVCN, 120,     ,      ,  68,  49,   ,   15, 
AL, 03, 2021061300, RI, DTOP,  12, 200N,  945W,   0,  20,  40,    ,            0,           12, 
AL, 03, 2021061300, RI, DTOP,  24, 200N,  945W,   0,  25,  45,    ,            0,           24, 
AL, 03, 2021061300, RI, DTOP,  24, 200N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061300, RI, DTOP,  24, 200N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061300, RI, DTOP,  24, 200N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061300, RI, DTOP,  36, 200N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061300, RI, DTOP,  48, 200N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061300, RI, DTOP,  72, 200N,  945W,   0,  65,  85,    ,            0,           72, 
AL, 03, 2021061300, RI, DTPE,  12, 200N,  945W,   0,  20,  40,    ,            0,           12, 
AL, 03, 2021061300, RI, DTPE,  24, 200N,  945W,   0,  25,  45,    ,            0,           24, 
AL, 03, 2021061300, RI, DTPE,  24, 200N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061300, RI, DTPE,  24, 200N,  945W,   0,  35,  55,    ,            0,           24, 
