AL, 05, 2021062818, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 010, 
AL, 05, 2021062818, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 010, 
AL, 05, 2021062818, GN, OFCL, 168,     ,      ,  10,  168, SRS, genFcst, , ,  0, 010, 
AL, 05, 2021062900, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 010, 
AL, 05, 2021062900, GN, OFCL, 120,     ,      ,  10,  120, JPC, genFcst, , ,  0, 010, 
AL, 05, 2021062900, GN, OFCL, 168,     ,      ,  10,  168, JPC, genFcst, , ,  0, 010, 
AL, 05, 2021062906, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 010, 
AL, 05, 2021062906, GN, OFCL, 120,     ,      ,  10,  120, RJP, genFcst, , ,  0, 010, 
AL, 05, 2021062906, GN, OFCL, 168,     ,      ,  20,  168, RJP, genFcst, , ,  0, 010, 
AL, 05, 2021062912, GN, OFCL,  48,     ,      ,  10,   48, JLB, genFcst, , ,  0, 010, 
AL, 05, 2021062912, GN, OFCL, 120,     ,      ,  20,  120, JLB, genFcst, , ,  0, 010, 
AL, 05, 2021062912, GN, OFCL, 168,     ,      ,  30,  168, JLB, genFcst, , ,  0, 010, 
AL, 05, 2021062912, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021062912, al972021,  1, 010, 
AL, 05, 2021062912, IN, IVCN,  12,     ,      ,  68,  32,   ,    4, 
AL, 05, 2021062912, IN, IVCN,  24,     ,      ,  68,  41,   ,    7, 
AL, 05, 2021062912, IN, IVCN,  36,     ,      ,  68,  50,   ,    9, 
AL, 05, 2021062912, IN, IVCN,  48,     ,      ,  68,  58,   ,   15, 
AL, 05, 2021062912, IN, IVCN,  60,     ,      ,  68,  64,   ,   18, 
AL, 05, 2021062912, IN, IVCN,  72,     ,      ,  68,  69,   ,   18, 
AL, 05, 2021062912, IN, IVCN,  96,     ,      ,  68,  73,   ,   19, 
AL, 05, 2021062912, IN, IVCN, 120,     ,      ,  68,  78,   ,   21, 
AL, 05, 2021062912, RI, EIOB,  12,  80N,  347W,   2,  20,  45,    ,            0,           12, 
AL, 05, 2021062912, RI, EIOB,  24,  80N,  347W,  18,  25,  50,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOB,  24,  80N,  347W,   3,  30,  55,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOB,  24,  80N,  347W,   0,  35,  60,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOB,  24,  80N,  347W,   0,  40,  65,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOB,  36,  80N,  347W,   3,  45,  70,    ,            0,           36, 
AL, 05, 2021062912, RI, EIOB,  48,  80N,  347W,   3,  55,  80,    ,            0,           48, 
AL, 05, 2021062912, RI, EIOB,  72,  80N,  347W,   4,  65,  90,    ,            0,           72, 
AL, 05, 2021062912, RI, EIOC,  12,  80N,  347W,   4,  20,  45,    ,            0,           12, 
AL, 05, 2021062912, RI, EIOC,  24,  80N,  347W,  18,  25,  50,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOC,  24,  80N,  347W,   7,  30,  55,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOC,  24,  80N,  347W,   3,  35,  60,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOC,  24,  80N,  347W,   1,  40,  65,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOC,  36,  80N,  347W,   4,  45,  70,    ,            0,           36, 
AL, 05, 2021062912, RI, EIOC,  48,  80N,  347W,  10,  55,  80,    ,            0,           48, 
AL, 05, 2021062912, RI, EIOC,  72,  80N,  347W,  12,  65,  90,    ,            0,           72, 
AL, 05, 2021062912, RI, EIOD,  12,  80N,  347W,   4,  20,  45,    ,            0,           12, 
AL, 05, 2021062912, RI, EIOD,  24,  80N,  347W,  13,  25,  50,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOD,  24,  80N,  347W,   9,  30,  55,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOD,  24,  80N,  347W,   7,  35,  60,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOD,  24,  80N,  347W,   0,  40,  65,    ,            0,           24, 
AL, 05, 2021062912, RI, EIOD,  36,  80N,  347W,   0,  45,  70,    ,            0,           36, 
