AL, 06, 2021080406, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 018, 
AL, 06, 2021080406, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 018, 
AL, 06, 2021080406, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 018, 
AL, 06, 2021080412, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080412, GN, OFCL, 120,     ,      ,  20,  120, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080412, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080418, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080418, GN, OFCL, 120,     ,      ,  20,  120, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080418, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080500, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 018, 
AL, 06, 2021080500, GN, OFCL, 120,     ,      ,  20,  120, RJP, genFcst, , ,  0, 018, 
AL, 06, 2021080500, GN, OFCL, 168,     ,      ,  30,  168, RJP, genFcst, , ,  0, 018, 
AL, 06, 2021080506, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 018, 
AL, 06, 2021080506, GN, OFCL, 120,     ,      ,  20,  120, PPP, genFcst, , ,  0, 018, 
AL, 06, 2021080506, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 018, 
AL, 06, 2021080512, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080512, GN, OFCL, 120,     ,      ,  20,  120, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080512, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080518, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080518, GN, OFCL, 120,     ,      ,  20,  120, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080518, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 018, 
AL, 06, 2021080600, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 018, 
AL, 06, 2021080600, GN, OFCL, 120,     ,      ,  20,  120, JPC, genFcst, , ,  0, 018, 
AL, 06, 2021080600, GN, OFCL, 168,     ,      ,  30,  168, JPC, genFcst, , ,  0, 018, 
AL, 06, 2021080606, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 018, 
AL, 06, 2021080606, GN, OFCL, 120,     ,      ,  20,  120, PPP, genFcst, , ,  0, 018, 
AL, 06, 2021080606, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 018, 
AL, 06, 2021080612, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080612, GN, OFCL, 120,     ,      ,  20,  120, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080612, GN, OFCL, 168,     ,      ,  30,  168, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080618, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080618, GN, OFCL, 120,     ,      ,  20,  120, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080618, GN, OFCL, 168,     ,      ,  30,  168, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080700, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 018, 
AL, 06, 2021080700, GN, OFCL, 120,     ,      ,  10,  120, RJB, genFcst, , ,  0, 018, 
AL, 06, 2021080700, GN, OFCL, 168,     ,      ,  20,  168, RJB, genFcst, , ,  0, 018, 
AL, 06, 2021080706, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 018, 
AL, 06, 2021080706, GN, OFCL, 120,     ,      ,  10,  120, RJB, genFcst, , ,  0, 018, 
AL, 06, 2021080706, GN, OFCL, 168,     ,      ,  20,  168, RJB, genFcst, , ,  0, 018, 
AL, 06, 2021080712, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080712, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080712, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080718, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080718, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080718, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 018, 
AL, 06, 2021080800, GN, OFCL,  48,     ,      ,  10,   48, RJB, genFcst, , ,  0, 018, 
AL, 06, 2021080800, GN, OFCL, 120,     ,      ,  20,  120, RJB, genFcst, , ,  0, 018, 
AL, 06, 2021080800, GN, OFCL, 168,     ,      ,  20,  168, RJB, genFcst, , ,  0, 018, 
AL, 06, 2021080806, GN, OFCL,  48,     ,      ,  20,   48, RJP, genFcst, , ,  0, 018, 
AL, 06, 2021080806, GN, OFCL, 120,     ,      ,  30,  120, RJP, genFcst, , ,  0, 018, 
AL, 06, 2021080806, GN, OFCL, 168,     ,      ,  40,  168, RJP, genFcst, , ,  0, 018, 
AL, 06, 2021080806, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021080806, al942021,  1, 018, 
AL, 06, 2021080812, IN, IVCN,  12,     ,      ,  68,  27,   ,    4, 
AL, 06, 2021080812, IN, IVCN,  24,     ,      ,  68,  31,   ,    6, 
AL, 06, 2021080812, IN, IVCN,  36,     ,      ,  68,  37,   ,    8, 
AL, 06, 2021080812, IN, IVCN,  48,     ,      ,  68,  43,   ,   12, 
AL, 06, 2021080812, IN, IVCN,  60,     ,      ,  68,  48,   ,   15, 
AL, 06, 2021080812, IN, IVCN,  72,     ,      ,  68,  47,   ,   18, 
AL, 06, 2021080812, IN, IVCN,  96,     ,      ,  68,  53,   ,   17, 
AL, 06, 2021080812, IN, IVCN, 120,     ,      ,  68,  56,   ,   16, 
AL, 06, 2021080812, RI, EIOB,  12, 119N,  528W,   1,  20,  45,    ,            0,           12, 
AL, 06, 2021080812, RI, EIOB,  24, 119N,  528W,   3,  25,  50,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOB,  24, 119N,  528W,   4,  30,  55,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOB,  24, 119N,  528W,   0,  35,  60,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOB,  24, 119N,  528W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOB,  36, 119N,  528W,   2,  45,  70,    ,            0,           36, 
AL, 06, 2021080812, RI, EIOB,  48, 119N,  528W,   2,  55,  80,    ,            0,           48, 
AL, 06, 2021080812, RI, EIOB,  72, 119N,  528W,   5,  65,  90,    ,            0,           72, 
AL, 06, 2021080812, RI, EIOC,  12, 119N,  528W,   4,  20,  45,    ,            0,           12, 
AL, 06, 2021080812, RI, EIOC,  24, 119N,  528W,  10,  25,  50,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOC,  24, 119N,  528W,   8,  30,  55,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOC,  24, 119N,  528W,   4,  35,  60,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOC,  24, 119N,  528W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOC,  36, 119N,  528W,   2,  45,  70,    ,            0,           36, 
AL, 06, 2021080812, RI, EIOC,  48, 119N,  528W,   6,  55,  80,    ,            0,           48, 
AL, 06, 2021080812, RI, EIOC,  72, 119N,  528W,   5,  65,  90,    ,            0,           72, 
AL, 06, 2021080812, RI, EIOD,  12, 119N,  528W,   4,  20,  45,    ,            0,           12, 
AL, 06, 2021080812, RI, EIOD,  24, 119N,  528W,  14,  25,  50,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOD,  24, 119N,  528W,   9,  30,  55,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOD,  24, 119N,  528W,   7,  35,  60,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOD,  24, 119N,  528W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOD,  36, 119N,  528W,   0,  45,  70,    ,            0,           36, 
AL, 06, 2021080812, RI, EIOD,  48, 119N,  528W,  11,  55,  80,    ,            0,           48, 
AL, 06, 2021080812, RI, EIOD,  72, 119N,  528W,   0,  65,  90,    ,            0,           72, 
AL, 06, 2021080812, RI, EIOL,  12, 119N,  528W,   5,  20,  45,    ,            0,           12, 
AL, 06, 2021080812, RI, EIOL,  24, 119N,  528W,  11,  25,  50,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOL,  24, 119N,  528W,  11,  30,  55,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOL,  24, 119N,  528W,   3,  35,  60,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOL,  24, 119N,  528W,   1,  40,  65,    ,            0,           24, 
AL, 06, 2021080812, RI, EIOL,  36, 119N,  528W,   4,  45,  70,    ,            0,           36, 
AL, 06, 2021080812, RI, EIOL,  48, 119N,  528W,   4,  55,  80,    ,            0,           48, 
AL, 06, 2021080812, RI, EIOL,  72, 119N,  528W,   9,  65,  90,    ,            0,           72, 
AL, 06, 2021080812, RI, RIOB,  12, 119N,  528W,   1,  20,  45,    ,            0,           12, 
AL, 06, 2021080812, RI, RIOB,  24, 119N,  528W,   9,  25,  50,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOB,  24, 119N,  528W,   3,  30,  55,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOB,  24, 119N,  528W,   0,  35,  60,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOB,  24, 119N,  528W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOB,  36, 119N,  528W,   3,  45,  70,    ,            0,           36, 
AL, 06, 2021080812, RI, RIOB,  48, 119N,  528W,   2,  55,  80,    ,            0,           48, 
AL, 06, 2021080812, RI, RIOB,  72, 119N,  528W,   5,  65,  90,    ,            0,           72, 
AL, 06, 2021080812, RI, RIOC,  12, 119N,  528W,   4,  20,  45,    ,            0,           12, 
AL, 06, 2021080812, RI, RIOC,  24, 119N,  528W,  11,  25,  50,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOC,  24, 119N,  528W,   8,  30,  55,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOC,  24, 119N,  528W,   4,  35,  60,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOC,  24, 119N,  528W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOC,  36, 119N,  528W,   2,  45,  70,    ,            0,           36, 
AL, 06, 2021080812, RI, RIOC,  48, 119N,  528W,   5,  55,  80,    ,            0,           48, 
AL, 06, 2021080812, RI, RIOC,  72, 119N,  528W,   3,  65,  90,    ,            0,           72, 
AL, 06, 2021080812, RI, RIOD,  12, 119N,  528W,   5,  20,  45,    ,            0,           12, 
AL, 06, 2021080812, RI, RIOD,  24, 119N,  528W,  15,  25,  50,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOD,  24, 119N,  528W,   9,  30,  55,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOD,  24, 119N,  528W,   7,  35,  60,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOD,  24, 119N,  528W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOD,  36, 119N,  528W,   0,  45,  70,    ,            0,           36, 
AL, 06, 2021080812, RI, RIOD,  48, 119N,  528W,  11,  55,  80,    ,            0,           48, 
AL, 06, 2021080812, RI, RIOD,  72, 119N,  528W,   0,  65,  90,    ,            0,           72, 
AL, 06, 2021080812, RI, RIOL,  12, 119N,  528W,   5,  20,  45,    ,            0,           12, 
AL, 06, 2021080812, RI, RIOL,  24, 119N,  528W,  11,  25,  50,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOL,  24, 119N,  528W,  12,  30,  55,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOL,  24, 119N,  528W,   3,  35,  60,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOL,  24, 119N,  528W,   0,  40,  65,    ,            0,           24, 
AL, 06, 2021080812, RI, RIOL,  36, 119N,  528W,   3,  45,  70,    ,            0,           36, 
AL, 06, 2021080812, RI, RIOL,  48, 119N,  528W,   2,  55,  80,    ,            0,           48, 
AL, 06, 2021080812, RI, RIOL,  72, 119N,  528W,   2,  65,  90,    ,            0,           72, 
AL, 06, 2021080818, IN, ICON,  12,     ,      ,  68,  28,   ,    4, 
