AL, 07, 2021081018, GN, OFCL,  48,     ,      ,  10,   48, ASL, genFcst, , ,  0, 020, 
AL, 07, 2021081018, GN, OFCL, 120,     ,      ,  20,  120, ASL, genFcst, , ,  0, 020, 
AL, 07, 2021081018, GN, OFCL, 168,     ,      ,  30,  168, ASL, genFcst, , ,  0, 020, 
AL, 07, 2021081018, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021081018, al952021,  1, 020, 
AL, 07, 2021081018, IN, IVCN,  12,     ,      ,  68,  28,   ,    4, 
AL, 07, 2021081018, IN, IVCN,  24,     ,      ,  68,  31,   ,    6, 
AL, 07, 2021081018, IN, IVCN,  36,     ,      ,  68,  34,   ,    7, 
AL, 07, 2021081018, IN, IVCN,  48,     ,      ,  68,  37,   ,   11, 
AL, 07, 2021081018, IN, IVCN,  60,     ,      ,  68,  39,   ,   13, 
AL, 07, 2021081018, IN, IVCN,  72,     ,      ,  68,  44,   ,   18, 
AL, 07, 2021081018, IN, IVCN,  96,     ,      ,  68,  54,   ,   21, 
AL, 07, 2021081018, IN, IVCN, 120,     ,      ,  68,  73,   ,   21, 
AL, 07, 2021081018, RI, DTPE,  12, 115N,  280W,   0,  20,  45,    ,            0,           12, 
AL, 07, 2021081018, RI, DTPE,  24, 115N,  280W,   0,  25,  50,    ,            0,           24, 
AL, 07, 2021081018, RI, DTPE,  24, 115N,  280W,   0,  30,  55,    ,            0,           24, 
AL, 07, 2021081018, RI, DTPE,  24, 115N,  280W,   0,  35,  60,    ,            0,           24, 
AL, 07, 2021081018, RI, DTPE,  24, 115N,  280W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081018, RI, DTPE,  36, 115N,  280W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081018, RI, DTPE,  48, 115N,  280W,   0,  55,  80,    ,            0,           48, 
AL, 07, 2021081018, RI, DTPE,  72, 115N,  280W,   0,  65,  90,    ,            0,           72, 
AL, 07, 2021081018, RI, EIOB,  12, 115N,  280W,   0,  20,  45,    ,            0,           12, 
AL, 07, 2021081018, RI, EIOB,  24, 115N,  280W,  14,  25,  50,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOB,  24, 115N,  280W,   2,  30,  55,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOB,  24, 115N,  280W,   0,  35,  60,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOB,  24, 115N,  280W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOB,  36, 115N,  280W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081018, RI, EIOB,  48, 115N,  280W,   1,  55,  80,    ,            0,           48, 
AL, 07, 2021081018, RI, EIOB,  72, 115N,  280W,   3,  65,  90,    ,            0,           72, 
AL, 07, 2021081018, RI, EIOC,  12, 115N,  280W,   3,  20,  45,    ,            0,           12, 
AL, 07, 2021081018, RI, EIOC,  24, 115N,  280W,  14,  25,  50,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOC,  24, 115N,  280W,   6,  30,  55,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOC,  24, 115N,  280W,   3,  35,  60,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOC,  24, 115N,  280W,   1,  40,  65,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOC,  36, 115N,  280W,   2,  45,  70,    ,            0,           36, 
AL, 07, 2021081018, RI, EIOC,  48, 115N,  280W,   6,  55,  80,    ,            0,           48, 
AL, 07, 2021081018, RI, EIOC,  72, 115N,  280W,   8,  65,  90,    ,            0,           72, 
AL, 07, 2021081018, RI, EIOD,  12, 115N,  280W,   4,  20,  45,    ,            0,           12, 
AL, 07, 2021081018, RI, EIOD,  24, 115N,  280W,  11,  25,  50,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOD,  24, 115N,  280W,   8,  30,  55,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOD,  24, 115N,  280W,   6,  35,  60,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOD,  24, 115N,  280W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOD,  36, 115N,  280W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081018, RI, EIOD,  48, 115N,  280W,   7,  55,  80,    ,            0,           48, 
AL, 07, 2021081018, RI, EIOD,  72, 115N,  280W,   0,  65,  90,    ,            0,           72, 
AL, 07, 2021081018, RI, EIOL,  12, 115N,  280W,   5,  20,  45,    ,            0,           12, 
AL, 07, 2021081018, RI, EIOL,  24, 115N,  280W,  16,  25,  50,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOL,  24, 115N,  280W,   9,  30,  55,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOL,  24, 115N,  280W,   3,  35,  60,    ,            0,           24, 
AL, 07, 2021081018, RI, EIOL,  24, 115N,  280W,   3,  40,  65,    ,            0,           24, 
