AL, 08, 2021081400, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 021, 
AL, 08, 2021081400, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 021, 
AL, 08, 2021081400, GN, OFCL, 168,     ,      ,  10,  168, PPP, genFcst, , ,  0, 021, 
AL, 08, 2021081412, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 021, 
AL, 08, 2021081412, GN, OFCL, 120,     ,      ,  10,  120, RJP, genFcst, , ,  0, 021, 
AL, 08, 2021081412, GN, OFCL, 168,     ,      ,  10,  168, RJP, genFcst, , ,  0, 021, 
AL, 08, 2021081418, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 021, 
AL, 08, 2021081418, GN, OFCL, 120,     ,      ,  10,  120, RJP, genFcst, , ,  0, 021, 
AL, 08, 2021081418, GN, OFCL, 168,     ,      ,  10,  168, RJP, genFcst, , ,  0, 021, 
AL, 08, 2021081500, GN, OFCL,  48,     ,      ,  20,   48, PPP, genFcst, , ,  0, 021, 
AL, 08, 2021081500, GN, OFCL, 120,     ,      ,  30,  120, PPP, genFcst, , ,  0, 021, 
AL, 08, 2021081500, GN, OFCL, 168,     ,      ,  40,  168, PPP, genFcst, , ,  0, 021, 
AL, 08, 2021081500, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021081500, al962021,  1, 021, 
AL, 08, 2021081500, IN, IVCN,  12,     ,      ,  68,  30,   ,    4, 
AL, 08, 2021081500, IN, IVCN,  24,     ,      ,  68,  34,   ,    6, 
AL, 08, 2021081500, IN, IVCN,  36,     ,      ,  68,  38,   ,    8, 
AL, 08, 2021081500, IN, IVCN,  48,     ,      ,  68,  43,   ,   12, 
AL, 08, 2021081500, IN, IVCN,  60,     ,      ,  68,  45,   ,   14, 
AL, 08, 2021081500, IN, IVCN,  72,     ,      ,  68,  47,   ,   15, 
AL, 08, 2021081500, IN, IVCN,  96,     ,      ,  68,  47,   ,   15, 
AL, 08, 2021081500, IN, IVCN, 120,     ,      ,  68,  43,   ,   11, 
AL, 08, 2021081500, RI, EIOB,  12, 360N,  635W,   0,  20,  45,    ,            0,           12, 
AL, 08, 2021081500, RI, EIOB,  24, 360N,  635W,   0,  25,  50,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOB,  24, 360N,  635W,   0,  30,  55,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOB,  24, 360N,  635W,   0,  35,  60,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOB,  24, 360N,  635W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOB,  36, 360N,  635W,   0,  45,  70,    ,            0,           36, 
AL, 08, 2021081500, RI, EIOB,  48, 360N,  635W,   0,  55,  80,    ,            0,           48, 
AL, 08, 2021081500, RI, EIOB,  72, 360N,  635W,   0,  65,  90,    ,            0,           72, 
AL, 08, 2021081500, RI, EIOC,  12, 360N,  635W,   2,  20,  45,    ,            0,           12, 
AL, 08, 2021081500, RI, EIOC,  24, 360N,  635W,   8,  25,  50,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOC,  24, 360N,  635W,   5,  30,  55,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOC,  24, 360N,  635W,   1,  35,  60,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOC,  24, 360N,  635W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOC,  36, 360N,  635W,   3,  45,  70,    ,            0,           36, 
AL, 08, 2021081500, RI, EIOC,  48, 360N,  635W,   4,  55,  80,    ,            0,           48, 
AL, 08, 2021081500, RI, EIOC,  72, 360N,  635W,   9,  65,  90,    ,            0,           72, 
AL, 08, 2021081500, RI, EIOD,  12, 360N,  635W,   3,  20,  45,    ,            0,           12, 
AL, 08, 2021081500, RI, EIOD,  24, 360N,  635W,   8,  25,  50,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOD,  24, 360N,  635W,   6,  30,  55,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOD,  24, 360N,  635W,   0,  35,  60,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOD,  24, 360N,  635W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOD,  36, 360N,  635W,   0,  45,  70,    ,            0,           36, 
AL, 08, 2021081500, RI, EIOD,  48, 360N,  635W,   0,  55,  80,    ,            0,           48, 
AL, 08, 2021081500, RI, EIOD,  72, 360N,  635W,   0,  65,  90,    ,            0,           72, 
AL, 08, 2021081500, RI, EIOL,  12, 360N,  635W,   4,  20,  45,    ,            0,           12, 
AL, 08, 2021081500, RI, EIOL,  24, 360N,  635W,  15,  25,  50,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOL,  24, 360N,  635W,   9,  30,  55,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOL,  24, 360N,  635W,   3,  35,  60,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOL,  24, 360N,  635W,   1,  40,  65,    ,            0,           24, 
AL, 08, 2021081500, RI, EIOL,  36, 360N,  635W,   8,  45,  70,    ,            0,           36, 
AL, 08, 2021081500, RI, EIOL,  48, 360N,  635W,  13,  55,  80,    ,            0,           48, 
AL, 08, 2021081500, RI, EIOL,  72, 360N,  635W,  27,  65,  90,    ,            0,           72, 
AL, 08, 2021081500, RI, RIOB,  12, 360N,  635W,   1,  20,  45,    ,            0,           12, 
AL, 08, 2021081500, RI, RIOB,  24, 360N,  635W,   0,  25,  50,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOB,  24, 360N,  635W,   0,  30,  55,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOB,  24, 360N,  635W,   0,  35,  60,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOB,  24, 360N,  635W,   0,  40,  65,    ,            0,           24, 
AL, 08, 2021081500, RI, RIOB,  36, 360N,  635W,   0,  45,  70,    ,            0,           36, 
AL, 08, 2021081500, RI, RIOB,  48, 360N,  635W,   0,  55,  80,    ,            0,           48, 
AL, 08, 2021081500, RI, RIOB,  72, 360N,  635W,   0,  65,  90,    ,            0,           72, 
AL, 08, 2021081500, RI, RIOC,  12, 360N,  635W,   2,  20,  45,    ,            0,           12, 
