AL, 09, 2021082500, IN, IVCN,  12,     ,      ,  68,  21,   ,    4, 
AL, 09, 2021082500, IN, IVCN,  24,     ,      ,  68,  22,   ,    5, 
AL, 09, 2021082500, IN, IVCN,  36,     ,      ,  68,  23,   ,    6, 
AL, 09, 2021082500, IN, IVCN,  48,     ,      ,  68,  26,   ,    9, 
AL, 09, 2021082500, IN, IVCN,  60,     ,      ,  68,  28,   ,   11, 
AL, 09, 2021082500, IN, IVCN,  72,     ,      ,  68,  30,   ,   16, 
AL, 09, 2021082500, IN, IVCN,  96,     ,      ,  68,  32,   ,   16, 
AL, 09, 2021082500, IN, IVCN, 120,     ,      ,  68,  40,   ,   20, 
AL, 09, 2021082500, RI, EIOB,  12, 119N,  690W,   1,  20,  40,    ,            0,           12, 
AL, 09, 2021082500, RI, EIOB,  24, 119N,  690W,  12,  25,  45,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOB,  24, 119N,  690W,   1,  30,  50,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOB,  24, 119N,  690W,   0,  35,  55,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOB,  24, 119N,  690W,   0,  40,  60,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOB,  36, 119N,  690W,   1,  45,  65,    ,            0,           36, 
AL, 09, 2021082500, RI, EIOB,  48, 119N,  690W,   2,  55,  75,    ,            0,           48, 
AL, 09, 2021082500, RI, EIOB,  72, 119N,  690W,   8,  65,  85,    ,            0,           72, 
AL, 09, 2021082500, RI, EIOC,  12, 119N,  690W,   2,  20,  40,    ,            0,           12, 
AL, 09, 2021082500, RI, EIOC,  24, 119N,  690W,  15,  25,  45,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOC,  24, 119N,  690W,   5,  30,  50,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOC,  24, 119N,  690W,   2,  35,  55,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOC,  24, 119N,  690W,   1,  40,  60,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOC,  36, 119N,  690W,   6,  45,  65,    ,            0,           36, 
AL, 09, 2021082500, RI, EIOC,  48, 119N,  690W,  13,  55,  75,    ,            0,           48, 
AL, 09, 2021082500, RI, EIOC,  72, 119N,  690W,  24,  65,  85,    ,            0,           72, 
AL, 09, 2021082500, RI, EIOD,  12, 119N,  690W,   0,  20,  40,    ,            0,           12, 
AL, 09, 2021082500, RI, EIOD,  24, 119N,  690W,   0,  25,  45,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOD,  24, 119N,  690W,   0,  30,  50,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOD,  24, 119N,  690W,   0,  35,  55,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOD,  24, 119N,  690W,   0,  40,  60,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOD,  36, 119N,  690W,   0,  45,  65,    ,            0,           36, 
AL, 09, 2021082500, RI, EIOD,  48, 119N,  690W,   0,  55,  75,    ,            0,           48, 
AL, 09, 2021082500, RI, EIOD,  72, 119N,  690W,   0,  65,  85,    ,            0,           72, 
AL, 09, 2021082500, RI, EIOL,  12, 119N,  690W,   4,  20,  40,    ,            0,           12, 
AL, 09, 2021082500, RI, EIOL,  24, 119N,  690W,  33,  25,  45,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOL,  24, 119N,  690W,  13,  30,  50,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOL,  24, 119N,  690W,   5,  35,  55,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOL,  24, 119N,  690W,   3,  40,  60,    ,            0,           24, 
AL, 09, 2021082500, RI, EIOL,  36, 119N,  690W,  16,  45,  65,    ,            0,           36, 
AL, 09, 2021082500, RI, EIOL,  48, 119N,  690W,  35,  55,  75,    ,            0,           48, 
AL, 09, 2021082500, RI, EIOL,  72, 119N,  690W,  64,  65,  85,    ,            0,           72, 
AL, 09, 2021082500, RI, RIOB,  12, 119N,  690W,   1,  20,  40,    ,            0,           12, 
AL, 09, 2021082500, RI, RIOB,  24, 119N,  690W,  11,  25,  45,    ,            0,           24, 
