AL, 10, 2021081918, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 024, 
AL, 10, 2021081918, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 024, 
AL, 10, 2021081918, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 024, 
AL, 10, 2021082000, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 024, 
AL, 10, 2021082000, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 024, 
AL, 10, 2021082000, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 024, 
AL, 10, 2021082006, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 024, 
AL, 10, 2021082006, GN, OFCL, 120,     ,      ,   0,  120, RJB, genFcst, , ,  0, 024, 
AL, 10, 2021082006, GN, OFCL, 168,     ,      ,  20,  168, RJB, genFcst, , ,  0, 024, 
AL, 10, 2021082012, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 024, 
AL, 10, 2021082012, GN, OFCL, 120,     ,      ,   0,  120, JPC, genFcst, , ,  0, 024, 
AL, 10, 2021082012, GN, OFCL, 168,     ,      ,  20,  168, JPC, genFcst, , ,  0, 024, 
AL, 10, 2021082100, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 024, 
AL, 10, 2021082100, GN, OFCL, 120,     ,      ,   0,  120, JLB, genFcst, , ,  0, 024, 
AL, 10, 2021082100, GN, OFCL, 168,     ,      ,  20,  168, JLB, genFcst, , ,  0, 024, 
AL, 10, 2021082106, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 024, 
AL, 10, 2021082106, GN, OFCL, 120,     ,      ,   0,  120, DPB, genFcst, , ,  0, 024, 
AL, 10, 2021082106, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 024, 
AL, 10, 2021082112, GN, OFCL,  48,     ,      ,   0,   48,    , genFcst, , ,  0, 024, 
AL, 10, 2021082112, GN, OFCL, 120,     ,      ,   0,  120,    , genFcst, , ,  0, 024, 
AL, 10, 2021082112, GN, OFCL, 168,     ,      ,  20,  168,    , genFcst, , ,  0, 024, 
AL, 10, 2021082118, GN, OFCL,  48,     ,      ,   0,   48,    , genFcst, , ,  0, 024, 
AL, 10, 2021082118, GN, OFCL, 120,     ,      ,   0,  120,    , genFcst, , ,  0, 024, 
AL, 10, 2021082118, GN, OFCL, 168,     ,      ,  20,  168,    , genFcst, , ,  0, 024, 
AL, 10, 2021082200, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 024, 
AL, 10, 2021082200, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 024, 
AL, 10, 2021082200, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 024, 
AL, 10, 2021082206, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 024, 
AL, 10, 2021082206, GN, OFCL, 120,     ,      ,  10,  120, ASL, genFcst, , ,  0, 024, 
AL, 10, 2021082206, GN, OFCL, 168,     ,      ,  30,  168, ASL, genFcst, , ,  0, 024, 
AL, 10, 2021082212, GN, OFCL,  48,     ,      ,   0,   48, DPR, genFcst, , ,  0, 024, 
AL, 10, 2021082212, GN, OFCL, 120,     ,      ,  10,  120, DPR, genFcst, , ,  0, 024, 
AL, 10, 2021082212, GN, OFCL, 168,     ,      ,  30,  168, DPR, genFcst, , ,  0, 024, 
AL, 10, 2021082218, GN, OFCL,  48,     ,      ,   0,   48, DPR, genFcst, , ,  0, 024, 
AL, 10, 2021082218, GN, OFCL, 120,     ,      ,  10,  120, DPR, genFcst, , ,  0, 024, 
AL, 10, 2021082218, GN, OFCL, 168,     ,      ,  30,  168, DPR, genFcst, , ,  0, 024, 
AL, 10, 2021082300, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 024, 
AL, 10, 2021082300, GN, OFCL, 120,     ,      ,  10,  120, RJP, genFcst, , ,  0, 024, 
AL, 10, 2021082300, GN, OFCL, 168,     ,      ,  30,  168, RJP, genFcst, , ,  0, 024, 
AL, 10, 2021082306, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 024, 
AL, 10, 2021082306, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 024, 
AL, 10, 2021082306, GN, OFCL, 168,     ,      ,  30,  168, DPB, genFcst, , ,  0, 024, 
AL, 10, 2021082312, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 024, 
AL, 10, 2021082312, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 024, 
AL, 10, 2021082312, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 024, 
AL, 10, 2021082312, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021082312, al982021,  1, 024, 
AL, 10, 2021082312, IN, IVCN,  12,     ,      ,  68,  29,   ,    4, 
AL, 10, 2021082312, IN, IVCN,  24,     ,      ,  68,  32,   ,    6, 
AL, 10, 2021082312, IN, IVCN,  36,     ,      ,  68,  36,   ,    8, 
AL, 10, 2021082312, IN, IVCN,  48,     ,      ,  68,  41,   ,   12, 
AL, 10, 2021082312, IN, IVCN,  60,     ,      ,  68,  46,   ,   14, 
AL, 10, 2021082312, IN, IVCN,  72,     ,      ,  68,  51,   ,   16, 
AL, 10, 2021082312, IN, IVCN,  96,     ,      ,  68,  60,   ,   17, 
AL, 10, 2021082312, IN, IVCN, 120,     ,      ,  68,  68,   ,   17, 
AL, 10, 2021082312, RI, EIOB,  12,  74N,  208W,   1,  20,  45,    ,            0,           12, 
AL, 10, 2021082312, RI, EIOB,  24,  74N,  208W,   9,  25,  50,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOB,  24,  74N,  208W,   1,  30,  55,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOB,  24,  74N,  208W,   0,  35,  60,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOB,  24,  74N,  208W,   0,  40,  65,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOB,  36,  74N,  208W,   0,  45,  70,    ,            0,           36, 
AL, 10, 2021082312, RI, EIOB,  48,  74N,  208W,   0,  55,  80,    ,            0,           48, 
AL, 10, 2021082312, RI, EIOB,  72,  74N,  208W,   7,  65,  90,    ,            0,           72, 
AL, 10, 2021082312, RI, EIOC,  12,  74N,  208W,   2,  20,  45,    ,            0,           12, 
AL, 10, 2021082312, RI, EIOC,  24,  74N,  208W,   9,  25,  50,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOC,  24,  74N,  208W,   4,  30,  55,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOC,  24,  74N,  208W,   2,  35,  60,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOC,  24,  74N,  208W,   0,  40,  65,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOC,  36,  74N,  208W,   1,  45,  70,    ,            0,           36, 
AL, 10, 2021082312, RI, EIOC,  48,  74N,  208W,   5,  55,  80,    ,            0,           48, 
AL, 10, 2021082312, RI, EIOC,  72,  74N,  208W,  13,  65,  90,    ,            0,           72, 
AL, 10, 2021082312, RI, EIOD,  12,  74N,  208W,   3,  20,  45,    ,            0,           12, 
AL, 10, 2021082312, RI, EIOD,  24,  74N,  208W,   8,  25,  50,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOD,  24,  74N,  208W,   6,  30,  55,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOD,  24,  74N,  208W,   5,  35,  60,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOD,  24,  74N,  208W,   0,  40,  65,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOD,  36,  74N,  208W,   0,  45,  70,    ,            0,           36, 
AL, 10, 2021082312, RI, EIOD,  48,  74N,  208W,   6,  55,  80,    ,            0,           48, 
AL, 10, 2021082312, RI, EIOD,  72,  74N,  208W,   0,  65,  90,    ,            0,           72, 
AL, 10, 2021082312, RI, EIOL,  12,  74N,  208W,   3,  20,  45,    ,            0,           12, 
AL, 10, 2021082312, RI, EIOL,  24,  74N,  208W,  11,  25,  50,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOL,  24,  74N,  208W,   5,  30,  55,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOL,  24,  74N,  208W,   1,  35,  60,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOL,  24,  74N,  208W,   1,  40,  65,    ,            0,           24, 
AL, 10, 2021082312, RI, EIOL,  36,  74N,  208W,   4,  45,  70,    ,            0,           36, 
AL, 10, 2021082312, RI, EIOL,  48,  74N,  208W,   8,  55,  80,    ,            0,           48, 
AL, 10, 2021082312, RI, EIOL,  72,  74N,  208W,  31,  65,  90,    ,            0,           72, 
AL, 10, 2021082312, RI, RIOB,  12,  74N,  208W,   1,  20,  45,    ,            0,           12, 
AL, 10, 2021082312, RI, RIOB,  24,  74N,  208W,  11,  25,  50,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOB,  24,  74N,  208W,   1,  30,  55,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOB,  24,  74N,  208W,   0,  35,  60,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOB,  24,  74N,  208W,   0,  40,  65,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOB,  36,  74N,  208W,   1,  45,  70,    ,            0,           36, 
AL, 10, 2021082312, RI, RIOB,  48,  74N,  208W,   3,  55,  80,    ,            0,           48, 
AL, 10, 2021082312, RI, RIOB,  72,  74N,  208W,   7,  65,  90,    ,            0,           72, 
AL, 10, 2021082312, RI, RIOC,  12,  74N,  208W,   3,  20,  45,    ,            0,           12, 
AL, 10, 2021082312, RI, RIOC,  24,  74N,  208W,  14,  25,  50,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOC,  24,  74N,  208W,   6,  30,  55,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOC,  24,  74N,  208W,   3,  35,  60,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOC,  24,  74N,  208W,   0,  40,  65,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOC,  36,  74N,  208W,   2,  45,  70,    ,            0,           36, 
AL, 10, 2021082312, RI, RIOC,  48,  74N,  208W,   7,  55,  80,    ,            0,           48, 
AL, 10, 2021082312, RI, RIOC,  72,  74N,  208W,  11,  65,  90,    ,            0,           72, 
AL, 10, 2021082312, RI, RIOD,  12,  74N,  208W,   4,  20,  45,    ,            0,           12, 
AL, 10, 2021082312, RI, RIOD,  24,  74N,  208W,  13,  25,  50,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOD,  24,  74N,  208W,   8,  30,  55,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOD,  24,  74N,  208W,   7,  35,  60,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOD,  24,  74N,  208W,   0,  40,  65,    ,            0,           24, 
AL, 10, 2021082312, RI, RIOD,  36,  74N,  208W,   0,  45,  70,    ,            0,           36, 
AL, 10, 2021082312, RI, RIOD,  48,  74N,  208W,   8,  55,  80,    ,            0,           48, 
AL, 10, 2021082312, RI, RIOD,  72,  74N,  208W,   0,  65,  90,    ,            0,           72, 
AL, 10, 2021082312, RI, RIOL,  12,  74N,  208W,   4,  20,  45,    ,            0,           12, 
AL, 10, 2021082312, RI, RIOL,  24,  74N,  208W,  17,  25,  50,    ,            0,           24, 
