AL, 13, 2021082900, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 027, 
AL, 13, 2021082900, GN, OFCL, 120,     ,      ,   0,  120, ASL, genFcst, , ,  0, 027, 
AL, 13, 2021082900, GN, OFCL, 168,     ,      ,  20,  168, ASL, genFcst, , ,  0, 027, 
AL, 13, 2021082906, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 027, 
AL, 13, 2021082906, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 027, 
AL, 13, 2021082906, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 027, 
AL, 13, 2021082912, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 027, 
AL, 13, 2021082912, GN, OFCL, 120,     ,      ,  10,  120, RJB, genFcst, , ,  0, 027, 
AL, 13, 2021082912, GN, OFCL, 168,     ,      ,  20,  168, RJB, genFcst, , ,  0, 027, 
AL, 13, 2021082918, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 027, 
AL, 13, 2021082918, GN, OFCL, 120,     ,      ,  10,  120, RJB, genFcst, , ,  0, 027, 
AL, 13, 2021082918, GN, OFCL, 168,     ,      ,  20,  168, RJB, genFcst, , ,  0, 027, 
AL, 13, 2021083000, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 027, 
AL, 13, 2021083000, GN, OFCL, 120,     ,      ,  10,  120, ASL, genFcst, , ,  0, 027, 
AL, 13, 2021083000, GN, OFCL, 168,     ,      ,  20,  168, ASL, genFcst, , ,  0, 027, 
AL, 13, 2021083006, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 027, 
AL, 13, 2021083006, GN, OFCL, 120,     ,      ,  20,  120, PPP, genFcst, , ,  0, 027, 
AL, 13, 2021083006, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 027, 
AL, 13, 2021083012, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 027, 
AL, 13, 2021083012, GN, OFCL, 120,     ,      ,  20,  120, DPB, genFcst, , ,  0, 027, 
AL, 13, 2021083012, GN, OFCL, 168,     ,      ,  30,  168, DPB, genFcst, , ,  0, 027, 
AL, 13, 2021083018, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 027, 
AL, 13, 2021083018, GN, OFCL, 120,     ,      ,  20,  120, BJR, genFcst, , ,  0, 027, 
AL, 13, 2021083018, GN, OFCL, 168,     ,      ,  30,  168, BJR, genFcst, , ,  0, 027, 
AL, 13, 2021083100, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 027, 
AL, 13, 2021083100, GN, OFCL, 120,     ,      ,  20,  120, JPC, genFcst, , ,  0, 027, 
AL, 13, 2021083100, GN, OFCL, 168,     ,      ,  30,  168, JPC, genFcst, , ,  0, 027, 
AL, 13, 2021083106, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 027, 
AL, 13, 2021083106, GN, OFCL, 120,     ,      ,  20,  120, SRS, genFcst, , ,  0, 027, 
AL, 13, 2021083106, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 027, 
AL, 13, 2021083112, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 027, 
AL, 13, 2021083112, GN, OFCL, 120,     ,      ,  20,  120, BJR, genFcst, , ,  0, 027, 
AL, 13, 2021083112, GN, OFCL, 168,     ,      ,  30,  168, BJR, genFcst, , ,  0, 027, 
AL, 13, 2021083118, GN, OFCL,  48,     ,      ,  10,   48, BJR, genFcst, , ,  0, 027, 
AL, 13, 2021083118, GN, OFCL, 120,     ,      ,  20,  120, BJR, genFcst, , ,  0, 027, 
AL, 13, 2021083118, GN, OFCL, 168,     ,      ,  30,  168, BJR, genFcst, , ,  0, 027, 
AL, 13, 2021090100, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021090100, al912021,  1, 027, 
AL, 13, 2021090100, IN, IVCN,  12,     ,      ,  68,  26,   ,    4, 
AL, 13, 2021090100, IN, IVCN,  24,     ,      ,  68,  25,   ,    6, 
AL, 13, 2021090100, IN, IVCN,  36,     ,      ,  68,  23,   ,    6, 
AL, 13, 2021090100, IN, IVCN,  48,     ,      ,  68,  23,   ,    8, 
AL, 13, 2021090100, IN, IVCN,  60,     ,      ,  68,  22,   ,    9, 
AL, 13, 2021090100, IN, IVCN,  72,     ,      ,  68,  25,   ,   12, 
AL, 13, 2021090100, IN, IVCN,  96,     ,      ,  68,  23,   ,   12, 
AL, 13, 2021090100, IN, IVCN, 120,     ,      ,  68,  28,   ,   12, 
AL, 13, 2021090100, RI, EIOB,  12, 123N,  781W,   1,  20,  45,    ,            0,           12, 
AL, 13, 2021090100, RI, EIOB,  24, 123N,  781W,   2,  25,  50,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOB,  24, 123N,  781W,   3,  30,  55,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOB,  24, 123N,  781W,   0,  35,  60,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOB,  24, 123N,  781W,   0,  40,  65,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOB,  36, 123N,  781W,   1,  45,  70,    ,            0,           36, 
AL, 13, 2021090100, RI, EIOB,  48, 123N,  781W,   0,  55,  80,    ,            0,           48, 
AL, 13, 2021090100, RI, EIOB,  72, 123N,  781W,   0,  65,  90,    ,            0,           72, 
AL, 13, 2021090100, RI, EIOC,  12, 123N,  781W,   3,  20,  45,    ,            0,           12, 
AL, 13, 2021090100, RI, EIOC,  24, 123N,  781W,   7,  25,  50,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOC,  24, 123N,  781W,   5,  30,  55,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOC,  24, 123N,  781W,   4,  35,  60,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOC,  24, 123N,  781W,   0,  40,  65,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOC,  36, 123N,  781W,   2,  45,  70,    ,            0,           36, 
AL, 13, 2021090100, RI, EIOC,  48, 123N,  781W,   4,  55,  80,    ,            0,           48, 
AL, 13, 2021090100, RI, EIOC,  72, 123N,  781W,   4,  65,  90,    ,            0,           72, 
AL, 13, 2021090100, RI, EIOD,  12, 123N,  781W,   4,  20,  45,    ,            0,           12, 
AL, 13, 2021090100, RI, EIOD,  24, 123N,  781W,  12,  25,  50,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOD,  24, 123N,  781W,   8,  30,  55,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOD,  24, 123N,  781W,   7,  35,  60,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOD,  24, 123N,  781W,   0,  40,  65,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOD,  36, 123N,  781W,   0,  45,  70,    ,            0,           36, 
AL, 13, 2021090100, RI, EIOD,  48, 123N,  781W,   7,  55,  80,    ,            0,           48, 
AL, 13, 2021090100, RI, EIOD,  72, 123N,  781W,   0,  65,  90,    ,            0,           72, 
AL, 13, 2021090100, RI, EIOL,  12, 123N,  781W,   3,  20,  45,    ,            0,           12, 
AL, 13, 2021090100, RI, EIOL,  24, 123N,  781W,   6,  25,  50,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOL,  24, 123N,  781W,   4,  30,  55,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOL,  24, 123N,  781W,   4,  35,  60,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOL,  24, 123N,  781W,   1,  40,  65,    ,            0,           24, 
AL, 13, 2021090100, RI, EIOL,  36, 123N,  781W,   4,  45,  70,    ,            0,           36, 
AL, 13, 2021090100, RI, EIOL,  48, 123N,  781W,   3,  55,  80,    ,            0,           48, 
AL, 13, 2021090100, RI, EIOL,  72, 123N,  781W,  12,  65,  90,    ,            0,           72, 
AL, 13, 2021090100, RI, RIOB,  12, 123N,  781W,   1,  20,  45,    ,            0,           12, 
AL, 13, 2021090100, RI, RIOB,  24, 123N,  781W,   2,  25,  50,    ,            0,           24, 
AL, 13, 2021090100, RI, RIOB,  24, 123N,  781W,   3,  30,  55,    ,            0,           24, 
AL, 13, 2021090100, RI, RIOB,  24, 123N,  781W,   0,  35,  60,    ,            0,           24, 
AL, 13, 2021090100, RI, RIOB,  24, 123N,  781W,   0,  40,  65,    ,            0,           24, 
AL, 13, 2021090100, RI, RIOB,  36, 123N,  781W,   2,  45,  70,    ,            0,           36, 
AL, 13, 2021090100, RI, RIOB,  48, 123N,  781W,   0,  55,  80,    ,            0,           48, 
AL, 13, 2021090100, RI, RIOB,  72, 123N,  781W,   0,  65,  90,    ,            0,           72, 
AL, 13, 2021090100, RI, RIOC,  12, 123N,  781W,   3,  20,  45,    ,            0,           12, 
AL, 13, 2021090100, RI, RIOC,  24, 123N,  781W,   7,  25,  50,    ,            0,           24, 
AL, 13, 2021090100, RI, RIOC,  24, 123N,  781W,   5,  30,  55,    ,            0,           24, 
AL, 13, 2021090100, RI, RIOC,  24, 123N,  781W,   4,  35,  60,    ,            0,           24, 
AL, 13, 2021090100, RI, RIOC,  24, 123N,  781W,   0,  40,  65,    ,            0,           24, 
AL, 13, 2021090100, RI, RIOC,  36, 123N,  781W,   1,  45,  70,    ,            0,           36, 
AL, 13, 2021090100, RI, RIOC,  48, 123N,  781W,   3,  55,  80,    ,            0,           48, 
AL, 13, 2021090100, RI, RIOC,  72, 123N,  781W,   1,  65,  90,    ,            0,           72, 
AL, 13, 2021090100, RI, RIOD,  12, 123N,  781W,   5,  20,  45,    ,            0,           12, 
