AL, 14, 2021090700, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 031, 
AL, 14, 2021090700, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 031, 
AL, 14, 2021090700, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 031, 
AL, 14, 2021090706, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 031, 
AL, 14, 2021090706, GN, OFCL, 120,     ,      ,  10,  120, BJR, genFcst, , ,  0, 031, 
AL, 14, 2021090706, GN, OFCL, 168,     ,      ,  20,  168, BJR, genFcst, , ,  0, 031, 
AL, 14, 2021090712, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090712, GN, OFCL, 120,     ,      ,  10,  120, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090712, GN, OFCL, 168,     ,      ,  20,  168, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090718, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090718, GN, OFCL, 120,     ,      ,  10,  120, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090718, GN, OFCL, 168,     ,      ,  20,  168, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090800, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 031, 
AL, 14, 2021090800, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 031, 
AL, 14, 2021090800, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 031, 
AL, 14, 2021090806, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 031, 
AL, 14, 2021090806, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 031, 
AL, 14, 2021090806, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 031, 
AL, 14, 2021090812, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090812, GN, OFCL, 120,     ,      ,  10,  120, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090812, GN, OFCL, 168,     ,      ,  20,  168, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090818, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090818, GN, OFCL, 120,     ,      ,  10,  120, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090818, GN, OFCL, 168,     ,      ,  20,  168, ASL, genFcst, , ,  0, 031, 
AL, 14, 2021090900, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 031, 
AL, 14, 2021090900, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 031, 
AL, 14, 2021090900, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 031, 
AL, 14, 2021090906, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 031, 
AL, 14, 2021090906, GN, OFCL, 120,     ,      ,  20,  120, DPB, genFcst, , ,  0, 031, 
AL, 14, 2021090906, GN, OFCL, 168,     ,      ,  30,  168, DPB, genFcst, , ,  0, 031, 
AL, 14, 2021090912, GN, OFCL,  48,     ,      ,   0,   48,    , genFcst, , ,  0, 031, 
AL, 14, 2021090912, GN, OFCL, 120,     ,      ,  30,  120,    , genFcst, , ,  0, 031, 
AL, 14, 2021090912, GN, OFCL, 168,     ,      ,  30,  168,    , genFcst, , ,  0, 031, 
AL, 14, 2021090918, GN, OFCL,  48,     ,      ,  10,   48, HSM, genFcst, , ,  0, 031, 
AL, 14, 2021090918, GN, OFCL, 120,     ,      ,  30,  120, HSM, genFcst, , ,  0, 031, 
AL, 14, 2021090918, GN, OFCL, 168,     ,      ,  30,  168, HSM, genFcst, , ,  0, 031, 
AL, 14, 2021091000, GN, OFCL,  48,     ,      ,  20,   48, PPP, genFcst, , ,  0, 031, 
AL, 14, 2021091000, GN, OFCL, 120,     ,      ,  40,  120, PPP, genFcst, , ,  0, 031, 
AL, 14, 2021091000, GN, OFCL, 168,     ,      ,  40,  168, PPP, genFcst, , ,  0, 031, 
AL, 14, 2021091006, GN, OFCL,  48,     ,      ,  30,   48, DPB, genFcst, , ,  0, 031, 
AL, 14, 2021091006, GN, OFCL, 120,     ,      ,  60,  120, DPB, genFcst, , ,  0, 031, 
AL, 14, 2021091006, GN, OFCL, 168,     ,      ,  60,  168, DPB, genFcst, , ,  0, 031, 
AL, 14, 2021091012, GN, OFCL,  48,     ,      ,  40,   48, JPC, genFcst, , ,  0, 031, 
AL, 14, 2021091012, GN, OFCL, 120,     ,      ,  70,  120, JPC, genFcst, , ,  0, 031, 
AL, 14, 2021091012, GN, OFCL, 168,     ,      ,  70,  168, JPC, genFcst, , ,  0, 031, 
AL, 14, 2021091018, GN, OFCL,  48,     ,      ,  40,   48, JPC, genFcst, , ,  0, 031, 
AL, 14, 2021091018, GN, OFCL, 120,     ,      ,  70,  120, JPC, genFcst, , ,  0, 031, 
AL, 14, 2021091018, GN, OFCL, 168,     ,      ,  70,  168, JPC, genFcst, , ,  0, 031, 
AL, 14, 2021091100, GN, OFCL,  48,     ,      ,  60,   48, PPP, genFcst, , ,  0, 031, 
AL, 14, 2021091100, GN, OFCL, 120,     ,      ,  80,  120, PPP, genFcst, , ,  0, 031, 
AL, 14, 2021091100, GN, OFCL, 168,     ,      ,  80,  168, PPP, genFcst, , ,  0, 031, 
AL, 14, 2021091106, GN, OFCL,  48,     ,      ,  70,   48, RJB, genFcst, , ,  0, 031, 
AL, 14, 2021091106, GN, OFCL, 120,     ,      ,  80,  120, RJB, genFcst, , ,  0, 031, 
AL, 14, 2021091106, GN, OFCL, 168,     ,      ,  80,  168, RJB, genFcst, , ,  0, 031, 
AL, 14, 2021091106, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021091106, al942021,  1, 031, 
AL, 14, 2021091106, IN, IVCN,  12,     ,      ,  68,  24,   ,    4, 
AL, 14, 2021091106, IN, IVCN,  24,     ,      ,  68,  29,   ,    6, 
AL, 14, 2021091106, IN, IVCN,  36,     ,      ,  68,  31,   ,    7, 
AL, 14, 2021091106, IN, IVCN,  48,     ,      ,  68,  29,   ,    9, 
AL, 14, 2021091106, IN, IVCN,  60,     ,      ,  68,  28,   ,   11, 
AL, 14, 2021091106, IN, IVCN,  72,     ,      ,  68,  27,   ,   11, 
AL, 14, 2021091106, IN, IVCN,  96,     ,      ,  68,  27,   ,   10, 
AL, 14, 2021091106, IN, IVCN, 120,     ,      ,  68,  27,   ,    9, 
AL, 14, 2021091106, RI, DTPE,  12, 175N,  915W,   0,  20,  40,    ,            0,           12, 
AL, 14, 2021091106, RI, DTPE,  24, 175N,  915W,   0,  25,  45,    ,            0,           24, 
AL, 14, 2021091106, RI, DTPE,  24, 175N,  915W,   0,  30,  50,    ,            0,           24, 
AL, 14, 2021091106, RI, DTPE,  24, 175N,  915W,   0,  35,  55,    ,            0,           24, 
AL, 14, 2021091106, RI, DTPE,  24, 175N,  915W,   0,  40,  60,    ,            0,           24, 
AL, 14, 2021091106, RI, DTPE,  36, 175N,  915W,   0,  45,  65,    ,            0,           36, 
AL, 14, 2021091106, RI, DTPE,  48, 175N,  915W,   0,  55,  75,    ,            0,           48, 
AL, 14, 2021091106, RI, DTPE,  72, 175N,  915W,   0,  65,  85,    ,            0,           72, 
AL, 14, 2021091106, RI, EIOB,  12, 175N,  915W,   1,  20,  40,    ,            0,           12, 
AL, 14, 2021091106, RI, EIOB,  24, 175N,  915W,   5,  25,  45,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOB,  24, 175N,  915W,   1,  30,  50,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOB,  24, 175N,  915W,   0,  35,  55,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOB,  24, 175N,  915W,   0,  40,  60,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOB,  36, 175N,  915W,   0,  45,  65,    ,            0,           36, 
AL, 14, 2021091106, RI, EIOB,  48, 175N,  915W,   0,  55,  75,    ,            0,           48, 
AL, 14, 2021091106, RI, EIOB,  72, 175N,  915W,   2,  65,  85,    ,            0,           72, 
AL, 14, 2021091106, RI, EIOC,  12, 175N,  915W,   5,  20,  40,    ,            0,           12, 
AL, 14, 2021091106, RI, EIOC,  24, 175N,  915W,  21,  25,  45,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOC,  24, 175N,  915W,  12,  30,  50,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOC,  24, 175N,  915W,  10,  35,  55,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOC,  24, 175N,  915W,   6,  40,  60,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOC,  36, 175N,  915W,  12,  45,  65,    ,            0,           36, 
AL, 14, 2021091106, RI, EIOC,  48, 175N,  915W,  19,  55,  75,    ,            0,           48, 
AL, 14, 2021091106, RI, EIOC,  72, 175N,  915W,  24,  65,  85,    ,            0,           72, 
AL, 14, 2021091106, RI, EIOD,  12, 175N,  915W,   0,  20,  40,    ,            0,           12, 
AL, 14, 2021091106, RI, EIOD,  24, 175N,  915W,   0,  25,  45,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOD,  24, 175N,  915W,   0,  30,  50,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOD,  24, 175N,  915W,   0,  35,  55,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOD,  24, 175N,  915W,   0,  40,  60,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOD,  36, 175N,  915W,   0,  45,  65,    ,            0,           36, 
AL, 14, 2021091106, RI, EIOD,  48, 175N,  915W,   0,  55,  75,    ,            0,           48, 
AL, 14, 2021091106, RI, EIOD,  72, 175N,  915W,   0,  65,  85,    ,            0,           72, 
AL, 14, 2021091106, RI, EIOL,  12, 175N,  915W,  14,  20,  40,    ,            0,           12, 
AL, 14, 2021091106, RI, EIOL,  24, 175N,  915W,  59,  25,  45,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOL,  24, 175N,  915W,  36,  30,  50,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOL,  24, 175N,  915W,  28,  35,  55,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOL,  24, 175N,  915W,  17,  40,  60,    ,            0,           24, 
AL, 14, 2021091106, RI, EIOL,  36, 175N,  915W,  35,  45,  65,    ,            0,           36, 
AL, 14, 2021091106, RI, EIOL,  48, 175N,  915W,  58,  55,  75,    ,            0,           48, 
AL, 14, 2021091106, RI, EIOL,  72, 175N,  915W,  71,  65,  85,    ,            0,           72, 
AL, 14, 2021091106, RI, RIOB,  12, 175N,  915W,   1,  20,  40,    ,            0,           12, 
AL, 14, 2021091106, RI, RIOB,  24, 175N,  915W,   3,  25,  45,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOB,  24, 175N,  915W,   1,  30,  50,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOB,  24, 175N,  915W,   1,  35,  55,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOB,  24, 175N,  915W,   0,  40,  60,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOB,  36, 175N,  915W,   0,  45,  65,    ,            0,           36, 
AL, 14, 2021091106, RI, RIOB,  48, 175N,  915W,   0,  55,  75,    ,            0,           48, 
AL, 14, 2021091106, RI, RIOB,  72, 175N,  915W,   2,  65,  85,    ,            0,           72, 
AL, 14, 2021091106, RI, RIOC,  12, 175N,  915W,   5,  20,  40,    ,            0,           12, 
AL, 14, 2021091106, RI, RIOC,  24, 175N,  915W,  18,  25,  45,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOC,  24, 175N,  915W,  10,  30,  50,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOC,  24, 175N,  915W,   9,  35,  55,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOC,  24, 175N,  915W,   4,  40,  60,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOC,  36, 175N,  915W,   9,  45,  65,    ,            0,           36, 
AL, 14, 2021091106, RI, RIOC,  48, 175N,  915W,  14,  55,  75,    ,            0,           48, 
AL, 14, 2021091106, RI, RIOC,  72, 175N,  915W,  14,  65,  85,    ,            0,           72, 
AL, 14, 2021091106, RI, RIOD,  12, 175N,  915W,   0,  20,  40,    ,            0,           12, 
AL, 14, 2021091106, RI, RIOD,  24, 175N,  915W,   0,  25,  45,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOD,  24, 175N,  915W,   0,  30,  50,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOD,  24, 175N,  915W,   0,  35,  55,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOD,  24, 175N,  915W,   0,  40,  60,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOD,  36, 175N,  915W,   0,  45,  65,    ,            0,           36, 
AL, 14, 2021091106, RI, RIOD,  48, 175N,  915W,   0,  55,  75,    ,            0,           48, 
AL, 14, 2021091106, RI, RIOD,  72, 175N,  915W,   0,  65,  85,    ,            0,           72, 
AL, 14, 2021091106, RI, RIOL,  12, 175N,  915W,  14,  20,  40,    ,            0,           12, 
AL, 14, 2021091106, RI, RIOL,  24, 175N,  915W,  50,  25,  45,    ,            0,           24, 
AL, 14, 2021091106, RI, RIOL,  24, 175N,  915W,  30,  30,  50,    ,            0,           24, 
