AL, 15, 2021091000, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091000, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091000, GN, OFCL, 168,     ,      ,  10,  168, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091006, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091006, GN, OFCL, 120,     ,      ,   0,  120, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091006, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091012, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091012, GN, OFCL, 120,     ,      ,   0,  120, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091012, GN, OFCL, 168,     ,      ,  20,  168, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091018, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091018, GN, OFCL, 120,     ,      ,   0,  120, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091018, GN, OFCL, 168,     ,      ,  20,  168, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091100, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091100, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091100, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091106, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 033, 
AL, 15, 2021091106, GN, OFCL, 120,     ,      ,  10,  120, RJB, genFcst, , ,  0, 033, 
AL, 15, 2021091106, GN, OFCL, 168,     ,      ,  20,  168, RJB, genFcst, , ,  0, 033, 
AL, 15, 2021091112, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091112, GN, OFCL, 120,     ,      ,  10,  120, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091112, GN, OFCL, 168,     ,      ,  20,  168, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091118, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091118, GN, OFCL, 120,     ,      ,  20,  120, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091118, GN, OFCL, 168,     ,      ,  40,  168, JPC, genFcst, , ,  0, 033, 
AL, 15, 2021091200, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091200, GN, OFCL, 120,     ,      ,  40,  120, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091200, GN, OFCL, 168,     ,      ,  60,  168, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091206, GN, OFCL,  48,     ,      ,   0,   48, ESB, genFcst, , ,  0, 033, 
AL, 15, 2021091206, GN, OFCL, 120,     ,      ,  60,  120, ESB, genFcst, , ,  0, 033, 
AL, 15, 2021091206, GN, OFCL, 168,     ,      ,  80,  168, ESB, genFcst, , ,  0, 033, 
AL, 15, 2021091212, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091212, GN, OFCL, 120,     ,      ,  50,  120, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091212, GN, OFCL, 168,     ,      ,  60,  168, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091218, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091218, GN, OFCL, 120,     ,      ,  50,  120, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091218, GN, OFCL, 168,     ,      ,  60,  168, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091300, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 033, 
AL, 15, 2021091300, GN, OFCL, 120,     ,      ,  50,  120, BJR, genFcst, , ,  0, 033, 
AL, 15, 2021091300, GN, OFCL, 168,     ,      ,  60,  168, BJR, genFcst, , ,  0, 033, 
AL, 15, 2021091306, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 033, 
AL, 15, 2021091306, GN, OFCL, 120,     ,      ,  50,  120, ASL, genFcst, , ,  0, 033, 
AL, 15, 2021091306, GN, OFCL, 168,     ,      ,  60,  168, ASL, genFcst, , ,  0, 033, 
AL, 15, 2021091312, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 033, 
AL, 15, 2021091312, GN, OFCL, 120,     ,      ,  50,  120, SRS, genFcst, , ,  0, 033, 
AL, 15, 2021091312, GN, OFCL, 168,     ,      ,  60,  168, SRS, genFcst, , ,  0, 033, 
AL, 15, 2021091318, GN, OFCL,  48,     ,      ,  10,   48, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091318, GN, OFCL, 120,     ,      ,  50,  120, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091318, GN, OFCL, 168,     ,      ,  60,  168, DPB, genFcst, , ,  0, 033, 
AL, 15, 2021091400, GN, OFCL,  48,     ,      ,  10,   48, DPR, genFcst, , ,  0, 033, 
AL, 15, 2021091400, GN, OFCL, 120,     ,      ,  50,  120, DPR, genFcst, , ,  0, 033, 
AL, 15, 2021091400, GN, OFCL, 168,     ,      ,  60,  168, DPR, genFcst, , ,  0, 033, 
AL, 15, 2021091406, GN, OFCL,  48,     ,      ,  30,   48, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091406, GN, OFCL, 120,     ,      ,  60,  120, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091406, GN, OFCL, 168,     ,      ,  60,  168, PPP, genFcst, , ,  0, 033, 
AL, 15, 2021091412, GN, OFCL,  48,     ,      ,  30,   48, SRS, genFcst, , ,  0, 033, 
AL, 15, 2021091412, GN, OFCL, 120,     ,      ,  60,  120, SRS, genFcst, , ,  0, 033, 
AL, 15, 2021091412, GN, OFCL, 168,     ,      ,  60,  168, SRS, genFcst, , ,  0, 033, 
AL, 15, 2021091412, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021091412, al962021,  1, 033, 
AL, 15, 2021091412, IN, IVCN,  12,     ,      ,  68,  22,   ,    4, 
AL, 15, 2021091412, IN, IVCN,  24,     ,      ,  68,  27,   ,    6, 
AL, 15, 2021091412, IN, IVCN,  36,     ,      ,  68,  32,   ,    7, 
AL, 15, 2021091412, IN, IVCN,  48,     ,      ,  68,  38,   ,   11, 
AL, 15, 2021091412, IN, IVCN,  60,     ,      ,  68,  46,   ,   15, 
AL, 15, 2021091412, IN, IVCN,  72,     ,      ,  68,  52,   ,   19, 
AL, 15, 2021091412, IN, IVCN,  96,     ,      ,  68,  62,   ,   19, 
AL, 15, 2021091412, IN, IVCN, 120,     ,      ,  68,  63,   ,   18, 
AL, 15, 2021091412, RI, EIOB,  12, 235N,  715W,   0,  20,  40,    ,            0,           12, 
AL, 15, 2021091412, RI, EIOB,  24, 235N,  715W,   1,  25,  45,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOB,  24, 235N,  715W,   0,  30,  50,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOB,  24, 235N,  715W,   0,  35,  55,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOB,  24, 235N,  715W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOB,  36, 235N,  715W,   0,  45,  65,    ,            0,           36, 
AL, 15, 2021091412, RI, EIOB,  48, 235N,  715W,   0,  55,  75,    ,            0,           48, 
AL, 15, 2021091412, RI, EIOB,  72, 235N,  715W,   0,  65,  85,    ,            0,           72, 
AL, 15, 2021091412, RI, EIOC,  12, 235N,  715W,   1,  20,  40,    ,            0,           12, 
AL, 15, 2021091412, RI, EIOC,  24, 235N,  715W,   9,  25,  45,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOC,  24, 235N,  715W,   5,  30,  50,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOC,  24, 235N,  715W,   2,  35,  55,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOC,  24, 235N,  715W,   1,  40,  60,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOC,  36, 235N,  715W,   3,  45,  65,    ,            0,           36, 
AL, 15, 2021091412, RI, EIOC,  48, 235N,  715W,   6,  55,  75,    ,            0,           48, 
AL, 15, 2021091412, RI, EIOC,  72, 235N,  715W,  13,  65,  85,    ,            0,           72, 
AL, 15, 2021091412, RI, EIOD,  12, 235N,  715W,   0,  20,  40,    ,            0,           12, 
AL, 15, 2021091412, RI, EIOD,  24, 235N,  715W,   0,  25,  45,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOD,  24, 235N,  715W,   0,  30,  50,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOD,  24, 235N,  715W,   0,  35,  55,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOD,  24, 235N,  715W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOD,  36, 235N,  715W,   0,  45,  65,    ,            0,           36, 
AL, 15, 2021091412, RI, EIOD,  48, 235N,  715W,   0,  55,  75,    ,            0,           48, 
AL, 15, 2021091412, RI, EIOD,  72, 235N,  715W,   0,  65,  85,    ,            0,           72, 
AL, 15, 2021091412, RI, EIOL,  12, 235N,  715W,   3,  20,  40,    ,            0,           12, 
AL, 15, 2021091412, RI, EIOL,  24, 235N,  715W,  28,  25,  45,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOL,  24, 235N,  715W,  15,  30,  50,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOL,  24, 235N,  715W,   5,  35,  55,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOL,  24, 235N,  715W,   2,  40,  60,    ,            0,           24, 
AL, 15, 2021091412, RI, EIOL,  36, 235N,  715W,  10,  45,  65,    ,            0,           36, 
AL, 15, 2021091412, RI, EIOL,  48, 235N,  715W,  17,  55,  75,    ,            0,           48, 
AL, 15, 2021091412, RI, EIOL,  72, 235N,  715W,  39,  65,  85,    ,            0,           72, 
AL, 15, 2021091412, RI, RIOB,  12, 235N,  715W,   0,  20,  40,    ,            0,           12, 
AL, 15, 2021091412, RI, RIOB,  24, 235N,  715W,   0,  25,  45,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOB,  24, 235N,  715W,   0,  30,  50,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOB,  24, 235N,  715W,   0,  35,  55,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOB,  24, 235N,  715W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOB,  36, 235N,  715W,   0,  45,  65,    ,            0,           36, 
AL, 15, 2021091412, RI, RIOB,  48, 235N,  715W,   0,  55,  75,    ,            0,           48, 
AL, 15, 2021091412, RI, RIOB,  72, 235N,  715W,   0,  65,  85,    ,            0,           72, 
AL, 15, 2021091412, RI, RIOC,  12, 235N,  715W,   1,  20,  40,    ,            0,           12, 
AL, 15, 2021091412, RI, RIOC,  24, 235N,  715W,   7,  25,  45,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOC,  24, 235N,  715W,   4,  30,  50,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOC,  24, 235N,  715W,   1,  35,  55,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOC,  24, 235N,  715W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOC,  36, 235N,  715W,   2,  45,  65,    ,            0,           36, 
AL, 15, 2021091412, RI, RIOC,  48, 235N,  715W,   2,  55,  75,    ,            0,           48, 
AL, 15, 2021091412, RI, RIOC,  72, 235N,  715W,   3,  65,  85,    ,            0,           72, 
AL, 15, 2021091412, RI, RIOD,  12, 235N,  715W,   0,  20,  40,    ,            0,           12, 
AL, 15, 2021091412, RI, RIOD,  24, 235N,  715W,   0,  25,  45,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOD,  24, 235N,  715W,   0,  30,  50,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOD,  24, 235N,  715W,   0,  35,  55,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOD,  24, 235N,  715W,   0,  40,  60,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOD,  36, 235N,  715W,   0,  45,  65,    ,            0,           36, 
AL, 15, 2021091412, RI, RIOD,  48, 235N,  715W,   0,  55,  75,    ,            0,           48, 
AL, 15, 2021091412, RI, RIOD,  72, 235N,  715W,   0,  65,  85,    ,            0,           72, 
AL, 15, 2021091412, RI, RIOL,  12, 235N,  715W,   3,  20,  40,    ,            0,           12, 
AL, 15, 2021091412, RI, RIOL,  24, 235N,  715W,  22,  25,  45,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOL,  24, 235N,  715W,  13,  30,  50,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOL,  24, 235N,  715W,   4,  35,  55,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOL,  24, 235N,  715W,   1,  40,  60,    ,            0,           24, 
AL, 15, 2021091412, RI, RIOL,  36, 235N,  715W,   6,  45,  65,    ,            0,           36, 
AL, 15, 2021091412, RI, RIOL,  48, 235N,  715W,   7,  55,  75,    ,            0,           48, 
AL, 15, 2021091412, RI, RIOL,  72, 235N,  715W,   9,  65,  85,    ,            0,           72, 
AL, 15, 2021091418, IN, IVCN,  12,     ,      ,  68,  22,   ,    4, 
AL, 15, 2021091418, IN, IVCN,  24,     ,      ,  68,  27,   ,    6, 
AL, 15, 2021091418, IN, IVCN,  36,     ,      ,  68,  31,   ,    7, 
AL, 15, 2021091418, IN, IVCN,  48,     ,      ,  68,  37,   ,   11, 
AL, 15, 2021091418, IN, IVCN,  60,     ,      ,  68,  42,   ,   14, 
AL, 15, 2021091418, IN, IVCN,  72,     ,      ,  68,  48,   ,   19, 
AL, 15, 2021091418, IN, IVCN,  96,     ,      ,  68,  52,   ,   19, 
AL, 15, 2021091418, IN, IVCN, 120,     ,      ,  68,  58,   ,   18, 
