AL, 16, 2021091100, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 034, 
AL, 16, 2021091100, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 034, 
AL, 16, 2021091100, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 034, 
AL, 16, 2021091106, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 034, 
AL, 16, 2021091106, GN, OFCL, 120,     ,      ,  20,  120, RJB, genFcst, , ,  0, 034, 
AL, 16, 2021091106, GN, OFCL, 168,     ,      ,  30,  168, RJB, genFcst, , ,  0, 034, 
AL, 16, 2021091112, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 034, 
AL, 16, 2021091112, GN, OFCL, 120,     ,      ,  20,  120, JPC, genFcst, , ,  0, 034, 
AL, 16, 2021091112, GN, OFCL, 168,     ,      ,  40,  168, JPC, genFcst, , ,  0, 034, 
AL, 16, 2021091118, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 034, 
AL, 16, 2021091118, GN, OFCL, 120,     ,      ,  20,  120, JPC, genFcst, , ,  0, 034, 
AL, 16, 2021091118, GN, OFCL, 168,     ,      ,  40,  168, JPC, genFcst, , ,  0, 034, 
AL, 16, 2021091200, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 034, 
AL, 16, 2021091200, GN, OFCL, 120,     ,      ,  30,  120, PPP, genFcst, , ,  0, 034, 
AL, 16, 2021091200, GN, OFCL, 168,     ,      ,  50,  168, PPP, genFcst, , ,  0, 034, 
AL, 16, 2021091206, GN, OFCL,  48,     ,      ,   0,   48, ESB, genFcst, , ,  0, 034, 
AL, 16, 2021091206, GN, OFCL, 120,     ,      ,  40,  120, ESB, genFcst, , ,  0, 034, 
AL, 16, 2021091206, GN, OFCL, 168,     ,      ,  60,  168, ESB, genFcst, , ,  0, 034, 
AL, 16, 2021091212, GN, OFCL,  48,     ,      ,  10,   48, DPB, genFcst, , ,  0, 034, 
AL, 16, 2021091212, GN, OFCL, 120,     ,      ,  60,  120, DPB, genFcst, , ,  0, 034, 
AL, 16, 2021091212, GN, OFCL, 168,     ,      ,  80,  168, DPB, genFcst, , ,  0, 034, 
AL, 16, 2021091218, GN, OFCL,  48,     ,      ,  20,   48, DPB, genFcst, , ,  0, 034, 
AL, 16, 2021091218, GN, OFCL, 120,     ,      ,  60,  120, DPB, genFcst, , ,  0, 034, 
AL, 16, 2021091218, GN, OFCL, 168,     ,      ,  80,  168, DPB, genFcst, , ,  0, 034, 
AL, 16, 2021091300, GN, OFCL,  48,     ,      ,  20,   48, BJR, genFcst, , ,  0, 034, 
AL, 16, 2021091300, GN, OFCL, 120,     ,      ,  60,  120, BJR, genFcst, , ,  0, 034, 
AL, 16, 2021091300, GN, OFCL, 168,     ,      ,  80,  168, BJR, genFcst, , ,  0, 034, 
AL, 16, 2021091306, GN, OFCL,  48,     ,      ,  20,   48, ASL, genFcst, , ,  0, 034, 
AL, 16, 2021091306, GN, OFCL, 120,     ,      ,  70,  120, ASL, genFcst, , ,  0, 034, 
AL, 16, 2021091306, GN, OFCL, 168,     ,      ,  80,  168, ASL, genFcst, , ,  0, 034, 
AL, 16, 2021091306, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021091306, al952021,  1, 034, 
AL, 16, 2021091306, IN, IVCN,  12,     ,      ,  68,  25,   ,    4, 
AL, 16, 2021091306, IN, IVCN,  24,     ,      ,  68,  27,   ,    6, 
AL, 16, 2021091306, IN, IVCN,  36,     ,      ,  68,  30,   ,    7, 
AL, 16, 2021091306, IN, IVCN,  48,     ,      ,  68,  34,   ,   11, 
AL, 16, 2021091306, IN, IVCN,  60,     ,      ,  68,  38,   ,   13, 
AL, 16, 2021091306, IN, IVCN,  72,     ,      ,  68,  43,   ,   17, 
AL, 16, 2021091306, IN, IVCN,  96,     ,      ,  68,  52,   ,   20, 
AL, 16, 2021091306, IN, IVCN, 120,     ,      ,  68,  64,   ,   21, 
AL, 16, 2021091306, RI, EIOB,  12,  91N,  121W,   0,  20,  40,    ,            0,           12, 
AL, 16, 2021091306, RI, EIOB,  24,  91N,  121W,   4,  25,  45,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOB,  24,  91N,  121W,   1,  30,  50,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOB,  24,  91N,  121W,   0,  35,  55,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOB,  24,  91N,  121W,   0,  40,  60,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOB,  36,  91N,  121W,   0,  45,  65,    ,            0,           36, 
AL, 16, 2021091306, RI, EIOB,  48,  91N,  121W,   0,  55,  75,    ,            0,           48, 
AL, 16, 2021091306, RI, EIOB,  72,  91N,  121W,   4,  65,  85,    ,            0,           72, 
AL, 16, 2021091306, RI, EIOC,  12,  91N,  121W,   2,  20,  40,    ,            0,           12, 
AL, 16, 2021091306, RI, EIOC,  24,  91N,  121W,   8,  25,  45,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOC,  24,  91N,  121W,   4,  30,  50,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOC,  24,  91N,  121W,   1,  35,  55,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOC,  24,  91N,  121W,   1,  40,  60,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOC,  36,  91N,  121W,   3,  45,  65,    ,            0,           36, 
AL, 16, 2021091306, RI, EIOC,  48,  91N,  121W,   2,  55,  75,    ,            0,           48, 
AL, 16, 2021091306, RI, EIOC,  72,  91N,  121W,   7,  65,  85,    ,            0,           72, 
AL, 16, 2021091306, RI, EIOD,  12,  91N,  121W,   0,  20,  40,    ,            0,           12, 
AL, 16, 2021091306, RI, EIOD,  24,  91N,  121W,   0,  25,  45,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOD,  24,  91N,  121W,   0,  30,  50,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOD,  24,  91N,  121W,   0,  35,  55,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOD,  24,  91N,  121W,   0,  40,  60,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOD,  36,  91N,  121W,   0,  45,  65,    ,            0,           36, 
AL, 16, 2021091306, RI, EIOD,  48,  91N,  121W,   0,  55,  75,    ,            0,           48, 
AL, 16, 2021091306, RI, EIOD,  72,  91N,  121W,   0,  65,  85,    ,            0,           72, 
AL, 16, 2021091306, RI, EIOL,  12,  91N,  121W,   4,  20,  40,    ,            0,           12, 
AL, 16, 2021091306, RI, EIOL,  24,  91N,  121W,  21,  25,  45,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOL,  24,  91N,  121W,  11,  30,  50,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOL,  24,  91N,  121W,   4,  35,  55,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOL,  24,  91N,  121W,   4,  40,  60,    ,            0,           24, 
AL, 16, 2021091306, RI, EIOL,  36,  91N,  121W,   8,  45,  65,    ,            0,           36, 
AL, 16, 2021091306, RI, EIOL,  48,  91N,  121W,   7,  55,  75,    ,            0,           48, 
AL, 16, 2021091306, RI, EIOL,  72,  91N,  121W,  16,  65,  85,    ,            0,           72, 
AL, 16, 2021091306, RI, RIOB,  12,  91N,  121W,   0,  20,  40,    ,            0,           12, 
AL, 16, 2021091306, RI, RIOB,  24,  91N,  121W,   6,  25,  45,    ,            0,           24, 
AL, 16, 2021091306, RI, RIOB,  24,  91N,  121W,   0,  30,  50,    ,            0,           24, 
AL, 16, 2021091306, RI, RIOB,  24,  91N,  121W,   0,  35,  55,    ,            0,           24, 
AL, 16, 2021091306, RI, RIOB,  24,  91N,  121W,   0,  40,  60,    ,            0,           24, 
AL, 16, 2021091306, RI, RIOB,  36,  91N,  121W,   0,  45,  65,    ,            0,           36, 
AL, 16, 2021091306, RI, RIOB,  48,  91N,  121W,   0,  55,  75,    ,            0,           48, 
AL, 16, 2021091306, RI, RIOB,  72,  91N,  121W,  10,  65,  85,    ,            0,           72, 
AL, 16, 2021091306, RI, RIOC,  12,  91N,  121W,   2,  20,  40,    ,            0,           12, 
AL, 16, 2021091306, RI, RIOC,  24,  91N,  121W,   9,  25,  45,    ,            0,           24, 
