AL, 17, 2021091406, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091406, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091406, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091412, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 036, 
AL, 17, 2021091412, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 036, 
AL, 17, 2021091412, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 036, 
AL, 17, 2021091418, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 036, 
AL, 17, 2021091418, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 036, 
AL, 17, 2021091418, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 036, 
AL, 17, 2021091500, GN, OFCL,  48,     ,      ,   0,   48, DPR, genFcst, , ,  0, 036, 
AL, 17, 2021091500, GN, OFCL, 120,     ,      ,  20,  120, DPR, genFcst, , ,  0, 036, 
AL, 17, 2021091500, GN, OFCL, 168,     ,      ,  30,  168, DPR, genFcst, , ,  0, 036, 
AL, 17, 2021091506, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091506, GN, OFCL, 120,     ,      ,  20,  120, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091506, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091512, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 036, 
AL, 17, 2021091512, GN, OFCL, 120,     ,      ,  20,  120, JPC, genFcst, , ,  0, 036, 
AL, 17, 2021091512, GN, OFCL, 168,     ,      ,  30,  168, JPC, genFcst, , ,  0, 036, 
AL, 17, 2021091518, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 036, 
AL, 17, 2021091518, GN, OFCL, 120,     ,      ,  20,  120, JPC, genFcst, , ,  0, 036, 
AL, 17, 2021091518, GN, OFCL, 168,     ,      ,  30,  168, JPC, genFcst, , ,  0, 036, 
AL, 17, 2021091600, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 036, 
AL, 17, 2021091600, GN, OFCL, 120,     ,      ,  20,  120, JLB, genFcst, , ,  0, 036, 
AL, 17, 2021091600, GN, OFCL, 168,     ,      ,  30,  168, JLB, genFcst, , ,  0, 036, 
AL, 17, 2021091606, GN, OFCL,  48,     ,      ,  10,   48, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091606, GN, OFCL, 120,     ,      ,  20,  120, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091606, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091612, GN, OFCL,  48,     ,      ,  10,   48, DPB, genFcst, , ,  0, 036, 
AL, 17, 2021091612, GN, OFCL, 120,     ,      ,  20,  120, DPB, genFcst, , ,  0, 036, 
AL, 17, 2021091612, GN, OFCL, 168,     ,      ,  30,  168, DPB, genFcst, , ,  0, 036, 
AL, 17, 2021091618, GN, OFCL,  48,     ,      ,  10,   48, DPB, genFcst, , ,  0, 036, 
AL, 17, 2021091618, GN, OFCL, 120,     ,      ,  20,  120, DPB, genFcst, , ,  0, 036, 
AL, 17, 2021091618, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 036, 
AL, 17, 2021091700, GN, OFCL,  48,     ,      ,  10,   48, ASL, genFcst, , ,  0, 036, 
AL, 17, 2021091700, GN, OFCL, 120,     ,      ,  20,  120, ASL, genFcst, , ,  0, 036, 
AL, 17, 2021091700, GN, OFCL, 168,     ,      ,  20,  168, ASL, genFcst, , ,  0, 036, 
AL, 17, 2021091706, GN, OFCL,  48,     ,      ,  10,   48, RJP, genFcst, , ,  0, 036, 
AL, 17, 2021091706, GN, OFCL, 120,     ,      ,  20,  120, RJP, genFcst, , ,  0, 036, 
AL, 17, 2021091706, GN, OFCL, 168,     ,      ,  20,  168, RJP, genFcst, , ,  0, 036, 
AL, 17, 2021091712, GN, OFCL,  48,     ,      ,  10,   48, RJB, genFcst, , ,  0, 036, 
AL, 17, 2021091712, GN, OFCL, 120,     ,      ,  20,  120, RJB, genFcst, , ,  0, 036, 
AL, 17, 2021091712, GN, OFCL, 168,     ,      ,  20,  168, RJB, genFcst, , ,  0, 036, 
AL, 17, 2021091718, GN, OFCL,  48,     ,      ,  20,   48, RJB, genFcst, , ,  0, 036, 
AL, 17, 2021091718, GN, OFCL, 120,     ,      ,  30,  120, RJB, genFcst, , ,  0, 036, 
AL, 17, 2021091718, GN, OFCL, 168,     ,      ,  30,  168, RJB, genFcst, , ,  0, 036, 
AL, 17, 2021091800, GN, OFCL,  48,     ,      ,  20,   48, JPC, genFcst, , ,  0, 036, 
AL, 17, 2021091800, GN, OFCL, 120,     ,      ,  30,  120, JPC, genFcst, , ,  0, 036, 
AL, 17, 2021091800, GN, OFCL, 168,     ,      ,  30,  168, JPC, genFcst, , ,  0, 036, 
AL, 17, 2021091806, GN, OFCL,  48,     ,      ,  30,   48, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091806, GN, OFCL, 120,     ,      ,  30,  120, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091806, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 036, 
AL, 17, 2021091806, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021091806, al972021,  1, 036, 
AL, 17, 2021091806, IN, IVCN,  12,     ,      ,  68,  28,   ,    4, 
AL, 17, 2021091806, IN, IVCN,  24,     ,      ,  68,  30,   ,    6, 
AL, 17, 2021091806, IN, IVCN,  36,     ,      ,  68,  33,   ,    7, 
AL, 17, 2021091806, IN, IVCN,  48,     ,      ,  68,  38,   ,   11, 
AL, 17, 2021091806, IN, IVCN,  60,     ,      ,  68,  45,   ,   14, 
AL, 17, 2021091806, IN, IVCN,  72,     ,      ,  68,  51,   ,   17, 
AL, 17, 2021091806, IN, IVCN,  96,     ,      ,  68,  55,   ,   17, 
AL, 17, 2021091806, IN, IVCN, 120,     ,      ,  68,  52,   ,   17, 
AL, 17, 2021091806, RI, EIOB,  12,  92N,  251W,   2,  20,  45,    ,            0,           12, 
AL, 17, 2021091806, RI, EIOB,  24,  92N,  251W,  20,  25,  50,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOB,  24,  92N,  251W,   3,  30,  55,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOB,  24,  92N,  251W,   0,  35,  60,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOB,  24,  92N,  251W,   0,  40,  65,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOB,  36,  92N,  251W,   2,  45,  70,    ,            0,           36, 
AL, 17, 2021091806, RI, EIOB,  48,  92N,  251W,   9,  55,  80,    ,            0,           48, 
AL, 17, 2021091806, RI, EIOB,  72,  92N,  251W,   3,  65,  90,    ,            0,           72, 
AL, 17, 2021091806, RI, EIOC,  12,  92N,  251W,   3,  20,  45,    ,            0,           12, 
AL, 17, 2021091806, RI, EIOC,  24,  92N,  251W,  16,  25,  50,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOC,  24,  92N,  251W,   5,  30,  55,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOC,  24,  92N,  251W,   2,  35,  60,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOC,  24,  92N,  251W,   0,  40,  65,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOC,  36,  92N,  251W,   2,  45,  70,    ,            0,           36, 
AL, 17, 2021091806, RI, EIOC,  48,  92N,  251W,  10,  55,  80,    ,            0,           48, 
AL, 17, 2021091806, RI, EIOC,  72,  92N,  251W,   5,  65,  90,    ,            0,           72, 
AL, 17, 2021091806, RI, EIOD,  12,  92N,  251W,   3,  20,  45,    ,            0,           12, 
AL, 17, 2021091806, RI, EIOD,  24,  92N,  251W,  12,  25,  50,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOD,  24,  92N,  251W,   8,  30,  55,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOD,  24,  92N,  251W,   6,  35,  60,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOD,  24,  92N,  251W,   0,  40,  65,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOD,  36,  92N,  251W,   0,  45,  70,    ,            0,           36, 
AL, 17, 2021091806, RI, EIOD,  48,  92N,  251W,  11,  55,  80,    ,            0,           48, 
AL, 17, 2021091806, RI, EIOD,  72,  92N,  251W,   0,  65,  90,    ,            0,           72, 
AL, 17, 2021091806, RI, EIOL,  12,  92N,  251W,   3,  20,  45,    ,            0,           12, 
AL, 17, 2021091806, RI, EIOL,  24,  92N,  251W,  15,  25,  50,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOL,  24,  92N,  251W,   4,  30,  55,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOL,  24,  92N,  251W,   1,  35,  60,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOL,  24,  92N,  251W,   0,  40,  65,    ,            0,           24, 
AL, 17, 2021091806, RI, EIOL,  36,  92N,  251W,   3,  45,  70,    ,            0,           36, 
AL, 17, 2021091806, RI, EIOL,  48,  92N,  251W,  11,  55,  80,    ,            0,           48, 
AL, 17, 2021091806, RI, EIOL,  72,  92N,  251W,  12,  65,  90,    ,            0,           72, 
AL, 17, 2021091806, RI, RIOB,  12,  92N,  251W,   2,  20,  45,    ,            0,           12, 
AL, 17, 2021091806, RI, RIOB,  24,  92N,  251W,  14,  25,  50,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOB,  24,  92N,  251W,   2,  30,  55,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOB,  24,  92N,  251W,   0,  35,  60,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOB,  24,  92N,  251W,   0,  40,  65,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOB,  36,  92N,  251W,   3,  45,  70,    ,            0,           36, 
AL, 17, 2021091806, RI, RIOB,  48,  92N,  251W,   8,  55,  80,    ,            0,           48, 
AL, 17, 2021091806, RI, RIOB,  72,  92N,  251W,   3,  65,  90,    ,            0,           72, 
AL, 17, 2021091806, RI, RIOC,  12,  92N,  251W,   3,  20,  45,    ,            0,           12, 
AL, 17, 2021091806, RI, RIOC,  24,  92N,  251W,  12,  25,  50,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOC,  24,  92N,  251W,   5,  30,  55,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOC,  24,  92N,  251W,   2,  35,  60,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOC,  24,  92N,  251W,   0,  40,  65,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOC,  36,  92N,  251W,   1,  45,  70,    ,            0,           36, 
AL, 17, 2021091806, RI, RIOC,  48,  92N,  251W,   8,  55,  80,    ,            0,           48, 
AL, 17, 2021091806, RI, RIOC,  72,  92N,  251W,   3,  65,  90,    ,            0,           72, 
AL, 17, 2021091806, RI, RIOD,  12,  92N,  251W,   3,  20,  45,    ,            0,           12, 
AL, 17, 2021091806, RI, RIOD,  24,  92N,  251W,  12,  25,  50,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOD,  24,  92N,  251W,   7,  30,  55,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOD,  24,  92N,  251W,   6,  35,  60,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOD,  24,  92N,  251W,   0,  40,  65,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOD,  36,  92N,  251W,   0,  45,  70,    ,            0,           36, 
AL, 17, 2021091806, RI, RIOD,  48,  92N,  251W,  10,  55,  80,    ,            0,           48, 
AL, 17, 2021091806, RI, RIOD,  72,  92N,  251W,   0,  65,  90,    ,            0,           72, 
AL, 17, 2021091806, RI, RIOL,  12,  92N,  251W,   3,  20,  45,    ,            0,           12, 
AL, 17, 2021091806, RI, RIOL,  24,  92N,  251W,  11,  25,  50,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOL,  24,  92N,  251W,   4,  30,  55,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOL,  24,  92N,  251W,   1,  35,  60,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOL,  24,  92N,  251W,   0,  40,  65,    ,            0,           24, 
AL, 17, 2021091806, RI, RIOL,  36,  92N,  251W,   2,  45,  70,    ,            0,           36, 
AL, 17, 2021091806, RI, RIOL,  48,  92N,  251W,   6,  55,  80,    ,            0,           48, 
AL, 17, 2021091806, RI, RIOL,  72,  92N,  251W,   6,  65,  90,    ,            0,           72, 
AL, 17, 2021091812, IN, ICON,  12,     ,      ,  68,  27,   ,    4, 
