AL, 18, 2021091806, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 038, 
AL, 18, 2021091806, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 038, 
AL, 18, 2021091806, GN, OFCL, 168,     ,      ,  10,  168, PPP, genFcst, , ,  0, 038, 
AL, 18, 2021091812, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 038, 
AL, 18, 2021091812, GN, OFCL, 120,     ,      ,   0,  120, RJB, genFcst, , ,  0, 038, 
AL, 18, 2021091812, GN, OFCL, 168,     ,      ,  10,  168, RJB, genFcst, , ,  0, 038, 
AL, 18, 2021091818, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 038, 
AL, 18, 2021091818, GN, OFCL, 120,     ,      ,   0,  120, RJB, genFcst, , ,  0, 038, 
AL, 18, 2021091818, GN, OFCL, 168,     ,      ,  20,  168, RJB, genFcst, , ,  0, 038, 
AL, 18, 2021091900, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 038, 
AL, 18, 2021091900, GN, OFCL, 120,     ,      ,   0,  120, JPC, genFcst, , ,  0, 038, 
AL, 18, 2021091900, GN, OFCL, 168,     ,      ,  20,  168, JPC, genFcst, , ,  0, 038, 
AL, 18, 2021091906, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 038, 
AL, 18, 2021091906, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 038, 
AL, 18, 2021091906, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 038, 
AL, 18, 2021091912, GN, OFCL,  48,     ,      ,   0,   48, HSM, genFcst, , ,  0, 038, 
AL, 18, 2021091912, GN, OFCL, 120,     ,      ,  20,  120, HSM, genFcst, , ,  0, 038, 
AL, 18, 2021091912, GN, OFCL, 168,     ,      ,  40,  168, HSM, genFcst, , ,  0, 038, 
AL, 18, 2021091918, GN, OFCL,  48,     ,      ,   0,   48, HSM, genFcst, , ,  0, 038, 
AL, 18, 2021091918, GN, OFCL, 120,     ,      ,  40,  120, HSM, genFcst, , ,  0, 038, 
AL, 18, 2021091918, GN, OFCL, 168,     ,      ,  60,  168, HSM, genFcst, , ,  0, 038, 
AL, 18, 2021092000, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 038, 
AL, 18, 2021092000, GN, OFCL, 120,     ,      ,  50,  120, DPB, genFcst, , ,  0, 038, 
AL, 18, 2021092000, GN, OFCL, 168,     ,      ,  70,  168, DPB, genFcst, , ,  0, 038, 
AL, 18, 2021092006, GN, OFCL,  48,     ,      ,  10,   48, SRS, genFcst, , ,  0, 038, 
AL, 18, 2021092006, GN, OFCL, 120,     ,      ,  60,  120, SRS, genFcst, , ,  0, 038, 
AL, 18, 2021092006, GN, OFCL, 168,     ,      ,  80,  168, SRS, genFcst, , ,  0, 038, 
AL, 18, 2021092006, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021092006, al982021,  1, 038, 
AL, 18, 2021092006, IN, IVCN,  12,     ,      ,  68,  28,   ,    4, 
AL, 18, 2021092006, IN, IVCN,  24,     ,      ,  68,  32,   ,    6, 
AL, 18, 2021092006, IN, IVCN,  36,     ,      ,  68,  36,   ,    8, 
AL, 18, 2021092006, IN, IVCN,  48,     ,      ,  68,  43,   ,   12, 
AL, 18, 2021092006, IN, IVCN,  60,     ,      ,  68,  50,   ,   15, 
AL, 18, 2021092006, IN, IVCN,  72,     ,      ,  68,  56,   ,   18, 
AL, 18, 2021092006, IN, IVCN,  96,     ,      ,  68,  70,   ,   20, 
AL, 18, 2021092006, IN, IVCN, 120,     ,      ,  68,  84,   ,   23, 
AL, 18, 2021092006, RI, EIOB,  12,  95N,  192W,   1,  20,  45,    ,            0,           12, 
AL, 18, 2021092006, RI, EIOB,  24,  95N,  192W,  30,  25,  50,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOB,  24,  95N,  192W,   4,  30,  55,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOB,  24,  95N,  192W,   0,  35,  60,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOB,  24,  95N,  192W,   0,  40,  65,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOB,  36,  95N,  192W,   2,  45,  70,    ,            0,           36, 
AL, 18, 2021092006, RI, EIOB,  48,  95N,  192W,   3,  55,  80,    ,            0,           48, 
AL, 18, 2021092006, RI, EIOB,  72,  95N,  192W,  46,  65,  90,    ,            0,           72, 
AL, 18, 2021092006, RI, EIOC,  12,  95N,  192W,   5,  20,  45,    ,            0,           12, 
AL, 18, 2021092006, RI, EIOC,  24,  95N,  192W,  30,  25,  50,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOC,  24,  95N,  192W,  12,  30,  55,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOC,  24,  95N,  192W,   6,  35,  60,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOC,  24,  95N,  192W,   5,  40,  65,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOC,  36,  95N,  192W,   8,  45,  70,    ,            0,           36, 
AL, 18, 2021092006, RI, EIOC,  48,  95N,  192W,  15,  55,  80,    ,            0,           48, 
AL, 18, 2021092006, RI, EIOC,  72,  95N,  192W,  38,  65,  90,    ,            0,           72, 
AL, 18, 2021092006, RI, EIOD,  12,  95N,  192W,   4,  20,  45,    ,            0,           12, 
AL, 18, 2021092006, RI, EIOD,  24,  95N,  192W,  15,  25,  50,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOD,  24,  95N,  192W,  10,  30,  55,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOD,  24,  95N,  192W,   8,  35,  60,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOD,  24,  95N,  192W,   0,  40,  65,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOD,  36,  95N,  192W,   0,  45,  70,    ,            0,           36, 
AL, 18, 2021092006, RI, EIOD,  48,  95N,  192W,  11,  55,  80,    ,            0,           48, 
AL, 18, 2021092006, RI, EIOD,  72,  95N,  192W,   0,  65,  90,    ,            0,           72, 
AL, 18, 2021092006, RI, EIOL,  12,  95N,  192W,  10,  20,  45,    ,            0,           12, 
AL, 18, 2021092006, RI, EIOL,  24,  95N,  192W,  43,  25,  50,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOL,  24,  95N,  192W,  22,  30,  55,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOL,  24,  95N,  192W,  11,  35,  60,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOL,  24,  95N,  192W,  14,  40,  65,    ,            0,           24, 
AL, 18, 2021092006, RI, EIOL,  36,  95N,  192W,  24,  45,  70,    ,            0,           36, 
AL, 18, 2021092006, RI, EIOL,  48,  95N,  192W,  33,  55,  80,    ,            0,           48, 
AL, 18, 2021092006, RI, EIOL,  72,  95N,  192W,  67,  65,  90,    ,            0,           72, 
AL, 18, 2021092006, RI, RIOB,  12,  95N,  192W,   1,  20,  45,    ,            0,           12, 
AL, 18, 2021092006, RI, RIOB,  24,  95N,  192W,  28,  25,  50,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOB,  24,  95N,  192W,   3,  30,  55,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOB,  24,  95N,  192W,   0,  35,  60,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOB,  24,  95N,  192W,   0,  40,  65,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOB,  36,  95N,  192W,   2,  45,  70,    ,            0,           36, 
AL, 18, 2021092006, RI, RIOB,  48,  95N,  192W,   3,  55,  80,    ,            0,           48, 
AL, 18, 2021092006, RI, RIOB,  72,  95N,  192W,  63,  65,  90,    ,            0,           72, 
AL, 18, 2021092006, RI, RIOC,  12,  95N,  192W,   5,  20,  45,    ,            0,           12, 
AL, 18, 2021092006, RI, RIOC,  24,  95N,  192W,  25,  25,  50,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOC,  24,  95N,  192W,  10,  30,  55,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOC,  24,  95N,  192W,   7,  35,  60,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOC,  24,  95N,  192W,   4,  40,  65,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOC,  36,  95N,  192W,   9,  45,  70,    ,            0,           36, 
AL, 18, 2021092006, RI, RIOC,  48,  95N,  192W,  15,  55,  80,    ,            0,           48, 
AL, 18, 2021092006, RI, RIOC,  72,  95N,  192W,  43,  65,  90,    ,            0,           72, 
AL, 18, 2021092006, RI, RIOD,  12,  95N,  192W,   5,  20,  45,    ,            0,           12, 
AL, 18, 2021092006, RI, RIOD,  24,  95N,  192W,  14,  25,  50,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOD,  24,  95N,  192W,   9,  30,  55,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOD,  24,  95N,  192W,   7,  35,  60,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOD,  24,  95N,  192W,   0,  40,  65,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOD,  36,  95N,  192W,   0,  45,  70,    ,            0,           36, 
AL, 18, 2021092006, RI, RIOD,  48,  95N,  192W,   9,  55,  80,    ,            0,           48, 
AL, 18, 2021092006, RI, RIOD,  72,  95N,  192W,   0,  65,  90,    ,            0,           72, 
AL, 18, 2021092006, RI, RIOL,  12,  95N,  192W,  10,  20,  45,    ,            0,           12, 
AL, 18, 2021092006, RI, RIOL,  24,  95N,  192W,  32,  25,  50,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOL,  24,  95N,  192W,  19,  30,  55,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOL,  24,  95N,  192W,  13,  35,  60,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOL,  24,  95N,  192W,  12,  40,  65,    ,            0,           24, 
AL, 18, 2021092006, RI, RIOL,  36,  95N,  192W,  25,  45,  70,    ,            0,           36, 
AL, 18, 2021092006, RI, RIOL,  48,  95N,  192W,  32,  55,  80,    ,            0,           48, 
AL, 18, 2021092006, RI, RIOL,  72,  95N,  192W,  66,  65,  90,    ,            0,           72, 
AL, 18, 2021092012, IN, ICON,  12,     ,      ,  68,  30,   ,    4, 
AL, 18, 2021092012, IN, ICON,  24,     ,      ,  68,  33,   ,    6, 
AL, 18, 2021092012, IN, ICON,  36,     ,      ,  68,  36,   ,    8, 
AL, 18, 2021092012, IN, ICON,  48,     ,      ,  68,  39,   ,   11, 
AL, 18, 2021092012, IN, ICON,  60,     ,      ,  68,  47,   ,   15, 
AL, 18, 2021092012, IN, ICON,  72,     ,      ,  68,  53,   ,   18, 
AL, 18, 2021092012, IN, ICON,  96,     ,      ,  68,  65,   ,   21, 
AL, 18, 2021092012, IN, ICON, 120,     ,      ,  68,  82,   ,   19, 
AL, 18, 2021092012, IN, IVCN,  12,     ,      ,  68,  30,   ,    4, 
AL, 18, 2021092012, IN, IVCN,  24,     ,      ,  68,  33,   ,    6, 
AL, 18, 2021092012, IN, IVCN,  36,     ,      ,  68,  36,   ,    8, 
AL, 18, 2021092012, IN, IVCN,  48,     ,      ,  68,  39,   ,   11, 
AL, 18, 2021092012, IN, IVCN,  60,     ,      ,  68,  47,   ,   15, 
AL, 18, 2021092012, IN, IVCN,  72,     ,      ,  68,  53,   ,   18, 
AL, 18, 2021092012, IN, IVCN,  96,     ,      ,  68,  65,   ,   21, 
AL, 18, 2021092012, IN, IVCN, 120,     ,      ,  68,  82,   ,   19, 
AL, 18, 2021092012, RI, EIOB,  12,  95N,  210W,   2,  20,  45,    ,            0,           12, 
AL, 18, 2021092012, RI, EIOB,  24,  95N,  210W,  19,  25,  50,    ,            0,           24, 
