AL, 19, 2021092318, GN, OFCL,  48,     ,      ,  10,   48, PPP, genFcst, , ,  0, 041, 
AL, 19, 2021092318, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 041, 
AL, 19, 2021092318, GN, OFCL, 168,     ,      ,  10,  168, PPP, genFcst, , ,  0, 041, 
AL, 19, 2021092400, GN, OFCL,  48,     ,      ,  10,   48,    , genFcst, , ,  0, 041, 
AL, 19, 2021092400, GN, OFCL, 120,     ,      ,  10,  120,    , genFcst, , ,  0, 041, 
AL, 19, 2021092400, GN, OFCL, 168,     ,      ,  10,  168,    , genFcst, , ,  0, 041, 
AL, 19, 2021092406, GN, OFCL,  48,     ,      ,  20,   48, JPC, genFcst, , ,  0, 041, 
AL, 19, 2021092406, GN, OFCL, 120,     ,      ,  20,  120, JPC, genFcst, , ,  0, 041, 
AL, 19, 2021092406, GN, OFCL, 168,     ,      ,  20,  168, JPC, genFcst, , ,  0, 041, 
AL, 19, 2021092406, IN, IVCN,  12,     ,      ,  68,  27,   ,    4, 
AL, 19, 2021092406, IN, IVCN,  24,     ,      ,  68,  30,   ,    6, 
AL, 19, 2021092406, IN, IVCN,  36,     ,      ,  68,  32,   ,    7, 
AL, 19, 2021092406, IN, IVCN,  48,     ,      ,  68,  32,   ,   10, 
AL, 19, 2021092406, IN, IVCN,  60,     ,      ,  68,  35,   ,   12, 
AL, 19, 2021092406, IN, IVCN,  72,     ,      ,  68,  40,   ,   16, 
AL, 19, 2021092406, IN, IVCN,  96,     ,      ,  68,  37,   ,   12, 
AL, 19, 2021092406, RI, EIOB,  12, 314N,  620W,   0,  20,  45,    ,            0,           12, 
AL, 19, 2021092406, RI, EIOB,  24, 314N,  620W,   0,  25,  50,    ,            0,           24, 
AL, 19, 2021092406, RI, EIOB,  24, 314N,  620W,   0,  30,  55,    ,            0,           24, 
AL, 19, 2021092406, RI, EIOB,  24, 314N,  620W,   0,  35,  60,    ,            0,           24, 
AL, 19, 2021092406, RI, EIOB,  24, 314N,  620W,   0,  40,  65,    ,            0,           24, 
AL, 19, 2021092406, RI, EIOB,  36, 314N,  620W,   0,  45,  70,    ,            0,           36, 
AL, 19, 2021092406, RI, EIOB,  48, 314N,  620W,   0,  55,  80,    ,            0,           48, 
AL, 19, 2021092406, RI, EIOB,  72, 314N,  620W,   0,  65,  90,    ,            0,           72, 
AL, 19, 2021092406, RI, EIOC,  12, 314N,  620W,   1,  20,  45,    ,            0,           12, 
AL, 19, 2021092406, RI, EIOC,  24, 314N,  620W,   1,  25,  50,    ,            0,           24, 
AL, 19, 2021092406, RI, EIOC,  24, 314N,  620W,   1,  30,  55,    ,            0,           24, 
AL, 19, 2021092406, RI, EIOC,  24, 314N,  620W,   0,  35,  60,    ,            0,           24, 
AL, 19, 2021092406, RI, EIOC,  24, 314N,  620W,   0,  40,  65,    ,            0,           24, 
AL, 19, 2021092406, RI, EIOC,  36, 314N,  620W,   0,  45,  70,    ,            0,           36, 
AL, 19, 2021092406, RI, EIOC,  48, 314N,  620W,   0,  55,  80,    ,            0,           48, 
AL, 19, 2021092406, RI, EIOC,  72, 314N,  620W,   0,  65,  90,    ,            0,           72, 
AL, 19, 2021092406, RI, EIOD,  12, 314N,  620W,   2,  20,  45,    ,            0,           12, 
