AL, 21, 2021102318, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 049, 
AL, 21, 2021102318, GN, OFCL, 120,     ,      ,  10,  120, RJP, genFcst, , ,  0, 049, 
AL, 21, 2021102318, GN, OFCL, 168,     ,      ,  10,  168, RJP, genFcst, , ,  0, 049, 
AL, 21, 2021102400, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 049, 
AL, 21, 2021102400, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 049, 
AL, 21, 2021102400, GN, OFCL, 168,     ,      ,  10,  168, PPP, genFcst, , ,  0, 049, 
AL, 21, 2021102406, GN, OFCL,  48,     ,      ,   0,   48, DAZ, genFcst, , ,  0, 049, 
AL, 21, 2021102406, GN, OFCL, 120,     ,      ,  20,  120, DAZ, genFcst, , ,  0, 049, 
AL, 21, 2021102406, GN, OFCL, 168,     ,      ,  20,  168, DAZ, genFcst, , ,  0, 049, 
AL, 21, 2021102412, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 049, 
AL, 21, 2021102412, GN, OFCL, 120,     ,      ,  20,  120, ASL, genFcst, , ,  0, 049, 
AL, 21, 2021102412, GN, OFCL, 168,     ,      ,  20,  168, ASL, genFcst, , ,  0, 049, 
AL, 21, 2021102418, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 049, 
AL, 21, 2021102418, GN, OFCL, 120,     ,      ,  20,  120, RJP, genFcst, , ,  0, 049, 
AL, 21, 2021102418, GN, OFCL, 168,     ,      ,  20,  168, RJP, genFcst, , ,  0, 049, 
AL, 21, 2021102500, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 049, 
AL, 21, 2021102500, GN, OFCL, 120,     ,      ,  30,  120, BJR, genFcst, , ,  0, 049, 
AL, 21, 2021102500, GN, OFCL, 168,     ,      ,  30,  168, BJR, genFcst, , ,  0, 049, 
AL, 21, 2021102506, GN, OFCL,  48,     ,      ,   0,   48, DAZ, genFcst, , ,  0, 049, 
AL, 21, 2021102506, GN, OFCL, 120,     ,      ,  40,  120, DAZ, genFcst, , ,  0, 049, 
AL, 21, 2021102506, GN, OFCL, 168,     ,      ,  40,  168, DAZ, genFcst, , ,  0, 049, 
AL, 21, 2021102512, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 049, 
AL, 21, 2021102512, GN, OFCL, 120,     ,      ,  40,  120, ASL, genFcst, , ,  0, 049, 
AL, 21, 2021102512, GN, OFCL, 168,     ,      ,  40,  168, ASL, genFcst, , ,  0, 049, 
AL, 21, 2021102518, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 049, 
AL, 21, 2021102518, GN, OFCL, 120,     ,      ,  40,  120, ASL, genFcst, , ,  0, 049, 
AL, 21, 2021102518, GN, OFCL, 168,     ,      ,  40,  168, ASL, genFcst, , ,  0, 049, 
AL, 21, 2021102600, GN, OFCL,  48,     ,      ,  20,   48, BJR, genFcst, , ,  0, 049, 
AL, 21, 2021102600, GN, OFCL, 120,     ,      ,  50,  120, BJR, genFcst, , ,  0, 049, 
AL, 21, 2021102600, GN, OFCL, 168,     ,      ,  50,  168, BJR, genFcst, , ,  0, 049, 
AL, 21, 2021102600, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021102600, al942021,  1, 049, 
AL, 21, 2021102600, IN, IVCN,  12,     ,      ,  68,  50,   ,    5, 
AL, 21, 2021102600, IN, IVCN,  24,     ,      ,  68,  59,   ,    9, 
AL, 21, 2021102600, IN, IVCN,  36,     ,      ,  68,  54,   ,   10, 
AL, 21, 2021102600, IN, IVCN,  48,     ,      ,  68,  37,   ,    9, 
AL, 21, 2021102600, IN, IVCN,  60,     ,      ,  68,  38,   ,   11, 
AL, 21, 2021102600, IN, IVCN,  72,     ,      ,  68,  28,   ,   10, 
AL, 21, 2021102600, RI, EIOB,  12, 330N,  746W,   9,  20,  60,    ,            0,           12, 
AL, 21, 2021102600, RI, EIOB,  24, 330N,  746W,   0,  25,  65,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOB,  24, 330N,  746W,   0,  30,  70,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOB,  24, 330N,  746W,   0,  35,  75,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOB,  24, 330N,  746W,   0,  40,  80,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOB,  36, 330N,  746W,   0,  45,  85,    ,            0,           36, 
AL, 21, 2021102600, RI, EIOB,  48, 330N,  746W,   0,  55,  95,    ,            0,           48, 
AL, 21, 2021102600, RI, EIOB,  72, 330N,  746W,   0,  65, 105,    ,            0,           72, 
AL, 21, 2021102600, RI, EIOC,  12, 330N,  746W,   5,  20,  60,    ,            0,           12, 
AL, 21, 2021102600, RI, EIOC,  24, 330N,  746W,   0,  25,  65,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOC,  24, 330N,  746W,   0,  30,  70,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOC,  24, 330N,  746W,   0,  35,  75,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOC,  24, 330N,  746W,   0,  40,  80,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOC,  36, 330N,  746W,   0,  45,  85,    ,            0,           36, 
AL, 21, 2021102600, RI, EIOC,  48, 330N,  746W,   0,  55,  95,    ,            0,           48, 
AL, 21, 2021102600, RI, EIOC,  72, 330N,  746W,   0,  65, 105,    ,            0,           72, 
AL, 21, 2021102600, RI, EIOD,  12, 330N,  746W,   5,  20,  60,    ,            0,           12, 
AL, 21, 2021102600, RI, EIOD,  24, 330N,  746W,   0,  25,  65,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOD,  24, 330N,  746W,   0,  30,  70,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOD,  24, 330N,  746W,   0,  35,  75,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOD,  24, 330N,  746W,   0,  40,  80,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOD,  36, 330N,  746W,   0,  45,  85,    ,            0,           36, 
AL, 21, 2021102600, RI, EIOD,  48, 330N,  746W,   0,  55,  95,    ,            0,           48, 
AL, 21, 2021102600, RI, EIOD,  72, 330N,  746W,   0,  65, 105,    ,            0,           72, 
AL, 21, 2021102600, RI, EIOL,  12, 330N,  746W,   1,  20,  60,    ,            0,           12, 
AL, 21, 2021102600, RI, EIOL,  24, 330N,  746W,   0,  25,  65,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOL,  24, 330N,  746W,   0,  30,  70,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOL,  24, 330N,  746W,   0,  35,  75,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOL,  24, 330N,  746W,   0,  40,  80,    ,            0,           24, 
AL, 21, 2021102600, RI, EIOL,  36, 330N,  746W,   0,  45,  85,    ,            0,           36, 
AL, 21, 2021102600, RI, EIOL,  48, 330N,  746W,   0,  55,  95,    ,            0,           48, 
AL, 21, 2021102600, RI, EIOL,  72, 330N,  746W,   0,  65, 105,    ,            0,           72, 
AL, 21, 2021102600, RI, RIOB,  12, 330N,  746W,  35,  20,  60,    ,            0,           12, 
AL, 21, 2021102600, RI, RIOB,  24, 330N,  746W,   0,  25,  65,    ,            0,           24, 
AL, 21, 2021102600, RI, RIOB,  24, 330N,  746W,   0,  30,  70,    ,            0,           24, 
AL, 21, 2021102600, RI, RIOB,  24, 330N,  746W,   0,  35,  75,    ,            0,           24, 
AL, 21, 2021102600, RI, RIOB,  24, 330N,  746W,   0,  40,  80,    ,            0,           24, 
AL, 21, 2021102600, RI, RIOB,  36, 330N,  746W,   0,  45,  85,    ,            0,           36, 
AL, 21, 2021102600, RI, RIOB,  48, 330N,  746W,   0,  55,  95,    ,            0,           48, 
AL, 21, 2021102600, RI, RIOB,  72, 330N,  746W,   0,  65, 105,    ,            0,           72, 
