EP, 01, 2021050712, GN, OFCL,  48,     ,      ,  40,   48, RJB, genFcst, , ,  0, 001, 
EP, 01, 2021050712, GN, OFCL, 120,     ,      ,  60,  120, RJB, genFcst, , ,  0, 001, 
EP, 01, 2021050712, GN, OFCL, 168,     ,      ,  60,  168, RJB, genFcst, , ,  0, 001, 
EP, 01, 2021050712, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021050712, ep902021,  1, 001, 
EP, 01, 2021050712, IN, IVCN,  12,     ,      ,  68,  21,   ,    8, 
EP, 01, 2021050712, IN, IVCN,  24,     ,      ,  68,  21,   ,   10, 
EP, 01, 2021050712, IN, IVCN,  36,     ,      ,  68,  23,   ,   10, 
EP, 01, 2021050712, IN, IVCN,  48,     ,      ,  68,  25,   ,   16, 
EP, 01, 2021050712, RI, EIOB,  12, 120N, 1020W,   2,  20,  40,    ,            0,           12, 
EP, 01, 2021050712, RI, EIOB,  24, 120N, 1020W,   0,  25,  45,    ,            0,           24, 
EP, 01, 2021050712, RI, EIOB,  24, 120N, 1020W,   0,  30,  50,    ,            0,           24, 
EP, 01, 2021050712, RI, EIOB,  24, 120N, 1020W,   0,  35,  55,    ,            0,           24, 
EP, 01, 2021050712, RI, EIOB,  24, 120N, 1020W,   0,  40,  60,    ,            0,           24, 
EP, 01, 2021050712, RI, EIOB,  36, 120N, 1020W,   0,  45,  65,    ,            0,           36, 
EP, 01, 2021050712, RI, EIOB,  48, 120N, 1020W,   0,  55,  75,    ,            0,           48, 
EP, 01, 2021050712, RI, EIOB,  72, 120N, 1020W,   0,  65,  85,    ,            0,           72, 
EP, 01, 2021050712, RI, EIOC,  12, 120N, 1020W,   3,  20,  40,    ,            0,           12, 
EP, 01, 2021050712, RI, EIOC,  24, 120N, 1020W,   7,  25,  45,    ,            0,           24, 
EP, 01, 2021050712, RI, EIOC,  24, 120N, 1020W,   5,  30,  50,    ,            0,           24, 
EP, 01, 2021050712, RI, EIOC,  24, 120N, 1020W,   2,  35,  55,    ,            0,           24, 
