EP, 02, 2021052506, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 004, 
EP, 02, 2021052506, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 004, 
EP, 02, 2021052506, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 004, 
EP, 02, 2021052512, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052512, GN, OFCL, 120,     ,      ,  20,  120, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052512, GN, OFCL, 168,     ,      ,  30,  168, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052518, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 004, 
EP, 02, 2021052518, GN, OFCL, 120,     ,      ,  20,  120, RJP, genFcst, , ,  0, 004, 
EP, 02, 2021052518, GN, OFCL, 168,     ,      ,  40,  168, RJP, genFcst, , ,  0, 004, 
EP, 02, 2021052600, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 004, 
EP, 02, 2021052600, GN, OFCL, 120,     ,      ,  30,  120, BJR, genFcst, , ,  0, 004, 
EP, 02, 2021052600, GN, OFCL, 168,     ,      ,  40,  168, BJR, genFcst, , ,  0, 004, 
EP, 02, 2021052606, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 004, 
EP, 02, 2021052606, GN, OFCL, 120,     ,      ,  30,  120, JLB, genFcst, , ,  0, 004, 
EP, 02, 2021052606, GN, OFCL, 168,     ,      ,  40,  168, JLB, genFcst, , ,  0, 004, 
EP, 02, 2021052612, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 004, 
EP, 02, 2021052612, GN, OFCL, 120,     ,      ,  30,  120, RJP, genFcst, , ,  0, 004, 
EP, 02, 2021052612, GN, OFCL, 168,     ,      ,  40,  168, RJP, genFcst, , ,  0, 004, 
EP, 02, 2021052618, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 004, 
EP, 02, 2021052618, GN, OFCL, 120,     ,      ,  30,  120, RJP, genFcst, , ,  0, 004, 
EP, 02, 2021052618, GN, OFCL, 168,     ,      ,  40,  168, RJP, genFcst, , ,  0, 004, 
EP, 02, 2021052700, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 004, 
EP, 02, 2021052700, GN, OFCL, 120,     ,      ,  30,  120, BJR, genFcst, , ,  0, 004, 
EP, 02, 2021052700, GN, OFCL, 168,     ,      ,  40,  168, BJR, genFcst, , ,  0, 004, 
EP, 02, 2021052706, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 004, 
EP, 02, 2021052706, GN, OFCL, 120,     ,      ,  30,  120, JLB, genFcst, , ,  0, 004, 
EP, 02, 2021052706, GN, OFCL, 168,     ,      ,  40,  168, JLB, genFcst, , ,  0, 004, 
EP, 02, 2021052712, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052712, GN, OFCL, 120,     ,      ,  30,  120, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052712, GN, OFCL, 168,     ,      ,  40,  168, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052718, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052718, GN, OFCL, 120,     ,      ,  30,  120, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052718, GN, OFCL, 168,     ,      ,  40,  168, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052800, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 004, 
EP, 02, 2021052800, GN, OFCL, 120,     ,      ,  30,  120, BJR, genFcst, , ,  0, 004, 
EP, 02, 2021052800, GN, OFCL, 168,     ,      ,  40,  168, BJR, genFcst, , ,  0, 004, 
EP, 02, 2021052806, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 004, 
EP, 02, 2021052806, GN, OFCL, 120,     ,      ,  30,  120, JLB, genFcst, , ,  0, 004, 
EP, 02, 2021052806, GN, OFCL, 168,     ,      ,  40,  168, JLB, genFcst, , ,  0, 004, 
EP, 02, 2021052812, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 004, 
EP, 02, 2021052812, GN, OFCL, 120,     ,      ,  30,  120, JPC, genFcst, , ,  0, 004, 
EP, 02, 2021052812, GN, OFCL, 168,     ,      ,  40,  168, JPC, genFcst, , ,  0, 004, 
EP, 02, 2021052818, GN, OFCL,  48,     ,      ,  10,   48, JPC, genFcst, , ,  0, 004, 
EP, 02, 2021052818, GN, OFCL, 120,     ,      ,  40,  120, JPC, genFcst, , ,  0, 004, 
EP, 02, 2021052818, GN, OFCL, 168,     ,      ,  50,  168, JPC, genFcst, , ,  0, 004, 
EP, 02, 2021052900, GN, OFCL,  48,     ,      ,  20,   48, ASL, genFcst, , ,  0, 004, 
EP, 02, 2021052900, GN, OFCL, 120,     ,      ,  40,  120, ASL, genFcst, , ,  0, 004, 
EP, 02, 2021052900, GN, OFCL, 168,     ,      ,  50,  168, ASL, genFcst, , ,  0, 004, 
EP, 02, 2021052906, GN, OFCL,  48,     ,      ,  20,   48, PPP, genFcst, , ,  0, 004, 
EP, 02, 2021052906, GN, OFCL, 120,     ,      ,  40,  120, PPP, genFcst, , ,  0, 004, 
EP, 02, 2021052906, GN, OFCL, 168,     ,      ,  50,  168, PPP, genFcst, , ,  0, 004, 
EP, 02, 2021052912, GN, OFCL,  48,     ,      ,  20,   48, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052912, GN, OFCL, 120,     ,      ,  50,  120, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052912, GN, OFCL, 168,     ,      ,  60,  168, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052918, GN, OFCL,  48,     ,      ,  40,   48, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052918, GN, OFCL, 120,     ,      ,  70,  120, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052918, GN, OFCL, 168,     ,      ,  80,  168, RJB, genFcst, , ,  0, 004, 
EP, 02, 2021052918, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021052918, ep912021,  1, 004, 
EP, 02, 2021052918, IN, IVCN,  12,     ,      ,  68,  20,   ,    5, 
EP, 02, 2021052918, IN, IVCN,  24,     ,      ,  68,  20,   ,    7, 
EP, 02, 2021052918, IN, IVCN,  36,     ,      ,  68,  21,   ,    8, 
EP, 02, 2021052918, IN, IVCN,  48,     ,      ,  68,  24,   ,   10, 
EP, 02, 2021052918, IN, IVCN,  60,     ,      ,  68,  27,   ,   11, 
EP, 02, 2021052918, IN, IVCN,  72,     ,      ,  68,  30,   ,   13, 
EP, 02, 2021052918, RI, DTPE,  12,  96N,  999W,   0,  20,  40,    ,            0,           12, 
EP, 02, 2021052918, RI, DTPE,  24,  96N,  999W,   0,  25,  45,    ,            0,           24, 
EP, 02, 2021052918, RI, DTPE,  24,  96N,  999W,   0,  30,  50,    ,            0,           24, 
EP, 02, 2021052918, RI, DTPE,  24,  96N,  999W,   0,  35,  55,    ,            0,           24, 
EP, 02, 2021052918, RI, DTPE,  24,  96N,  999W,   0,  40,  60,    ,            0,           24, 
EP, 02, 2021052918, RI, DTPE,  36,  96N,  999W,   0,  45,  65,    ,            0,           36, 
EP, 02, 2021052918, RI, DTPE,  48,  96N,  999W,   0,  55,  75,    ,            0,           48, 
EP, 02, 2021052918, RI, DTPE,  72,  96N,  999W,   0,  65,  85,    ,            0,           72, 
EP, 02, 2021052918, RI, RIOB,  12,  96N,  998W,   0,  20,  40,    ,            0,           12, 
EP, 02, 2021052918, RI, RIOB,  24,  96N,  998W,   0,  25,  45,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOB,  24,  96N,  998W,   0,  30,  50,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOB,  24,  96N,  998W,   0,  35,  55,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOB,  24,  96N,  998W,   0,  40,  60,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOB,  36,  96N,  998W,   0,  45,  65,    ,            0,           36, 
EP, 02, 2021052918, RI, RIOB,  48,  96N,  998W,   0,  55,  75,    ,            0,           48, 
EP, 02, 2021052918, RI, RIOB,  72,  96N,  998W,   0,  65,  85,    ,            0,           72, 
EP, 02, 2021052918, RI, RIOC,  12,  96N,  998W,   0,  20,  40,    ,            0,           12, 
EP, 02, 2021052918, RI, RIOC,  24,  96N,  998W,   2,  25,  45,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOC,  24,  96N,  998W,   1,  30,  50,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOC,  24,  96N,  998W,   0,  35,  55,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOC,  24,  96N,  998W,   0,  40,  60,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOC,  36,  96N,  998W,   0,  45,  65,    ,            0,           36, 
EP, 02, 2021052918, RI, RIOC,  48,  96N,  998W,   0,  55,  75,    ,            0,           48, 
EP, 02, 2021052918, RI, RIOC,  72,  96N,  998W,   4,  65,  85,    ,            0,           72, 
EP, 02, 2021052918, RI, RIOD,  12,  96N,  998W,   0,  20,  40,    ,            0,           12, 
EP, 02, 2021052918, RI, RIOD,  24,  96N,  998W,   0,  25,  45,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOD,  24,  96N,  998W,   0,  30,  50,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOD,  24,  96N,  998W,   0,  35,  55,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOD,  24,  96N,  998W,   0,  40,  60,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOD,  36,  96N,  998W,   0,  45,  65,    ,            0,           36, 
EP, 02, 2021052918, RI, RIOD,  48,  96N,  998W,   0,  55,  75,    ,            0,           48, 
EP, 02, 2021052918, RI, RIOD,  72,  96N,  998W,   0,  65,  85,    ,            0,           72, 
EP, 02, 2021052918, RI, RIOL,  12,  96N,  998W,   0,  20,  40,    ,            0,           12, 
EP, 02, 2021052918, RI, RIOL,  24,  96N,  998W,   5,  25,  45,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOL,  24,  96N,  998W,   2,  30,  50,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOL,  24,  96N,  998W,   1,  35,  55,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOL,  24,  96N,  998W,   0,  40,  60,    ,            0,           24, 
EP, 02, 2021052918, RI, RIOL,  36,  96N,  998W,   1,  45,  65,    ,            0,           36, 
EP, 02, 2021052918, RI, RIOL,  48,  96N,  998W,   1,  55,  75,    ,            0,           48, 
EP, 02, 2021052918, RI, RIOL,  72,  96N,  998W,  12,  65,  85,    ,            0,           72, 
EP, 02, 2021053000, IN, IVCN,  12,     ,      ,  68,  24,   ,    5, 
EP, 02, 2021053000, IN, IVCN,  24,     ,      ,  68,  32,   ,    8, 
EP, 02, 2021053000, IN, IVCN,  36,     ,      ,  68,  39,   ,   11, 
EP, 02, 2021053000, IN, IVCN,  48,     ,      ,  68,  44,   ,   13, 
EP, 02, 2021053000, IN, IVCN,  60,     ,      ,  68,  48,   ,   15, 
EP, 02, 2021053000, IN, IVCN,  72,     ,      ,  68,  45,   ,   16, 
EP, 02, 2021053000, IN, IVCN,  96,     ,      ,  68,  35,   ,   13, 
EP, 02, 2021053000, IN, IVCN, 120,     ,      ,  68,  32,   ,   13, 
EP, 02, 2021053000, RI, EIOB,  12,  98N, 1005W,   0,  20,  45,    ,            0,           12, 
EP, 02, 2021053000, RI, EIOB,  24,  98N, 1005W,   0,  25,  50,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOB,  24,  98N, 1005W,   0,  30,  55,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOB,  24,  98N, 1005W,   0,  35,  60,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOB,  24,  98N, 1005W,   0,  40,  65,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOB,  36,  98N, 1005W,   0,  45,  70,    ,            0,           36, 
EP, 02, 2021053000, RI, EIOB,  48,  98N, 1005W,   0,  55,  80,    ,            0,           48, 
EP, 02, 2021053000, RI, EIOB,  72,  98N, 1005W,   0,  65,  90,    ,            0,           72, 
EP, 02, 2021053000, RI, EIOC,  12,  98N, 1005W,   1,  20,  45,    ,            0,           12, 
EP, 02, 2021053000, RI, EIOC,  24,  98N, 1005W,  17,  25,  50,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOC,  24,  98N, 1005W,  12,  30,  55,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOC,  24,  98N, 1005W,   3,  35,  60,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOC,  24,  98N, 1005W,   0,  40,  65,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOC,  36,  98N, 1005W,  16,  45,  70,    ,            0,           36, 
EP, 02, 2021053000, RI, EIOC,  48,  98N, 1005W,  19,  55,  80,    ,            0,           48, 
EP, 02, 2021053000, RI, EIOC,  72,  98N, 1005W,   7,  65,  90,    ,            0,           72, 
EP, 02, 2021053000, RI, EIOD,  12,  98N, 1005W,   0,  20,  45,    ,            0,           12, 
EP, 02, 2021053000, RI, EIOD,  24,  98N, 1005W,  24,  25,  50,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOD,  24,  98N, 1005W,  21,  30,  55,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOD,  24,  98N, 1005W,   0,  35,  60,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOD,  24,  98N, 1005W,   0,  40,  65,    ,            0,           24, 
EP, 02, 2021053000, RI, EIOD,  36,  98N, 1005W,  21,  45,  70,    ,            0,           36, 
