EP, 03, 2021060300, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 005, 
EP, 03, 2021060300, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 005, 
EP, 03, 2021060300, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 005, 
EP, 03, 2021060306, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 005, 
EP, 03, 2021060306, GN, OFCL, 120,     ,      ,  20,  120, BJR, genFcst, , ,  0, 005, 
EP, 03, 2021060306, GN, OFCL, 168,     ,      ,  30,  168, BJR, genFcst, , ,  0, 005, 
EP, 03, 2021060312, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 005, 
EP, 03, 2021060312, GN, OFCL, 120,     ,      ,  20,  120, PPP, genFcst, , ,  0, 005, 
EP, 03, 2021060312, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 005, 
EP, 03, 2021060318, GN, OFCL,  48,     ,      ,  10,   48, JPC, genFcst, , ,  0, 005, 
EP, 03, 2021060318, GN, OFCL, 120,     ,      ,  30,  120, JPC, genFcst, , ,  0, 005, 
EP, 03, 2021060318, GN, OFCL, 168,     ,      ,  40,  168, JPC, genFcst, , ,  0, 005, 
EP, 03, 2021060406, GN, OFCL,  48,     ,      ,  10,   48, ASL, genFcst, , ,  0, 005, 
EP, 03, 2021060406, GN, OFCL, 120,     ,      ,  40,  120, ASL, genFcst, , ,  0, 005, 
EP, 03, 2021060406, GN, OFCL, 168,     ,      ,  40,  168, ASL, genFcst, , ,  0, 005, 
EP, 03, 2021060412, GN, OFCL,  48,     ,      ,  30,   48, PPP, genFcst, , ,  0, 005, 
EP, 03, 2021060412, GN, OFCL, 120,     ,      ,  60,  120, PPP, genFcst, , ,  0, 005, 
EP, 03, 2021060412, GN, OFCL, 168,     ,      ,  70,  168, PPP, genFcst, , ,  0, 005, 
EP, 03, 2021060412, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021060412, ep922021,  1, 005, 
EP, 03, 2021060412, IN, IVCN,  12,     ,      ,  68,  18,   ,    5, 
EP, 03, 2021060412, IN, IVCN,  24,     ,      ,  68,  18,   ,    6, 
EP, 03, 2021060412, IN, IVCN,  36,     ,      ,  68,  19,   ,    8, 
EP, 03, 2021060412, IN, IVCN,  48,     ,      ,  68,  24,   ,   10, 
EP, 03, 2021060412, IN, IVCN,  60,     ,      ,  68,  30,   ,   12, 
EP, 03, 2021060412, IN, IVCN,  72,     ,      ,  68,  34,   ,   14, 
EP, 03, 2021060412, IN, IVCN,  96,     ,      ,  68,  39,   ,   16, 
EP, 03, 2021060412, IN, IVCN, 120,     ,      ,  68,  41,   ,   17, 
EP, 03, 2021060412, RI, EIOB,  12, 123N, 1070W,   0,  20,  40,    ,            0,           12, 
EP, 03, 2021060412, RI, EIOB,  24, 123N, 1070W,   1,  25,  45,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOB,  24, 123N, 1070W,   0,  30,  50,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOB,  24, 123N, 1070W,   0,  35,  55,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOB,  24, 123N, 1070W,   0,  40,  60,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOB,  36, 123N, 1070W,   0,  45,  65,    ,            0,           36, 
EP, 03, 2021060412, RI, EIOB,  48, 123N, 1070W,   0,  55,  75,    ,            0,           48, 
EP, 03, 2021060412, RI, EIOB,  72, 123N, 1070W,   0,  65,  85,    ,            0,           72, 
EP, 03, 2021060412, RI, EIOC,  12, 123N, 1070W,   1,  20,  40,    ,            0,           12, 
EP, 03, 2021060412, RI, EIOC,  24, 123N, 1070W,   7,  25,  45,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOC,  24, 123N, 1070W,   3,  30,  50,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOC,  24, 123N, 1070W,   2,  35,  55,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOC,  24, 123N, 1070W,   1,  40,  60,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOC,  36, 123N, 1070W,   7,  45,  65,    ,            0,           36, 
EP, 03, 2021060412, RI, EIOC,  48, 123N, 1070W,   2,  55,  75,    ,            0,           48, 
EP, 03, 2021060412, RI, EIOC,  72, 123N, 1070W,   2,  65,  85,    ,            0,           72, 
EP, 03, 2021060412, RI, EIOD,  12, 123N, 1070W,   0,  20,  40,    ,            0,           12, 
EP, 03, 2021060412, RI, EIOD,  24, 123N, 1070W,   0,  25,  45,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOD,  24, 123N, 1070W,   0,  30,  50,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOD,  24, 123N, 1070W,   0,  35,  55,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOD,  24, 123N, 1070W,   0,  40,  60,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOD,  36, 123N, 1070W,   0,  45,  65,    ,            0,           36, 
EP, 03, 2021060412, RI, EIOD,  48, 123N, 1070W,   0,  55,  75,    ,            0,           48, 
EP, 03, 2021060412, RI, EIOD,  72, 123N, 1070W,   0,  65,  85,    ,            0,           72, 
EP, 03, 2021060412, RI, EIOL,  12, 123N, 1070W,   2,  20,  40,    ,            0,           12, 
EP, 03, 2021060412, RI, EIOL,  24, 123N, 1070W,  19,  25,  45,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOL,  24, 123N, 1070W,   7,  30,  50,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOL,  24, 123N, 1070W,   5,  35,  55,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOL,  24, 123N, 1070W,   2,  40,  60,    ,            0,           24, 
EP, 03, 2021060412, RI, EIOL,  36, 123N, 1070W,  21,  45,  65,    ,            0,           36, 
EP, 03, 2021060412, RI, EIOL,  48, 123N, 1070W,   6,  55,  75,    ,            0,           48, 
EP, 03, 2021060412, RI, EIOL,  72, 123N, 1070W,   7,  65,  85,    ,            0,           72, 
EP, 03, 2021060412, RI, RIOB,  12, 123N, 1070W,   0,  20,  40,    ,            0,           12, 
EP, 03, 2021060412, RI, RIOB,  24, 123N, 1070W,   0,  25,  45,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOB,  24, 123N, 1070W,   0,  30,  50,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOB,  24, 123N, 1070W,   0,  35,  55,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOB,  24, 123N, 1070W,   0,  40,  60,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOB,  36, 123N, 1070W,   0,  45,  65,    ,            0,           36, 
EP, 03, 2021060412, RI, RIOB,  48, 123N, 1070W,   0,  55,  75,    ,            0,           48, 
EP, 03, 2021060412, RI, RIOB,  72, 123N, 1070W,   0,  65,  85,    ,            0,           72, 
EP, 03, 2021060412, RI, RIOC,  12, 123N, 1070W,   1,  20,  40,    ,            0,           12, 
EP, 03, 2021060412, RI, RIOC,  24, 123N, 1070W,   8,  25,  45,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOC,  24, 123N, 1070W,   3,  30,  50,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOC,  24, 123N, 1070W,   2,  35,  55,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOC,  24, 123N, 1070W,   0,  40,  60,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOC,  36, 123N, 1070W,   5,  45,  65,    ,            0,           36, 
EP, 03, 2021060412, RI, RIOC,  48, 123N, 1070W,   0,  55,  75,    ,            0,           48, 
EP, 03, 2021060412, RI, RIOC,  72, 123N, 1070W,   2,  65,  85,    ,            0,           72, 
EP, 03, 2021060412, RI, RIOD,  12, 123N, 1070W,   0,  20,  40,    ,            0,           12, 
EP, 03, 2021060412, RI, RIOD,  24, 123N, 1070W,   0,  25,  45,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOD,  24, 123N, 1070W,   0,  30,  50,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOD,  24, 123N, 1070W,   0,  35,  55,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOD,  24, 123N, 1070W,   0,  40,  60,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOD,  36, 123N, 1070W,   0,  45,  65,    ,            0,           36, 
EP, 03, 2021060412, RI, RIOD,  48, 123N, 1070W,   0,  55,  75,    ,            0,           48, 
EP, 03, 2021060412, RI, RIOD,  72, 123N, 1070W,   0,  65,  85,    ,            0,           72, 
EP, 03, 2021060412, RI, RIOL,  12, 123N, 1070W,   2,  20,  40,    ,            0,           12, 
EP, 03, 2021060412, RI, RIOL,  24, 123N, 1070W,  24,  25,  45,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOL,  24, 123N, 1070W,  10,  30,  50,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOL,  24, 123N, 1070W,   6,  35,  55,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOL,  24, 123N, 1070W,   1,  40,  60,    ,            0,           24, 
EP, 03, 2021060412, RI, RIOL,  36, 123N, 1070W,  15,  45,  65,    ,            0,           36, 
EP, 03, 2021060412, RI, RIOL,  48, 123N, 1070W,   1,  55,  75,    ,            0,           48, 
EP, 03, 2021060412, RI, RIOL,  72, 123N, 1070W,   5,  65,  85,    ,            0,           72, 
EP, 03, 2021060418, IN, IVCN,  12,     ,      ,  68,  20,   ,    5, 
EP, 03, 2021060418, IN, IVCN,  24,     ,      ,  68,  22,   ,    7, 
EP, 03, 2021060418, IN, IVCN,  36,     ,      ,  68,  25,   ,    9, 
EP, 03, 2021060418, IN, IVCN,  48,     ,      ,  68,  30,   ,   11, 
EP, 03, 2021060418, IN, IVCN,  60,     ,      ,  68,  35,   ,   13, 
EP, 03, 2021060418, IN, IVCN,  72,     ,      ,  68,  40,   ,   15, 
EP, 03, 2021060418, IN, IVCN,  96,     ,      ,  68,  47,   ,   18, 
EP, 03, 2021060418, IN, IVCN, 120,     ,      ,  68,  50,   ,   20, 
EP, 03, 2021060418, RI, EIOB,  12, 126N, 1073W,   0,  20,  40,    ,            0,           12, 
EP, 03, 2021060418, RI, EIOB,  24, 126N, 1073W,   4,  25,  45,    ,            0,           24, 
EP, 03, 2021060418, RI, EIOB,  24, 126N, 1073W,   1,  30,  50,    ,            0,           24, 
EP, 03, 2021060418, RI, EIOB,  24, 126N, 1073W,   0,  35,  55,    ,            0,           24, 
EP, 03, 2021060418, RI, EIOB,  24, 126N, 1073W,   0,  40,  60,    ,            0,           24, 
EP, 03, 2021060418, RI, EIOB,  36, 126N, 1073W,   1,  45,  65,    ,            0,           36, 
EP, 03, 2021060418, RI, EIOB,  48, 126N, 1073W,   2,  55,  75,    ,            0,           48, 
EP, 03, 2021060418, RI, EIOB,  72, 126N, 1073W,   0,  65,  85,    ,            0,           72, 
EP, 03, 2021060418, RI, EIOC,  12, 126N, 1073W,   2,  20,  40,    ,            0,           12, 
EP, 03, 2021060418, RI, EIOC,  24, 126N, 1073W,  12,  25,  45,    ,            0,           24, 
EP, 03, 2021060418, RI, EIOC,  24, 126N, 1073W,   5,  30,  50,    ,            0,           24, 
EP, 03, 2021060418, RI, EIOC,  24, 126N, 1073W,   3,  35,  55,    ,            0,           24, 
EP, 03, 2021060418, RI, EIOC,  24, 126N, 1073W,   1,  40,  60,    ,            0,           24, 
EP, 03, 2021060418, RI, EIOC,  36, 126N, 1073W,   9,  45,  65,    ,            0,           36, 
EP, 03, 2021060418, RI, EIOC,  48, 126N, 1073W,  13,  55,  75,    ,            0,           48, 
EP, 03, 2021060418, RI, EIOC,  72, 126N, 1073W,   9,  65,  85,    ,            0,           72, 
EP, 03, 2021060418, RI, EIOD,  12, 126N, 1073W,   0,  20,  40,    ,            0,           12, 
EP, 03, 2021060418, RI, EIOD,  24, 126N, 1073W,   0,  25,  45,    ,            0,           24, 
EP, 03, 2021060418, RI, EIOD,  24, 126N, 1073W,   0,  30,  50,    ,            0,           24, 
EP, 03, 2021060418, RI, EIOD,  24, 126N, 1073W,   0,  35,  55,    ,            0,           24, 
EP, 03, 2021060418, RI, EIOD,  24, 126N, 1073W,   0,  40,  60,    ,            0,           24, 
