EP, 04, 2021061318, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061318, GN, OFCL, 120,     ,      ,  20,  120, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061318, GN, OFCL, 168,     ,      ,  40,  168, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061400, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061400, GN, OFCL, 120,     ,      ,  30,  120, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061400, GN, OFCL, 168,     ,      ,  50,  168, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061406, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 007, 
EP, 04, 2021061406, GN, OFCL, 120,     ,      ,  30,  120, SRS, genFcst, , ,  0, 007, 
EP, 04, 2021061406, GN, OFCL, 168,     ,      ,  50,  168, SRS, genFcst, , ,  0, 007, 
EP, 04, 2021061412, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061412, GN, OFCL, 120,     ,      ,  30,  120, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061412, GN, OFCL, 168,     ,      ,  50,  168, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061418, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061418, GN, OFCL, 120,     ,      ,  50,  120, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061418, GN, OFCL, 168,     ,      ,  70,  168, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061500, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061500, GN, OFCL, 120,     ,      ,  50,  120, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061500, GN, OFCL, 168,     ,      ,  70,  168, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061506, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 007, 
EP, 04, 2021061506, GN, OFCL, 120,     ,      ,  40,  120, PPP, genFcst, , ,  0, 007, 
EP, 04, 2021061506, GN, OFCL, 168,     ,      ,  60,  168, PPP, genFcst, , ,  0, 007, 
EP, 04, 2021061512, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061512, GN, OFCL, 120,     ,      ,  40,  120, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061512, GN, OFCL, 168,     ,      ,  60,  168, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061518, GN, OFCL,  48,     ,      ,  10,   48, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061518, GN, OFCL, 120,     ,      ,  60,  120, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061518, GN, OFCL, 168,     ,      ,  60,  168, ASL, genFcst, , ,  0, 007, 
EP, 04, 2021061600, GN, OFCL,  48,     ,      ,  10,   48, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061600, GN, OFCL, 120,     ,      ,  60,  120, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061600, GN, OFCL, 168,     ,      ,  60,  168, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061606, GN, OFCL,  48,     ,      ,  10,   48, SRS, genFcst, , ,  0, 007, 
EP, 04, 2021061606, GN, OFCL, 120,     ,      ,  60,  120, SRS, genFcst, , ,  0, 007, 
EP, 04, 2021061606, GN, OFCL, 168,     ,      ,  60,  168, SRS, genFcst, , ,  0, 007, 
EP, 04, 2021061612, GN, OFCL,  48,     ,      ,  20,   48, RJB, genFcst, , ,  0, 007, 
EP, 04, 2021061612, GN, OFCL, 120,     ,      ,  60,  120, RJB, genFcst, , ,  0, 007, 
EP, 04, 2021061612, GN, OFCL, 168,     ,      ,  60,  168, RJB, genFcst, , ,  0, 007, 
EP, 04, 2021061618, GN, OFCL,  48,     ,      ,  40,   48, RJB, genFcst, , ,  0, 007, 
EP, 04, 2021061618, GN, OFCL, 120,     ,      ,  70,  120, RJB, genFcst, , ,  0, 007, 
EP, 04, 2021061618, GN, OFCL, 168,     ,      ,  70,  168, RJB, genFcst, , ,  0, 007, 
EP, 04, 2021061700, GN, OFCL,  48,     ,      ,  60,   48, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061700, GN, OFCL, 120,     ,      ,  80,  120, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061700, GN, OFCL, 168,     ,      ,  80,  168, BJR, genFcst, , ,  0, 007, 
EP, 04, 2021061706, GN, OFCL,  48,     ,      ,  70,   48, SRS, genFcst, , ,  0, 007, 
EP, 04, 2021061706, GN, OFCL, 120,     ,      ,  80,  120, SRS, genFcst, , ,  0, 007, 
EP, 04, 2021061706, GN, OFCL, 168,     ,      ,  80,  168, SRS, genFcst, , ,  0, 007, 
EP, 04, 2021061706, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021061706, ep942021,  1, 007, 
EP, 04, 2021061706, IN, IVCN,  12,     ,      ,  68,  23,   ,    5, 
EP, 04, 2021061706, IN, IVCN,  24,     ,      ,  68,  29,   ,    8, 
EP, 04, 2021061706, IN, IVCN,  36,     ,      ,  68,  35,   ,   11, 
EP, 04, 2021061706, IN, IVCN,  48,     ,      ,  68,  32,   ,   11, 
EP, 04, 2021061706, IN, IVCN,  60,     ,      ,  68,  29,   ,   11, 
EP, 04, 2021061706, IN, IVCN,  72,     ,      ,  68,  27,   ,   13, 
EP, 04, 2021061706, IN, IVCN,  96,     ,      ,  68,  27,   ,    7, 
EP, 04, 2021061706, IN, IVCN, 120,     ,      ,  68,  27,   ,    7, 
EP, 04, 2021061706, RI, DTPE,  12, 135N,  990W,   0,  20,  40,    ,            0,           12, 
EP, 04, 2021061706, RI, DTPE,  24, 135N,  990W,   0,  25,  45,    ,            0,           24, 
EP, 04, 2021061706, RI, DTPE,  24, 135N,  990W,   0,  30,  50,    ,            0,           24, 
EP, 04, 2021061706, RI, DTPE,  24, 135N,  990W,   0,  35,  55,    ,            0,           24, 
EP, 04, 2021061706, RI, DTPE,  24, 135N,  990W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061706, RI, DTPE,  36, 135N,  990W,   0,  45,  65,    ,            0,           36, 
EP, 04, 2021061706, RI, DTPE,  48, 135N,  990W,   0,  55,  75,    ,            0,           48, 
EP, 04, 2021061706, RI, DTPE,  72, 135N,  990W,   0,  65,  85,    ,            0,           72, 
EP, 04, 2021061706, RI, EIOB,  12, 135N,  990W,   0,  20,  40,    ,            0,           12, 
EP, 04, 2021061706, RI, EIOB,  24, 135N,  990W,   1,  25,  45,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOB,  24, 135N,  990W,   1,  30,  50,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOB,  24, 135N,  990W,   0,  35,  55,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOB,  24, 135N,  990W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOB,  36, 135N,  990W,   0,  45,  65,    ,            0,           36, 
EP, 04, 2021061706, RI, EIOB,  48, 135N,  990W,   0,  55,  75,    ,            0,           48, 
EP, 04, 2021061706, RI, EIOB,  72, 135N,  990W,   2,  65,  85,    ,            0,           72, 
EP, 04, 2021061706, RI, EIOC,  12, 135N,  990W,   0,  20,  40,    ,            0,           12, 
EP, 04, 2021061706, RI, EIOC,  24, 135N,  990W,   5,  25,  45,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOC,  24, 135N,  990W,   3,  30,  50,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOC,  24, 135N,  990W,   1,  35,  55,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOC,  24, 135N,  990W,   1,  40,  60,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOC,  36, 135N,  990W,  10,  45,  65,    ,            0,           36, 
EP, 04, 2021061706, RI, EIOC,  48, 135N,  990W,  28,  55,  75,    ,            0,           48, 
EP, 04, 2021061706, RI, EIOC,  72, 135N,  990W,  19,  65,  85,    ,            0,           72, 
EP, 04, 2021061706, RI, EIOD,  12, 135N,  990W,   0,  20,  40,    ,            0,           12, 
EP, 04, 2021061706, RI, EIOD,  24, 135N,  990W,   0,  25,  45,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOD,  24, 135N,  990W,   0,  30,  50,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOD,  24, 135N,  990W,   0,  35,  55,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOD,  24, 135N,  990W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOD,  36, 135N,  990W,   0,  45,  65,    ,            0,           36, 
EP, 04, 2021061706, RI, EIOD,  48, 135N,  990W,   0,  55,  75,    ,            0,           48, 
EP, 04, 2021061706, RI, EIOD,  72, 135N,  990W,   0,  65,  85,    ,            0,           72, 
EP, 04, 2021061706, RI, EIOL,  12, 135N,  990W,   1,  20,  40,    ,            0,           12, 
EP, 04, 2021061706, RI, EIOL,  24, 135N,  990W,  15,  25,  45,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOL,  24, 135N,  990W,   7,  30,  50,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOL,  24, 135N,  990W,   4,  35,  55,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOL,  24, 135N,  990W,   2,  40,  60,    ,            0,           24, 
EP, 04, 2021061706, RI, EIOL,  36, 135N,  990W,  31,  45,  65,    ,            0,           36, 
EP, 04, 2021061706, RI, EIOL,  48, 135N,  990W,  83,  55,  75,    ,            0,           48, 
EP, 04, 2021061706, RI, EIOL,  72, 135N,  990W,  54,  65,  85,    ,            0,           72, 
EP, 04, 2021061706, RI, RIOB,  12, 135N,  990W,   1,  20,  40,    ,            0,           12, 
EP, 04, 2021061706, RI, RIOB,  24, 135N,  990W,   2,  25,  45,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOB,  24, 135N,  990W,   2,  30,  50,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOB,  24, 135N,  990W,   0,  35,  55,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOB,  24, 135N,  990W,   0,  40,  60,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOB,  36, 135N,  990W,   0,  45,  65,    ,            0,           36, 
EP, 04, 2021061706, RI, RIOB,  48, 135N,  990W,   0,  55,  75,    ,            0,           48, 
EP, 04, 2021061706, RI, RIOB,  72, 135N,  990W,   1,  65,  85,    ,            0,           72, 
EP, 04, 2021061706, RI, RIOC,  12, 135N,  990W,   1,  20,  40,    ,            0,           12, 
EP, 04, 2021061706, RI, RIOC,  24, 135N,  990W,  12,  25,  45,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOC,  24, 135N,  990W,   7,  30,  50,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOC,  24, 135N,  990W,   4,  35,  55,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOC,  24, 135N,  990W,   1,  40,  60,    ,            0,           24, 
EP, 04, 2021061706, RI, RIOC,  36, 135N,  990W,  16,  45,  65,    ,            0,           36, 
EP, 04, 2021061706, RI, RIOC,  48, 135N,  990W,  26,  55,  75,    ,            0,           48, 
EP, 04, 2021061706, RI, RIOC,  72, 135N,  990W,  12,  65,  85,    ,            0,           72, 
EP, 04, 2021061706, RI, RIOD,  12, 135N,  990W,   0,  20,  40,    ,            0,           12, 
EP, 04, 2021061706, RI, RIOD,  24, 135N,  990W,   0,  25,  45,    ,            0,           24, 
