EP, 05, 2021061818, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021061818, GN, OFCL, 120,     ,      ,   0,  120, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021061818, GN, OFCL, 168,     ,      ,  10,  168, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021061900, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021061900, GN, OFCL, 120,     ,      ,   0,  120, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021061900, GN, OFCL, 168,     ,      ,  20,  168, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021061906, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 008, 
EP, 05, 2021061906, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 008, 
EP, 05, 2021061906, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 008, 
EP, 05, 2021061912, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021061912, GN, OFCL, 120,     ,      ,   0,  120, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021061912, GN, OFCL, 168,     ,      ,  30,  168, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021061918, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021061918, GN, OFCL, 120,     ,      ,   0,  120, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021061918, GN, OFCL, 168,     ,      ,  30,  168, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021062000, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021062000, GN, OFCL, 120,     ,      ,   0,  120, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021062000, GN, OFCL, 168,     ,      ,  50,  168, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021062006, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 008, 
EP, 05, 2021062006, GN, OFCL, 120,     ,      ,  10,  120, BJR, genFcst, , ,  0, 008, 
EP, 05, 2021062006, GN, OFCL, 168,     ,      ,  50,  168, BJR, genFcst, , ,  0, 008, 
EP, 05, 2021062012, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 008, 
EP, 05, 2021062012, GN, OFCL, 120,     ,      ,  20,  120, SRS, genFcst, , ,  0, 008, 
EP, 05, 2021062012, GN, OFCL, 168,     ,      ,  60,  168, SRS, genFcst, , ,  0, 008, 
EP, 05, 2021062018, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 008, 
EP, 05, 2021062018, GN, OFCL, 120,     ,      ,  30,  120, SRS, genFcst, , ,  0, 008, 
EP, 05, 2021062018, GN, OFCL, 168,     ,      ,  70,  168, SRS, genFcst, , ,  0, 008, 
EP, 05, 2021062100, GN, OFCL,  48,     ,      ,   0,   48, DPR, genFcst, , ,  0, 008, 
EP, 05, 2021062100, GN, OFCL, 120,     ,      ,  30,  120, DPR, genFcst, , ,  0, 008, 
EP, 05, 2021062100, GN, OFCL, 168,     ,      ,  70,  168, DPR, genFcst, , ,  0, 008, 
EP, 05, 2021062106, GN, OFCL,  48,     ,      ,   0,   48, ESB, genFcst, , ,  0, 008, 
EP, 05, 2021062106, GN, OFCL, 120,     ,      ,  40,  120, ESB, genFcst, , ,  0, 008, 
EP, 05, 2021062106, GN, OFCL, 168,     ,      ,  80,  168, ESB, genFcst, , ,  0, 008, 
EP, 05, 2021062112, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062112, GN, OFCL, 120,     ,      ,  40,  120, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062112, GN, OFCL, 168,     ,      ,  80,  168, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062118, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062118, GN, OFCL, 120,     ,      ,  50,  120, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062118, GN, OFCL, 168,     ,      ,  80,  168, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062200, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021062200, GN, OFCL, 120,     ,      ,  70,  120, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021062200, GN, OFCL, 168,     ,      ,  80,  168, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021062206, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021062206, GN, OFCL, 120,     ,      ,  70,  120, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021062206, GN, OFCL, 168,     ,      ,  80,  168, ASL, genFcst, , ,  0, 008, 
EP, 05, 2021062212, GN, OFCL,  48,     ,      ,  10,   48, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062212, GN, OFCL, 120,     ,      ,  80,  120, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062212, GN, OFCL, 168,     ,      ,  90,  168, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062218, GN, OFCL,  48,     ,      ,  30,   48, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062218, GN, OFCL, 120,     ,      ,  80,  120, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062218, GN, OFCL, 168,     ,      ,  90,  168, JPC, genFcst, , ,  0, 008, 
EP, 05, 2021062300, GN, OFCL,  48,     ,      ,  40,   48, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021062300, GN, OFCL, 120,     ,      ,  90,  120, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021062300, GN, OFCL, 168,     ,      ,  90,  168, RJB, genFcst, , ,  0, 008, 
EP, 05, 2021062300, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021062300, ep952021,  1, 008, 
EP, 05, 2021062300, IN, IVCN,  12,     ,      ,  68,  20,   ,    5, 
EP, 05, 2021062300, IN, IVCN,  24,     ,      ,  68,  22,   ,    7, 
EP, 05, 2021062300, IN, IVCN,  36,     ,      ,  68,  25,   ,    9, 
EP, 05, 2021062300, IN, IVCN,  48,     ,      ,  68,  33,   ,   12, 
EP, 05, 2021062300, IN, IVCN,  60,     ,      ,  68,  43,   ,   14, 
EP, 05, 2021062300, IN, IVCN,  72,     ,      ,  68,  55,   ,   17, 
EP, 05, 2021062300, IN, IVCN,  96,     ,      ,  68,  61,   ,   22, 
EP, 05, 2021062300, IN, IVCN, 120,     ,      ,  68,  31,   ,    9, 
EP, 05, 2021062300, RI, EIOB,  12, 100N,  927W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062300, RI, EIOB,  24, 100N,  927W,   1,  25,  45,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOB,  24, 100N,  927W,   0,  30,  50,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOB,  24, 100N,  927W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOB,  24, 100N,  927W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOB,  36, 100N,  927W,   0,  45,  65,    ,            0,           36, 
EP, 05, 2021062300, RI, EIOB,  48, 100N,  927W,   0,  55,  75,    ,            0,           48, 
EP, 05, 2021062300, RI, EIOB,  72, 100N,  927W,  10,  65,  85,    ,            0,           72, 
EP, 05, 2021062300, RI, EIOC,  12, 100N,  927W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062300, RI, EIOC,  24, 100N,  927W,   1,  25,  45,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOC,  24, 100N,  927W,   0,  30,  50,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOC,  24, 100N,  927W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOC,  24, 100N,  927W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOC,  36, 100N,  927W,   1,  45,  65,    ,            0,           36, 
EP, 05, 2021062300, RI, EIOC,  48, 100N,  927W,   7,  55,  75,    ,            0,           48, 
EP, 05, 2021062300, RI, EIOC,  72, 100N,  927W,  16,  65,  85,    ,            0,           72, 
EP, 05, 2021062300, RI, EIOD,  12, 100N,  927W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062300, RI, EIOD,  24, 100N,  927W,   0,  25,  45,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOD,  24, 100N,  927W,   0,  30,  50,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOD,  24, 100N,  927W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOD,  24, 100N,  927W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOD,  36, 100N,  927W,   0,  45,  65,    ,            0,           36, 
EP, 05, 2021062300, RI, EIOD,  48, 100N,  927W,   0,  55,  75,    ,            0,           48, 
EP, 05, 2021062300, RI, EIOD,  72, 100N,  927W,   0,  65,  85,    ,            0,           72, 
EP, 05, 2021062300, RI, EIOL,  12, 100N,  927W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062300, RI, EIOL,  24, 100N,  927W,   2,  25,  45,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOL,  24, 100N,  927W,   1,  30,  50,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOL,  24, 100N,  927W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOL,  24, 100N,  927W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062300, RI, EIOL,  36, 100N,  927W,   3,  45,  65,    ,            0,           36, 
EP, 05, 2021062300, RI, EIOL,  48, 100N,  927W,  20,  55,  75,    ,            0,           48, 
EP, 05, 2021062300, RI, EIOL,  72, 100N,  927W,  36,  65,  85,    ,            0,           72, 
EP, 05, 2021062300, RI, RIOB,  12, 100N,  927W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062300, RI, RIOB,  24, 100N,  927W,   1,  25,  45,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOB,  24, 100N,  927W,   0,  30,  50,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOB,  24, 100N,  927W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOB,  24, 100N,  927W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOB,  36, 100N,  927W,   0,  45,  65,    ,            0,           36, 
EP, 05, 2021062300, RI, RIOB,  48, 100N,  927W,   0,  55,  75,    ,            0,           48, 
EP, 05, 2021062300, RI, RIOB,  72, 100N,  927W,   3,  65,  85,    ,            0,           72, 
EP, 05, 2021062300, RI, RIOC,  12, 100N,  927W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062300, RI, RIOC,  24, 100N,  927W,   1,  25,  45,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOC,  24, 100N,  927W,   0,  30,  50,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOC,  24, 100N,  927W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOC,  24, 100N,  927W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOC,  36, 100N,  927W,   1,  45,  65,    ,            0,           36, 
EP, 05, 2021062300, RI, RIOC,  48, 100N,  927W,   3,  55,  75,    ,            0,           48, 
EP, 05, 2021062300, RI, RIOC,  72, 100N,  927W,  13,  65,  85,    ,            0,           72, 
EP, 05, 2021062300, RI, RIOD,  12, 100N,  927W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062300, RI, RIOD,  24, 100N,  927W,   0,  25,  45,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOD,  24, 100N,  927W,   0,  30,  50,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOD,  24, 100N,  927W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOD,  24, 100N,  927W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOD,  36, 100N,  927W,   0,  45,  65,    ,            0,           36, 
EP, 05, 2021062300, RI, RIOD,  48, 100N,  927W,   0,  55,  75,    ,            0,           48, 
EP, 05, 2021062300, RI, RIOD,  72, 100N,  927W,   0,  65,  85,    ,            0,           72, 
EP, 05, 2021062300, RI, RIOL,  12, 100N,  927W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062300, RI, RIOL,  24, 100N,  927W,   4,  25,  45,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOL,  24, 100N,  927W,   1,  30,  50,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOL,  24, 100N,  927W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOL,  24, 100N,  927W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062300, RI, RIOL,  36, 100N,  927W,   2,  45,  65,    ,            0,           36, 
EP, 05, 2021062300, RI, RIOL,  48, 100N,  927W,   8,  55,  75,    ,            0,           48, 
EP, 05, 2021062300, RI, RIOL,  72, 100N,  927W,  36,  65,  85,    ,            0,           72, 
EP, 05, 2021062306, IN, IVCN,  12,     ,      ,  68,  21,   ,    5, 
EP, 05, 2021062306, IN, IVCN,  24,     ,      ,  68,  22,   ,    7, 
EP, 05, 2021062306, IN, IVCN,  36,     ,      ,  68,  26,   ,    9, 
EP, 05, 2021062306, IN, IVCN,  48,     ,      ,  68,  34,   ,   12, 
EP, 05, 2021062306, IN, IVCN,  60,     ,      ,  68,  45,   ,   14, 
EP, 05, 2021062306, IN, IVCN,  72,     ,      ,  68,  53,   ,   17, 
EP, 05, 2021062306, IN, IVCN,  96,     ,      ,  68,  50,   ,   17, 
EP, 05, 2021062306, IN, IVCN, 120,     ,      ,  68,  29,   ,    8, 
EP, 05, 2021062306, RI, DTPE,  12, 104N,  949W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062306, RI, DTPE,  24, 104N,  949W,   0,  25,  45,    ,            0,           24, 
EP, 05, 2021062306, RI, DTPE,  24, 104N,  949W,   0,  30,  50,    ,            0,           24, 
EP, 05, 2021062306, RI, DTPE,  24, 104N,  949W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062306, RI, DTPE,  24, 104N,  949W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062306, RI, DTPE,  36, 104N,  949W,   0,  45,  65,    ,            0,           36, 
EP, 05, 2021062306, RI, DTPE,  48, 104N,  949W,   0,  55,  75,    ,            0,           48, 
EP, 05, 2021062306, RI, DTPE,  72, 104N,  949W,   0,  65,  85,    ,            0,           72, 
EP, 05, 2021062306, RI, RIOB,  12, 104N,  948W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062306, RI, RIOB,  24, 104N,  948W,   1,  25,  45,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOB,  24, 104N,  948W,   0,  30,  50,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOB,  24, 104N,  948W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOB,  24, 104N,  948W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOB,  36, 104N,  948W,   0,  45,  65,    ,            0,           36, 
EP, 05, 2021062306, RI, RIOB,  48, 104N,  948W,   0,  55,  75,    ,            0,           48, 
EP, 05, 2021062306, RI, RIOB,  72, 104N,  948W,  14,  65,  85,    ,            0,           72, 
EP, 05, 2021062306, RI, RIOC,  12, 104N,  948W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062306, RI, RIOC,  24, 104N,  948W,   1,  25,  45,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOC,  24, 104N,  948W,   0,  30,  50,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOC,  24, 104N,  948W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOC,  24, 104N,  948W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOC,  36, 104N,  948W,   0,  45,  65,    ,            0,           36, 
EP, 05, 2021062306, RI, RIOC,  48, 104N,  948W,   3,  55,  75,    ,            0,           48, 
EP, 05, 2021062306, RI, RIOC,  72, 104N,  948W,  17,  65,  85,    ,            0,           72, 
EP, 05, 2021062306, RI, RIOD,  12, 104N,  948W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062306, RI, RIOD,  24, 104N,  948W,   0,  25,  45,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOD,  24, 104N,  948W,   0,  30,  50,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOD,  24, 104N,  948W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOD,  24, 104N,  948W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOD,  36, 104N,  948W,   0,  45,  65,    ,            0,           36, 
EP, 05, 2021062306, RI, RIOD,  48, 104N,  948W,   0,  55,  75,    ,            0,           48, 
EP, 05, 2021062306, RI, RIOD,  72, 104N,  948W,   0,  65,  85,    ,            0,           72, 
EP, 05, 2021062306, RI, RIOL,  12, 104N,  948W,   0,  20,  40,    ,            0,           12, 
EP, 05, 2021062306, RI, RIOL,  24, 104N,  948W,   3,  25,  45,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOL,  24, 104N,  948W,   1,  30,  50,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOL,  24, 104N,  948W,   0,  35,  55,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOL,  24, 104N,  948W,   0,  40,  60,    ,            0,           24, 
EP, 05, 2021062306, RI, RIOL,  36, 104N,  948W,   1,  45,  65,    ,            0,           36, 
EP, 05, 2021062306, RI, RIOL,  48, 104N,  948W,  10,  55,  75,    ,            0,           48, 
EP, 05, 2021062306, RI, RIOL,  72, 104N,  948W,  38,  65,  85,    ,            0,           72, 
EP, 05, 2021062306, WR, RVCN,   0, 104N,  949W,  68,   0, 34,    0, 
EP, 05, 2021062306, WR, RVCN,  12, 116N,  957W,  68,   0, 34,    5, 
EP, 05, 2021062306, WR, RVCN,  24, 132N,  980W,  68,   0, 34,    5, 
EP, 05, 2021062306, WR, RVCN,  36, 136N, 1007W,  68,   0, 34,    5, 
EP, 05, 2021062306, WR, RVCN,  48, 134N, 1019W,  68,   0, 34,    5, 
EP, 05, 2021062306, WR, RVCN,  60, 142N, 1025W,  68,   0, 34,    5, 
EP, 05, 2021062306, WR, RVCN,  72, 151N, 1032W,  68, 100, 34,   38, 
EP, 05, 2021062306, WR, RVCN,  84, 161N, 1036W,  68, 100, 34,   38, 
EP, 05, 2021062306, WR, RVCN,  96, 176N, 1046W,  68,  90, 34,   27, 
EP, 05, 2021062306, WR, RVCN, 108, 188N, 1065W,  68,  90, 34,   27, 
EP, 05, 2021062306, WR, RVCN, 120, 189N, 1076W,  68,  53, 34,   22, 
EP, 05, 2021062306, WR, RVCN, 132, 189N, 1079W,  68,  53, 34,   22, 
EP, 05, 2021062306, WR, RVCN, 144, 194N, 1085W,  68,   0, 34,    5, 
EP, 05, 2021062306, WR, RVCN, 156, 200N, 1099W,  68,   0, 34,    5, 
EP, 05, 2021062306, WR, RVCN, 168, 204N, 1113W,  68,   0, 34,    5, 
EP, 05, 2021062312, IN, IVCN,  12,     ,      ,  68,  31,   ,    5, 
EP, 05, 2021062312, IN, IVCN,  24,     ,      ,  68,  37,   ,    9, 
EP, 05, 2021062312, IN, IVCN,  36,     ,      ,  68,  45,   ,   12, 
EP, 05, 2021062312, IN, IVCN,  48,     ,      ,  68,  55,   ,   15, 
EP, 05, 2021062312, IN, IVCN,  60,     ,      ,  68,  68,   ,   18, 
EP, 05, 2021062312, IN, IVCN,  72,     ,      ,  68,  76,   ,   21, 
EP, 05, 2021062312, IN, IVCN,  96,     ,      ,  68,  84,   ,   20, 
