EP, 06, 2021070806, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 009, 
EP, 06, 2021070806, GN, OFCL, 120,     ,      ,   0,  120, BJR, genFcst, , ,  0, 009, 
EP, 06, 2021070806, GN, OFCL, 168,     ,      ,  10,  168, BJR, genFcst, , ,  0, 009, 
EP, 06, 2021070812, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021070812, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021070812, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021070818, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021070818, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021070818, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021070900, GN, OFCL,  48,     ,      ,   0,   48, DPR, genFcst, , ,  0, 009, 
EP, 06, 2021070900, GN, OFCL, 120,     ,      ,  20,  120, DPR, genFcst, , ,  0, 009, 
EP, 06, 2021070900, GN, OFCL, 168,     ,      ,  20,  168, DPR, genFcst, , ,  0, 009, 
EP, 06, 2021070906, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 009, 
EP, 06, 2021070906, GN, OFCL, 120,     ,      ,  20,  120, ASL, genFcst, , ,  0, 009, 
EP, 06, 2021070906, GN, OFCL, 168,     ,      ,  40,  168, ASL, genFcst, , ,  0, 009, 
EP, 06, 2021070912, GN, OFCL,  48,     ,      ,   0,   48, DAZ, genFcst, , ,  0, 009, 
EP, 06, 2021070912, GN, OFCL, 120,     ,      ,  20,  120, DAZ, genFcst, , ,  0, 009, 
EP, 06, 2021070912, GN, OFCL, 168,     ,      ,  40,  168, DAZ, genFcst, , ,  0, 009, 
EP, 06, 2021070918, GN, OFCL,  48,     ,      ,   0,   48, DAZ, genFcst, , ,  0, 009, 
EP, 06, 2021070918, GN, OFCL, 120,     ,      ,  20,  120, DAZ, genFcst, , ,  0, 009, 
EP, 06, 2021070918, GN, OFCL, 168,     ,      ,  30,  168, DAZ, genFcst, , ,  0, 009, 
EP, 06, 2021071000, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021071000, GN, OFCL, 120,     ,      ,  20,  120, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021071000, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021071006, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 009, 
EP, 06, 2021071006, GN, OFCL, 120,     ,      ,  20,  120, SRS, genFcst, , ,  0, 009, 
EP, 06, 2021071006, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 009, 
EP, 06, 2021071012, GN, OFCL,  48,     ,      ,   0,   48, DAZ, genFcst, , ,  0, 009, 
EP, 06, 2021071012, GN, OFCL, 120,     ,      ,  20,  120, DAZ, genFcst, , ,  0, 009, 
EP, 06, 2021071012, GN, OFCL, 168,     ,      ,  30,  168, DAZ, genFcst, , ,  0, 009, 
EP, 06, 2021071018, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 009, 
EP, 06, 2021071018, GN, OFCL, 120,     ,      ,  20,  120, JLB, genFcst, , ,  0, 009, 
EP, 06, 2021071018, GN, OFCL, 168,     ,      ,  30,  168, JLB, genFcst, , ,  0, 009, 
EP, 06, 2021071100, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021071100, GN, OFCL, 120,     ,      ,  20,  120, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021071100, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 009, 
EP, 06, 2021071106, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 009, 
EP, 06, 2021071106, GN, OFCL, 120,     ,      ,  20,  120, SRS, genFcst, , ,  0, 009, 
EP, 06, 2021071106, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 009, 
EP, 06, 2021071112, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071112, GN, OFCL, 120,     ,      ,  40,  120, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071112, GN, OFCL, 168,     ,      ,  50,  168, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071118, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071118, GN, OFCL, 120,     ,      ,  50,  120, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071118, GN, OFCL, 168,     ,      ,  60,  168, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071200, GN, OFCL,  48,     ,      ,  10,   48, BJR, genFcst, , ,  0, 009, 
EP, 06, 2021071200, GN, OFCL, 120,     ,      ,  60,  120, BJR, genFcst, , ,  0, 009, 
EP, 06, 2021071200, GN, OFCL, 168,     ,      ,  60,  168, BJR, genFcst, , ,  0, 009, 
EP, 06, 2021071206, GN, OFCL,  48,     ,      ,  10,   48, SRS, genFcst, , ,  0, 009, 
EP, 06, 2021071206, GN, OFCL, 120,     ,      ,  60,  120, SRS, genFcst, , ,  0, 009, 
EP, 06, 2021071206, GN, OFCL, 168,     ,      ,  60,  168, SRS, genFcst, , ,  0, 009, 
EP, 06, 2021071212, GN, OFCL,  48,     ,      ,  30,   48, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071212, GN, OFCL, 120,     ,      ,  70,  120, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071212, GN, OFCL, 168,     ,      ,  70,  168, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071218, GN, OFCL,  48,     ,      ,  40,   48, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071218, GN, OFCL, 120,     ,      ,  70,  120, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071218, GN, OFCL, 168,     ,      ,  70,  168, DPB, genFcst, , ,  0, 009, 
EP, 06, 2021071218, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021071218, ep962021,  1, 009, 
EP, 06, 2021071218, IN, IVCN,  12,     ,      ,  68,  20,   ,    5, 
EP, 06, 2021071218, IN, IVCN,  24,     ,      ,  68,  22,   ,    7, 
EP, 06, 2021071218, IN, IVCN,  36,     ,      ,  68,  25,   ,    9, 
EP, 06, 2021071218, IN, IVCN,  48,     ,      ,  68,  29,   ,   11, 
EP, 06, 2021071218, IN, IVCN,  60,     ,      ,  68,  32,   ,   12, 
EP, 06, 2021071218, IN, IVCN,  72,     ,      ,  68,  34,   ,   14, 
EP, 06, 2021071218, IN, IVCN,  96,     ,      ,  68,  33,   ,   12, 
EP, 06, 2021071218, IN, IVCN, 120,     ,      ,  68,  30,   ,   12, 
EP, 06, 2021071218, RI, DTPE,  12, 104N, 1038W,   0,  20,  40,    ,            0,           12, 
EP, 06, 2021071218, RI, DTPE,  24, 104N, 1038W,   0,  25,  45,    ,            0,           24, 
EP, 06, 2021071218, RI, DTPE,  24, 104N, 1038W,   0,  30,  50,    ,            0,           24, 
EP, 06, 2021071218, RI, DTPE,  24, 104N, 1038W,   0,  35,  55,    ,            0,           24, 
EP, 06, 2021071218, RI, DTPE,  24, 104N, 1038W,   0,  40,  60,    ,            0,           24, 
EP, 06, 2021071218, RI, DTPE,  36, 104N, 1038W,   0,  45,  65,    ,            0,           36, 
EP, 06, 2021071218, RI, DTPE,  48, 104N, 1038W,   0,  55,  75,    ,            0,           48, 
EP, 06, 2021071218, RI, DTPE,  72, 104N, 1038W,   0,  65,  85,    ,            0,           72, 
EP, 06, 2021071218, RI, RIOB,  12, 104N, 1037W,   0,  20,  40,    ,            0,           12, 
EP, 06, 2021071218, RI, RIOB,  24, 104N, 1037W,   1,  25,  45,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOB,  24, 104N, 1037W,   0,  30,  50,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOB,  24, 104N, 1037W,   0,  35,  55,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOB,  24, 104N, 1037W,   0,  40,  60,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOB,  36, 104N, 1037W,   0,  45,  65,    ,            0,           36, 
EP, 06, 2021071218, RI, RIOB,  48, 104N, 1037W,   0,  55,  75,    ,            0,           48, 
EP, 06, 2021071218, RI, RIOB,  72, 104N, 1037W,   0,  65,  85,    ,            0,           72, 
EP, 06, 2021071218, RI, RIOC,  12, 104N, 1037W,   0,  20,  40,    ,            0,           12, 
EP, 06, 2021071218, RI, RIOC,  24, 104N, 1037W,   1,  25,  45,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOC,  24, 104N, 1037W,   0,  30,  50,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOC,  24, 104N, 1037W,   0,  35,  55,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOC,  24, 104N, 1037W,   0,  40,  60,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOC,  36, 104N, 1037W,   1,  45,  65,    ,            0,           36, 
EP, 06, 2021071218, RI, RIOC,  48, 104N, 1037W,   2,  55,  75,    ,            0,           48, 
EP, 06, 2021071218, RI, RIOC,  72, 104N, 1037W,   5,  65,  85,    ,            0,           72, 
EP, 06, 2021071218, RI, RIOD,  12, 104N, 1037W,   0,  20,  40,    ,            0,           12, 
EP, 06, 2021071218, RI, RIOD,  24, 104N, 1037W,   0,  25,  45,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOD,  24, 104N, 1037W,   0,  30,  50,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOD,  24, 104N, 1037W,   0,  35,  55,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOD,  24, 104N, 1037W,   0,  40,  60,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOD,  36, 104N, 1037W,   0,  45,  65,    ,            0,           36, 
EP, 06, 2021071218, RI, RIOD,  48, 104N, 1037W,   0,  55,  75,    ,            0,           48, 
EP, 06, 2021071218, RI, RIOD,  72, 104N, 1037W,   0,  65,  85,    ,            0,           72, 
EP, 06, 2021071218, RI, RIOL,  12, 104N, 1037W,   0,  20,  40,    ,            0,           12, 
EP, 06, 2021071218, RI, RIOL,  24, 104N, 1037W,   3,  25,  45,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOL,  24, 104N, 1037W,   1,  30,  50,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOL,  24, 104N, 1037W,   0,  35,  55,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOL,  24, 104N, 1037W,   0,  40,  60,    ,            0,           24, 
EP, 06, 2021071218, RI, RIOL,  36, 104N, 1037W,   2,  45,  65,    ,            0,           36, 
EP, 06, 2021071218, RI, RIOL,  48, 104N, 1037W,   7,  55,  75,    ,            0,           48, 
EP, 06, 2021071218, RI, RIOL,  72, 104N, 1037W,  14,  65,  85,    ,            0,           72, 
EP, 06, 2021071300, IN, IVCN,  12,     ,      ,  68,  26,   ,    5, 
EP, 06, 2021071300, IN, IVCN,  24,     ,      ,  68,  31,   ,    8, 
EP, 06, 2021071300, IN, IVCN,  36,     ,      ,  68,  34,   ,   10, 
EP, 06, 2021071300, IN, IVCN,  48,     ,      ,  68,  38,   ,   12, 
EP, 06, 2021071300, IN, IVCN,  60,     ,      ,  68,  41,   ,   13, 
EP, 06, 2021071300, IN, IVCN,  72,     ,      ,  68,  40,   ,   15, 
EP, 06, 2021071300, IN, IVCN,  96,     ,      ,  68,  35,   ,   11, 
EP, 06, 2021071300, IN, IVCN, 120,     ,      ,  68,  31,   ,   10, 
EP, 06, 2021071300, RI, EIOB,  12, 106N, 1049W,   0,  20,  45,    ,            0,           12, 
EP, 06, 2021071300, RI, EIOB,  24, 106N, 1049W,  11,  25,  50,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOB,  24, 106N, 1049W,   1,  30,  55,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOB,  24, 106N, 1049W,   0,  35,  60,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOB,  24, 106N, 1049W,   0,  40,  65,    ,            0,           24, 
EP, 06, 2021071300, RI, EIOB,  36, 106N, 1049W,   0,  45,  70,    ,            0,           36, 
EP, 06, 2021071300, RI, EIOB,  48, 106N, 1049W,   1,  55,  80,    ,            0,           48, 
EP, 06, 2021071300, RI, EIOB,  72, 106N, 1049W,   1,  65,  90,    ,            0,           72, 
