EP, 08, 2021072000, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072000, GN, OFCL, 120,     ,      ,   0,  120, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072000, GN, OFCL, 168,     ,      ,  10,  168, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072006, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 011, 
EP, 08, 2021072006, GN, OFCL, 120,     ,      ,   0,  120, BJR, genFcst, , ,  0, 011, 
EP, 08, 2021072006, GN, OFCL, 168,     ,      ,  10,  168, BJR, genFcst, , ,  0, 011, 
EP, 08, 2021072012, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072012, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072012, GN, OFCL, 168,     ,      ,  10,  168, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072018, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072018, GN, OFCL, 120,     ,      ,   0,  120, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072018, GN, OFCL, 168,     ,      ,  10,  168, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072100, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072100, GN, OFCL, 120,     ,      ,   0,  120, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072100, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072106, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072106, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072106, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072112, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072112, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072112, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072200, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072200, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072200, GN, OFCL, 168,     ,      ,  40,  168, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072206, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072206, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072206, GN, OFCL, 168,     ,      ,  40,  168, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072218, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072218, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072218, GN, OFCL, 168,     ,      ,  40,  168, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072300, GN, OFCL,  48,     ,      ,   0,   48, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072300, GN, OFCL, 120,     ,      ,  10,  120, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072300, GN, OFCL, 168,     ,      ,  40,  168, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072306, GN, OFCL,  48,     ,      ,   0,   48, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072306, GN, OFCL, 120,     ,      ,  10,  120, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072306, GN, OFCL, 168,     ,      ,  40,  168, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072312, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072312, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072312, GN, OFCL, 168,     ,      ,  40,  168, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072318, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072318, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072318, GN, OFCL, 168,     ,      ,  40,  168, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072400, GN, OFCL,  48,     ,      ,   0,   48, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072400, GN, OFCL, 120,     ,      ,  10,  120, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072400, GN, OFCL, 168,     ,      ,  40,  168, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072406, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 011, 
EP, 08, 2021072406, GN, OFCL, 120,     ,      ,  10,  120, JPC, genFcst, , ,  0, 011, 
EP, 08, 2021072406, GN, OFCL, 168,     ,      ,  40,  168, JPC, genFcst, , ,  0, 011, 
EP, 08, 2021072412, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072412, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072412, GN, OFCL, 168,     ,      ,  50,  168, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072418, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072418, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072418, GN, OFCL, 168,     ,      ,  60,  168, PPP, genFcst, , ,  0, 011, 
EP, 08, 2021072500, GN, OFCL,  48,     ,      ,   0,   48, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072500, GN, OFCL, 120,     ,      ,  20,  120, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072500, GN, OFCL, 168,     ,      ,  70,  168, ESB, genFcst, , ,  0, 011, 
EP, 08, 2021072506, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 011, 
EP, 08, 2021072506, GN, OFCL, 120,     ,      ,  20,  120, SRS, genFcst, , ,  0, 011, 
