EP, 09, 2021072600, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 013, 
EP, 09, 2021072600, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 013, 
EP, 09, 2021072600, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 013, 
EP, 09, 2021072606, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 013, 
EP, 09, 2021072606, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 013, 
EP, 09, 2021072606, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 013, 
EP, 09, 2021072612, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072612, GN, OFCL, 120,     ,      ,  10,  120, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072612, GN, OFCL, 168,     ,      ,  20,  168, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072618, GN, OFCL,  48,     ,      ,  10,   48, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072618, GN, OFCL, 120,     ,      ,  20,  120, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072618, GN, OFCL, 168,     ,      ,  20,  168, BJR, genFcst, , ,  0, 013, 
EP, 09, 2021072700, GN, OFCL,  48,     ,      ,  20,   48, PPP, genFcst, , ,  0, 013, 
EP, 09, 2021072700, GN, OFCL, 120,     ,      ,  30,  120, PPP, genFcst, , ,  0, 013, 
EP, 09, 2021072700, GN, OFCL, 168,     ,      ,  30,  168, PPP, genFcst, , ,  0, 013, 
EP, 09, 2021072700, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021072700, ep992021,  1, 013, 
EP, 09, 2021072700, IN, IVCN,  12,     ,      ,  68,  20,   ,    5, 
EP, 09, 2021072700, IN, IVCN,  24,     ,      ,  68,  20,   ,    7, 
EP, 09, 2021072700, IN, IVCN,  36,     ,      ,  68,  21,   ,    8, 
EP, 09, 2021072700, IN, IVCN,  48,     ,      ,  68,  23,   ,   10, 
EP, 09, 2021072700, IN, IVCN,  60,     ,      ,  68,  25,   ,   11, 
EP, 09, 2021072700, IN, IVCN,  72,     ,      ,  68,  27,   ,   13, 
EP, 09, 2021072700, IN, IVCN,  96,     ,      ,  68,  26,   ,   11, 
EP, 09, 2021072700, RI, EIOB,  12, 131N, 1155W,   0,  20,  40,    ,            0,           12, 
EP, 09, 2021072700, RI, EIOB,  24, 131N, 1155W,   0,  25,  45,    ,            0,           24, 
EP, 09, 2021072700, RI, EIOB,  24, 131N, 1155W,   0,  30,  50,    ,            0,           24, 
EP, 09, 2021072700, RI, EIOB,  24, 131N, 1155W,   0,  35,  55,    ,            0,           24, 
EP, 09, 2021072700, RI, EIOB,  24, 131N, 1155W,   0,  40,  60,    ,            0,           24, 
EP, 09, 2021072700, RI, EIOB,  36, 131N, 1155W,   0,  45,  65,    ,            0,           36, 
EP, 09, 2021072700, RI, EIOB,  48, 131N, 1155W,   0,  55,  75,    ,            0,           48, 
EP, 09, 2021072700, RI, EIOB,  72, 131N, 1155W,   0,  65,  85,    ,            0,           72, 
EP, 09, 2021072700, RI, EIOC,  12, 131N, 1155W,   1,  20,  40,    ,            0,           12, 
EP, 09, 2021072700, RI, EIOC,  24, 131N, 1155W,   7,  25,  45,    ,            0,           24, 
EP, 09, 2021072700, RI, EIOC,  24, 131N, 1155W,   5,  30,  50,    ,            0,           24, 
EP, 09, 2021072700, RI, EIOC,  24, 131N, 1155W,   3,  35,  55,    ,            0,           24, 
EP, 09, 2021072700, RI, EIOC,  24, 131N, 1155W,   1,  40,  60,    ,            0,           24, 
EP, 09, 2021072700, RI, EIOC,  36, 131N, 1155W,   3,  45,  65,    ,            0,           36, 
EP, 09, 2021072700, RI, EIOC,  48, 131N, 1155W,   1,  55,  75,    ,            0,           48, 
EP, 09, 2021072700, RI, EIOC,  72, 131N, 1155W,   1,  65,  85,    ,            0,           72, 
EP, 09, 2021072700, RI, EIOD,  12, 131N, 1155W,   0,  20,  40,    ,            0,           12, 
EP, 09, 2021072700, RI, EIOD,  24, 131N, 1155W,   0,  25,  45,    ,            0,           24, 
EP, 09, 2021072700, RI, EIOD,  24, 131N, 1155W,   0,  30,  50,    ,            0,           24, 
