EP, 10, 2021072900, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 014, 
EP, 10, 2021072900, GN, OFCL, 120,     ,      ,   0,  120, JLB, genFcst, , ,  0, 014, 
EP, 10, 2021072900, GN, OFCL, 168,     ,      ,  10,  168, JLB, genFcst, , ,  0, 014, 
EP, 10, 2021072906, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 014, 
EP, 10, 2021072906, GN, OFCL, 120,     ,      ,   0,  120, JLB, genFcst, , ,  0, 014, 
EP, 10, 2021072906, GN, OFCL, 168,     ,      ,  10,  168, JLB, genFcst, , ,  0, 014, 
EP, 10, 2021072912, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 014, 
EP, 10, 2021072912, GN, OFCL, 120,     ,      ,   0,  120, BJR, genFcst, , ,  0, 014, 
EP, 10, 2021072912, GN, OFCL, 168,     ,      ,  10,  168, BJR, genFcst, , ,  0, 014, 
EP, 10, 2021072918, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 014, 
EP, 10, 2021072918, GN, OFCL, 120,     ,      ,  10,  120, JPC, genFcst, , ,  0, 014, 
EP, 10, 2021072918, GN, OFCL, 168,     ,      ,  30,  168, JPC, genFcst, , ,  0, 014, 
EP, 10, 2021073006, GN, OFCL,  48,     ,      ,  30,   48, ESB, genFcst, , ,  0, 014, 
EP, 10, 2021073006, GN, OFCL, 120,     ,      ,  50,  120, ESB, genFcst, , ,  0, 014, 
EP, 10, 2021073006, GN, OFCL, 168,     ,      ,  70,  168, ESB, genFcst, , ,  0, 014, 
EP, 10, 2021073012, GN, OFCL,  48,     ,      ,  30,   48, JPC, genFcst, , ,  0, 014, 
EP, 10, 2021073012, GN, OFCL, 120,     ,      ,  60,  120, JPC, genFcst, , ,  0, 014, 
EP, 10, 2021073012, GN, OFCL, 168,     ,      ,  70,  168, JPC, genFcst, , ,  0, 014, 
EP, 10, 2021073018, GN, OFCL,  48,     ,      ,  30,   48, JPC, genFcst, , ,  0, 014, 
EP, 10, 2021073018, GN, OFCL, 120,     ,      ,  60,  120, JPC, genFcst, , ,  0, 014, 
EP, 10, 2021073018, GN, OFCL, 168,     ,      ,  70,  168, JPC, genFcst, , ,  0, 014, 
EP, 10, 2021073100, GN, OFCL,  48,     ,      ,  30,   48, JLB, genFcst, , ,  0, 014, 
EP, 10, 2021073100, GN, OFCL, 120,     ,      ,  60,  120, JLB, genFcst, , ,  0, 014, 
EP, 10, 2021073100, GN, OFCL, 168,     ,      ,  70,  168, JLB, genFcst, , ,  0, 014, 
EP, 10, 2021073106, GN, OFCL,  48,     ,      ,  50,   48, RJB, genFcst, , ,  0, 014, 
EP, 10, 2021073106, GN, OFCL, 120,     ,      ,  70,  120, RJB, genFcst, , ,  0, 014, 
EP, 10, 2021073106, GN, OFCL, 168,     ,      ,  70,  168, RJB, genFcst, , ,  0, 014, 
EP, 10, 2021073106, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021073106, ep912021,  1, 014, 
EP, 10, 2021073106, IN, IVCN,  12,     ,      ,  68,  22,   ,    5, 
EP, 10, 2021073106, IN, IVCN,  24,     ,      ,  68,  23,   ,    7, 
EP, 10, 2021073106, IN, IVCN,  36,     ,      ,  68,  25,   ,    9, 
EP, 10, 2021073106, IN, IVCN,  48,     ,      ,  68,  28,   ,   11, 
EP, 10, 2021073106, IN, IVCN,  60,     ,      ,  68,  31,   ,   12, 
EP, 10, 2021073106, IN, IVCN,  72,     ,      ,  68,  30,   ,   13, 
EP, 10, 2021073106, RI, DTPE,  12, 117N, 1040W,   0,  20,  40,    ,            0,           12, 
EP, 10, 2021073106, RI, DTPE,  24, 117N, 1040W,   0,  25,  45,    ,            0,           24, 
EP, 10, 2021073106, RI, DTPE,  24, 117N, 1040W,   0,  30,  50,    ,            0,           24, 
EP, 10, 2021073106, RI, DTPE,  24, 117N, 1040W,   0,  35,  55,    ,            0,           24, 
EP, 10, 2021073106, RI, DTPE,  24, 117N, 1040W,   0,  40,  60,    ,            0,           24, 
EP, 10, 2021073106, RI, DTPE,  36, 117N, 1040W,   0,  45,  65,    ,            0,           36, 
EP, 10, 2021073106, RI, DTPE,  48, 117N, 1040W,   0,  55,  75,    ,            0,           48, 
EP, 10, 2021073106, RI, DTPE,  72, 117N, 1040W,   0,  65,  85,    ,            0,           72, 
EP, 10, 2021073106, RI, RIOB,  12, 117N, 1040W,   0,  20,  40,    ,            0,           12, 
EP, 10, 2021073106, RI, RIOB,  24, 117N, 1040W,   0,  25,  45,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOB,  24, 117N, 1040W,   0,  30,  50,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOB,  24, 117N, 1040W,   0,  35,  55,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOB,  24, 117N, 1040W,   0,  40,  60,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOB,  36, 117N, 1040W,   0,  45,  65,    ,            0,           36, 
EP, 10, 2021073106, RI, RIOB,  48, 117N, 1040W,   0,  55,  75,    ,            0,           48, 
EP, 10, 2021073106, RI, RIOB,  72, 117N, 1040W,   0,  65,  85,    ,            0,           72, 
EP, 10, 2021073106, RI, RIOC,  12, 117N, 1040W,   0,  20,  40,    ,            0,           12, 
EP, 10, 2021073106, RI, RIOC,  24, 117N, 1040W,   0,  25,  45,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOC,  24, 117N, 1040W,   0,  30,  50,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOC,  24, 117N, 1040W,   0,  35,  55,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOC,  24, 117N, 1040W,   0,  40,  60,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOC,  36, 117N, 1040W,   0,  45,  65,    ,            0,           36, 
EP, 10, 2021073106, RI, RIOC,  48, 117N, 1040W,   1,  55,  75,    ,            0,           48, 
EP, 10, 2021073106, RI, RIOC,  72, 117N, 1040W,   2,  65,  85,    ,            0,           72, 
EP, 10, 2021073106, RI, RIOD,  12, 117N, 1040W,   0,  20,  40,    ,            0,           12, 
EP, 10, 2021073106, RI, RIOD,  24, 117N, 1040W,   0,  25,  45,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOD,  24, 117N, 1040W,   0,  30,  50,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOD,  24, 117N, 1040W,   0,  35,  55,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOD,  24, 117N, 1040W,   0,  40,  60,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOD,  36, 117N, 1040W,   0,  45,  65,    ,            0,           36, 
EP, 10, 2021073106, RI, RIOD,  48, 117N, 1040W,   0,  55,  75,    ,            0,           48, 
EP, 10, 2021073106, RI, RIOD,  72, 117N, 1040W,   0,  65,  85,    ,            0,           72, 
EP, 10, 2021073106, RI, RIOL,  12, 117N, 1040W,   0,  20,  40,    ,            0,           12, 
EP, 10, 2021073106, RI, RIOL,  24, 117N, 1040W,   1,  25,  45,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOL,  24, 117N, 1040W,   0,  30,  50,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOL,  24, 117N, 1040W,   0,  35,  55,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOL,  24, 117N, 1040W,   0,  40,  60,    ,            0,           24, 
EP, 10, 2021073106, RI, RIOL,  36, 117N, 1040W,   0,  45,  65,    ,            0,           36, 
EP, 10, 2021073106, RI, RIOL,  48, 117N, 1040W,   2,  55,  75,    ,            0,           48, 
EP, 10, 2021073106, RI, RIOL,  72, 117N, 1040W,   5,  65,  85,    ,            0,           72, 
EP, 10, 2021073112, IN, IVCN,  12,     ,      ,  68,  25,   ,    5, 
EP, 10, 2021073112, IN, IVCN,  24,     ,      ,  68,  26,   ,    8, 
