EP, 12, 2021080518, GN, OFCL,  48,     ,      ,   0,   48, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080518, GN, OFCL, 120,     ,      ,   0,  120, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080518, GN, OFCL, 168,     ,      ,  10,  168, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080600, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 017, 
EP, 12, 2021080600, GN, OFCL, 120,     ,      ,  10,  120, BJR, genFcst, , ,  0, 017, 
EP, 12, 2021080600, GN, OFCL, 168,     ,      ,  20,  168, BJR, genFcst, , ,  0, 017, 
EP, 12, 2021080606, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 017, 
EP, 12, 2021080606, GN, OFCL, 120,     ,      ,  10,  120, JLB, genFcst, , ,  0, 017, 
EP, 12, 2021080606, GN, OFCL, 168,     ,      ,  20,  168, JLB, genFcst, , ,  0, 017, 
EP, 12, 2021080612, GN, OFCL,  48,     ,      ,   0,   48, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080612, GN, OFCL, 120,     ,      ,  10,  120, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080612, GN, OFCL, 168,     ,      ,  20,  168, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080618, GN, OFCL,  48,     ,      ,   0,   48, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080618, GN, OFCL, 120,     ,      ,  20,  120, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080618, GN, OFCL, 168,     ,      ,  30,  168, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080700, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 017, 
EP, 12, 2021080700, GN, OFCL, 120,     ,      ,  30,  120, JPC, genFcst, , ,  0, 017, 
EP, 12, 2021080700, GN, OFCL, 168,     ,      ,  40,  168, JPC, genFcst, , ,  0, 017, 
EP, 12, 2021080706, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 017, 
EP, 12, 2021080706, GN, OFCL, 120,     ,      ,  40,  120, RJB, genFcst, , ,  0, 017, 
EP, 12, 2021080706, GN, OFCL, 168,     ,      ,  50,  168, RJB, genFcst, , ,  0, 017, 
EP, 12, 2021080718, GN, OFCL,  48,     ,      ,  10,   48, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080718, GN, OFCL, 120,     ,      ,  70,  120, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080718, GN, OFCL, 168,     ,      ,  80,  168, DPR, genFcst, , ,  0, 017, 
EP, 12, 2021080800, GN, OFCL,  48,     ,      ,  20,   48, JPC, genFcst, , ,  0, 017, 
EP, 12, 2021080800, GN, OFCL, 120,     ,      ,  80,  120, JPC, genFcst, , ,  0, 017, 
EP, 12, 2021080800, GN, OFCL, 168,     ,      ,  90,  168, JPC, genFcst, , ,  0, 017, 
EP, 12, 2021080806, GN, OFCL,  48,     ,      ,  30,   48, BJR, genFcst, , ,  0, 017, 
EP, 12, 2021080806, GN, OFCL, 120,     ,      ,  80,  120, BJR, genFcst, , ,  0, 017, 
EP, 12, 2021080806, GN, OFCL, 168,     ,      ,  90,  168, BJR, genFcst, , ,  0, 017, 
EP, 12, 2021080812, GN, OFCL,  48,     ,      ,  50,   48, DPB, genFcst, , ,  0, 017, 
EP, 12, 2021080812, GN, OFCL, 120,     ,      ,  80,  120, DPB, genFcst, , ,  0, 017, 
EP, 12, 2021080812, GN, OFCL, 168,     ,      ,  90,  168, DPB, genFcst, , ,  0, 017, 
EP, 12, 2021080812, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021080812, ep932021,  1, 017, 
EP, 12, 2021080812, IN, IVCN,  12,     ,      ,  68,  21,   ,    5, 
EP, 12, 2021080812, IN, IVCN,  24,     ,      ,  68,  22,   ,    7, 
EP, 12, 2021080812, IN, IVCN,  36,     ,      ,  68,  24,   ,    9, 
EP, 12, 2021080812, IN, IVCN,  48,     ,      ,  68,  29,   ,   11, 
EP, 12, 2021080812, IN, IVCN,  60,     ,      ,  68,  36,   ,   13, 
EP, 12, 2021080812, IN, IVCN,  72,     ,      ,  68,  42,   ,   15, 
EP, 12, 2021080812, IN, IVCN,  96,     ,      ,  68,  52,   ,   21, 
EP, 12, 2021080812, IN, IVCN, 120,     ,      ,  68,  64,   ,   27, 
EP, 12, 2021080812, RI, EIOB,  12, 124N,  941W,   0,  20,  40,    ,            0,           12, 
EP, 12, 2021080812, RI, EIOB,  24, 124N,  941W,   1,  25,  45,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOB,  24, 124N,  941W,   0,  30,  50,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOB,  24, 124N,  941W,   0,  35,  55,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOB,  24, 124N,  941W,   0,  40,  60,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOB,  36, 124N,  941W,   0,  45,  65,    ,            0,           36, 
EP, 12, 2021080812, RI, EIOB,  48, 124N,  941W,   0,  55,  75,    ,            0,           48, 
EP, 12, 2021080812, RI, EIOB,  72, 124N,  941W,  16,  65,  85,    ,            0,           72, 
EP, 12, 2021080812, RI, EIOC,  12, 124N,  941W,   0,  20,  40,    ,            0,           12, 
EP, 12, 2021080812, RI, EIOC,  24, 124N,  941W,   4,  25,  45,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOC,  24, 124N,  941W,   2,  30,  50,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOC,  24, 124N,  941W,   1,  35,  55,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOC,  24, 124N,  941W,   0,  40,  60,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOC,  36, 124N,  941W,   5,  45,  65,    ,            0,           36, 
EP, 12, 2021080812, RI, EIOC,  48, 124N,  941W,  10,  55,  75,    ,            0,           48, 
EP, 12, 2021080812, RI, EIOC,  72, 124N,  941W,  14,  65,  85,    ,            0,           72, 
EP, 12, 2021080812, RI, EIOD,  12, 124N,  941W,   0,  20,  40,    ,            0,           12, 
EP, 12, 2021080812, RI, EIOD,  24, 124N,  941W,   0,  25,  45,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOD,  24, 124N,  941W,   0,  30,  50,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOD,  24, 124N,  941W,   0,  35,  55,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOD,  24, 124N,  941W,   0,  40,  60,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOD,  36, 124N,  941W,   0,  45,  65,    ,            0,           36, 
EP, 12, 2021080812, RI, EIOD,  48, 124N,  941W,   0,  55,  75,    ,            0,           48, 
EP, 12, 2021080812, RI, EIOD,  72, 124N,  941W,   0,  65,  85,    ,            0,           72, 
EP, 12, 2021080812, RI, EIOL,  12, 124N,  941W,   1,  20,  40,    ,            0,           12, 
EP, 12, 2021080812, RI, EIOL,  24, 124N,  941W,  10,  25,  45,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOL,  24, 124N,  941W,   6,  30,  50,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOL,  24, 124N,  941W,   3,  35,  55,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOL,  24, 124N,  941W,   1,  40,  60,    ,            0,           24, 
EP, 12, 2021080812, RI, EIOL,  36, 124N,  941W,  15,  45,  65,    ,            0,           36, 
EP, 12, 2021080812, RI, EIOL,  48, 124N,  941W,  29,  55,  75,    ,            0,           48, 
EP, 12, 2021080812, RI, EIOL,  72, 124N,  941W,  27,  65,  85,    ,            0,           72, 
EP, 12, 2021080812, RI, RIOB,  12, 124N,  941W,   0,  20,  40,    ,            0,           12, 
EP, 12, 2021080812, RI, RIOB,  24, 124N,  941W,   0,  25,  45,    ,            0,           24, 
EP, 12, 2021080812, RI, RIOB,  24, 124N,  941W,   0,  30,  50,    ,            0,           24, 
EP, 12, 2021080812, RI, RIOB,  24, 124N,  941W,   0,  35,  55,    ,            0,           24, 
EP, 12, 2021080812, RI, RIOB,  24, 124N,  941W,   0,  40,  60,    ,            0,           24, 
EP, 12, 2021080812, RI, RIOB,  36, 124N,  941W,   0,  45,  65,    ,            0,           36, 
EP, 12, 2021080812, RI, RIOB,  48, 124N,  941W,   0,  55,  75,    ,            0,           48, 
EP, 12, 2021080812, RI, RIOB,  72, 124N,  941W,   0,  65,  85,    ,            0,           72, 
EP, 12, 2021080812, RI, RIOC,  12, 124N,  941W,   0,  20,  40,    ,            0,           12, 
EP, 12, 2021080812, RI, RIOC,  24, 124N,  941W,   3,  25,  45,    ,            0,           24, 
EP, 12, 2021080812, RI, RIOC,  24, 124N,  941W,   1,  30,  50,    ,            0,           24, 
EP, 12, 2021080812, RI, RIOC,  24, 124N,  941W,   1,  35,  55,    ,            0,           24, 
EP, 12, 2021080812, RI, RIOC,  24, 124N,  941W,   0,  40,  60,    ,            0,           24, 
