EP, 13, 2021081718, GN, OFCL,  48,     ,      ,   0,   48, HSM, genFcst, , ,  0, 019, 
EP, 13, 2021081718, GN, OFCL, 120,     ,      ,  10,  120, HSM, genFcst, , ,  0, 019, 
EP, 13, 2021081718, GN, OFCL, 168,     ,      ,  20,  168, HSM, genFcst, , ,  0, 019, 
EP, 13, 2021081800, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 019, 
EP, 13, 2021081800, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 019, 
EP, 13, 2021081800, GN, OFCL, 168,     ,      ,  30,  168, DPB, genFcst, , ,  0, 019, 
EP, 13, 2021081812, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 019, 
EP, 13, 2021081812, GN, OFCL, 120,     ,      ,  10,  120, JPC, genFcst, , ,  0, 019, 
EP, 13, 2021081812, GN, OFCL, 168,     ,      ,  40,  168, JPC, genFcst, , ,  0, 019, 
EP, 13, 2021081818, GN, OFCL,  48,     ,      ,   0,   48,    , genFcst, , ,  0, 019, 
EP, 13, 2021081818, GN, OFCL, 120,     ,      ,  20,  120,    , genFcst, , ,  0, 019, 
EP, 13, 2021081818, GN, OFCL, 168,     ,      ,  50,  168,    , genFcst, , ,  0, 019, 
EP, 13, 2021081900, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 019, 
EP, 13, 2021081900, GN, OFCL, 120,     ,      ,  30,  120, PPP, genFcst, , ,  0, 019, 
EP, 13, 2021081900, GN, OFCL, 168,     ,      ,  60,  168, PPP, genFcst, , ,  0, 019, 
EP, 13, 2021081906, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 019, 
EP, 13, 2021081906, GN, OFCL, 120,     ,      ,  40,  120, RJB, genFcst, , ,  0, 019, 
EP, 13, 2021081906, GN, OFCL, 168,     ,      ,  70,  168, RJB, genFcst, , ,  0, 019, 
EP, 13, 2021081912, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 019, 
EP, 13, 2021081912, GN, OFCL, 120,     ,      ,  50,  120, JPC, genFcst, , ,  0, 019, 
EP, 13, 2021081912, GN, OFCL, 168,     ,      ,  80,  168, JPC, genFcst, , ,  0, 019, 
EP, 13, 2021081918, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 019, 
EP, 13, 2021081918, GN, OFCL, 120,     ,      ,  60,  120, JPC, genFcst, , ,  0, 019, 
EP, 13, 2021081918, GN, OFCL, 168,     ,      ,  80,  168, JPC, genFcst, , ,  0, 019, 
EP, 13, 2021082000, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 019, 
EP, 13, 2021082000, GN, OFCL, 120,     ,      ,  70,  120, PPP, genFcst, , ,  0, 019, 
EP, 13, 2021082000, GN, OFCL, 168,     ,      ,  80,  168, PPP, genFcst, , ,  0, 019, 
EP, 13, 2021082006, GN, OFCL,  48,     ,      ,  10,   48, DPB, genFcst, , ,  0, 019, 
EP, 13, 2021082006, GN, OFCL, 120,     ,      ,  80,  120, DPB, genFcst, , ,  0, 019, 
EP, 13, 2021082006, GN, OFCL, 168,     ,      ,  80,  168, DPB, genFcst, , ,  0, 019, 
EP, 13, 2021082012, GN, OFCL,  48,     ,      ,  30,   48, BJR, genFcst, , ,  0, 019, 
EP, 13, 2021082012, GN, OFCL, 120,     ,      ,  80,  120, BJR, genFcst, , ,  0, 019, 
EP, 13, 2021082012, GN, OFCL, 168,     ,      ,  80,  168, BJR, genFcst, , ,  0, 019, 
EP, 13, 2021082018, GN, OFCL,  48,     ,      ,  40,   48, BJR, genFcst, , ,  0, 019, 
EP, 13, 2021082018, GN, OFCL, 120,     ,      ,  80,  120, BJR, genFcst, , ,  0, 019, 
EP, 13, 2021082018, GN, OFCL, 168,     ,      ,  80,  168, BJR, genFcst, , ,  0, 019, 
EP, 13, 2021082100, GN, OFCL,  48,     ,      ,  50,   48, PPP, genFcst, , ,  0, 019, 
EP, 13, 2021082100, GN, OFCL, 120,     ,      ,  80,  120, PPP, genFcst, , ,  0, 019, 
EP, 13, 2021082100, GN, OFCL, 168,     ,      ,  80,  168, PPP, genFcst, , ,  0, 019, 
EP, 13, 2021082106, GN, OFCL,  48,     ,      ,  60,   48, ASL, genFcst, , ,  0, 019, 
EP, 13, 2021082106, GN, OFCL, 120,     ,      ,  80,  120, ASL, genFcst, , ,  0, 019, 
EP, 13, 2021082106, GN, OFCL, 168,     ,      ,  80,  168, ASL, genFcst, , ,  0, 019, 
EP, 13, 2021082112, GN, OFCL,  48,     ,      ,  60,   48, RJP, genFcst, , ,  0, 019, 
EP, 13, 2021082112, GN, OFCL, 120,     ,      ,  80,  120, RJP, genFcst, , ,  0, 019, 
EP, 13, 2021082112, GN, OFCL, 168,     ,      ,  80,  168, RJP, genFcst, , ,  0, 019, 
EP, 13, 2021082118, GN, OFCL,  48,     ,      ,  70,   48, RJP, genFcst, , ,  0, 019, 
EP, 13, 2021082118, GN, OFCL, 120,     ,      ,  80,  120, RJP, genFcst, , ,  0, 019, 
EP, 13, 2021082118, GN, OFCL, 168,     ,      ,  80,  168, RJP, genFcst, , ,  0, 019, 
EP, 13, 2021082206, GN, OFCL,  48,     ,      ,  70,   48, ASL, genFcst, , ,  0, 019, 
EP, 13, 2021082206, GN, OFCL, 120,     ,      ,  80,  120, ASL, genFcst, , ,  0, 019, 
EP, 13, 2021082206, GN, OFCL, 168,     ,      ,  80,  168, ASL, genFcst, , ,  0, 019, 
EP, 13, 2021082206, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021082206, ep942021,  1, 019, 
EP, 13, 2021082206, IN, IVCN,  12,     ,      ,  68,  36,   ,    5, 
EP, 13, 2021082206, IN, IVCN,  24,     ,      ,  68,  42,   ,    9, 
EP, 13, 2021082206, IN, IVCN,  36,     ,      ,  68,  47,   ,   12, 
EP, 13, 2021082206, IN, IVCN,  48,     ,      ,  68,  49,   ,   14, 
EP, 13, 2021082206, IN, IVCN,  60,     ,      ,  68,  47,   ,   14, 
EP, 13, 2021082206, IN, IVCN,  72,     ,      ,  68,  44,   ,   15, 
EP, 13, 2021082206, IN, IVCN,  96,     ,      ,  68,  34,   ,   12, 
EP, 13, 2021082206, IN, IVCN, 120,     ,      ,  68,  30,   ,   12, 
EP, 13, 2021082206, RI, DTPE,  12, 189N, 1043W,   0,  20,  50,    ,            0,           12, 
EP, 13, 2021082206, RI, DTPE,  24, 189N, 1043W,   0,  25,  55,    ,            0,           24, 
EP, 13, 2021082206, RI, DTPE,  24, 189N, 1043W,   0,  30,  60,    ,            0,           24, 
EP, 13, 2021082206, RI, DTPE,  24, 189N, 1043W,   0,  35,  65,    ,            0,           24, 
EP, 13, 2021082206, RI, DTPE,  24, 189N, 1043W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082206, RI, DTPE,  36, 189N, 1043W,   0,  45,  75,    ,            0,           36, 
EP, 13, 2021082206, RI, DTPE,  48, 189N, 1043W,   0,  55,  85,    ,            0,           48, 
EP, 13, 2021082206, RI, DTPE,  72, 189N, 1043W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082206, RI, RIOB,  12, 189N, 1043W,   0,  20,  50,    ,            0,           12, 
EP, 13, 2021082206, RI, RIOB,  24, 189N, 1043W,   1,  25,  55,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOB,  24, 189N, 1043W,   0,  30,  60,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOB,  24, 189N, 1043W,   0,  35,  65,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOB,  24, 189N, 1043W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOB,  36, 189N, 1043W,   0,  45,  75,    ,            0,           36, 
EP, 13, 2021082206, RI, RIOB,  48, 189N, 1043W,   0,  55,  85,    ,            0,           48, 
EP, 13, 2021082206, RI, RIOB,  72, 189N, 1043W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082206, RI, RIOC,  12, 189N, 1043W,   4,  20,  50,    ,            0,           12, 
EP, 13, 2021082206, RI, RIOC,  24, 189N, 1043W,  15,  25,  55,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOC,  24, 189N, 1043W,   9,  30,  60,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOC,  24, 189N, 1043W,   7,  35,  65,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOC,  24, 189N, 1043W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOC,  36, 189N, 1043W,   7,  45,  75,    ,            0,           36, 
EP, 13, 2021082206, RI, RIOC,  48, 189N, 1043W,   6,  55,  85,    ,            0,           48, 
EP, 13, 2021082206, RI, RIOC,  72, 189N, 1043W,   5,  65,  95,    ,            0,           72, 
EP, 13, 2021082206, RI, RIOD,  12, 189N, 1043W,   8,  20,  50,    ,            0,           12, 
EP, 13, 2021082206, RI, RIOD,  24, 189N, 1043W,  20,  25,  55,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOD,  24, 189N, 1043W,  17,  30,  60,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOD,  24, 189N, 1043W,  16,  35,  65,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOD,  24, 189N, 1043W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOD,  36, 189N, 1043W,  16,  45,  75,    ,            0,           36, 
EP, 13, 2021082206, RI, RIOD,  48, 189N, 1043W,  14,  55,  85,    ,            0,           48, 
EP, 13, 2021082206, RI, RIOD,  72, 189N, 1043W,  12,  65,  95,    ,            0,           72, 
EP, 13, 2021082206, RI, RIOL,  12, 189N, 1043W,   4,  20,  50,    ,            0,           12, 
EP, 13, 2021082206, RI, RIOL,  24, 189N, 1043W,  22,  25,  55,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOL,  24, 189N, 1043W,  10,  30,  60,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOL,  24, 189N, 1043W,   4,  35,  65,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOL,  24, 189N, 1043W,   1,  40,  70,    ,            0,           24, 
EP, 13, 2021082206, RI, RIOL,  36, 189N, 1043W,   5,  45,  75,    ,            0,           36, 
EP, 13, 2021082206, RI, RIOL,  48, 189N, 1043W,   2,  55,  85,    ,            0,           48, 
EP, 13, 2021082206, RI, RIOL,  72, 189N, 1043W,   3,  65,  95,    ,            0,           72, 
EP, 13, 2021082212, IN, IVCN,  12,     ,      ,  68,  36,   ,    5, 
EP, 13, 2021082212, IN, IVCN,  24,     ,      ,  68,  42,   ,    9, 
EP, 13, 2021082212, IN, IVCN,  36,     ,      ,  68,  44,   ,   12, 
EP, 13, 2021082212, IN, IVCN,  48,     ,      ,  68,  45,   ,   13, 
EP, 13, 2021082212, IN, IVCN,  60,     ,      ,  68,  44,   ,   14, 
EP, 13, 2021082212, IN, IVCN,  72,     ,      ,  68,  40,   ,   14, 
EP, 13, 2021082212, IN, IVCN,  96,     ,      ,  68,  30,   ,   11, 
EP, 13, 2021082212, IN, IVCN, 120,     ,      ,  68,  24,   ,   10, 
EP, 13, 2021082212, RI, EIOB,  12, 189N, 1058W,   0,  20,  50,    ,            0,           12, 
EP, 13, 2021082212, RI, EIOB,  24, 189N, 1058W,   1,  25,  55,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOB,  24, 189N, 1058W,   0,  30,  60,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOB,  24, 189N, 1058W,   0,  35,  65,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOB,  24, 189N, 1058W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOB,  36, 189N, 1058W,   0,  45,  75,    ,            0,           36, 
EP, 13, 2021082212, RI, EIOB,  48, 189N, 1058W,   0,  55,  85,    ,            0,           48, 
EP, 13, 2021082212, RI, EIOB,  72, 189N, 1058W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082212, RI, EIOC,  12, 189N, 1058W,   3,  20,  50,    ,            0,           12, 
EP, 13, 2021082212, RI, EIOC,  24, 189N, 1058W,   9,  25,  55,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOC,  24, 189N, 1058W,   6,  30,  60,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOC,  24, 189N, 1058W,   5,  35,  65,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOC,  24, 189N, 1058W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082212, RI, EIOC,  36, 189N, 1058W,   6,  45,  75,    ,            0,           36, 
EP, 13, 2021082212, RI, EIOC,  48, 189N, 1058W,   5,  55,  85,    ,            0,           48, 
EP, 13, 2021082212, RI, EIOC,  72, 189N, 1058W,   1,  65,  95,    ,            0,           72, 
