EP, 15, 2021090200, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 020, 
EP, 15, 2021090200, GN, OFCL, 120,     ,      ,  10,  120, RJB, genFcst, , ,  0, 020, 
EP, 15, 2021090200, GN, OFCL, 168,     ,      ,  20,  168, RJB, genFcst, , ,  0, 020, 
EP, 15, 2021090206, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 020, 
EP, 15, 2021090206, GN, OFCL, 120,     ,      ,  10,  120, RJP, genFcst, , ,  0, 020, 
EP, 15, 2021090206, GN, OFCL, 168,     ,      ,  20,  168, RJP, genFcst, , ,  0, 020, 
EP, 15, 2021090212, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090212, GN, OFCL, 120,     ,      ,  10,  120, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090212, GN, OFCL, 168,     ,      ,  20,  168, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090218, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090218, GN, OFCL, 120,     ,      ,  10,  120, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090218, GN, OFCL, 168,     ,      ,  20,  168, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090300, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 020, 
EP, 15, 2021090300, GN, OFCL, 120,     ,      ,  20,  120, DPB, genFcst, , ,  0, 020, 
EP, 15, 2021090300, GN, OFCL, 168,     ,      ,  40,  168, DPB, genFcst, , ,  0, 020, 
EP, 15, 2021090306, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 020, 
EP, 15, 2021090306, GN, OFCL, 120,     ,      ,  20,  120, JPC, genFcst, , ,  0, 020, 
EP, 15, 2021090306, GN, OFCL, 168,     ,      ,  40,  168, JPC, genFcst, , ,  0, 020, 
EP, 15, 2021090312, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090312, GN, OFCL, 120,     ,      ,  20,  120, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090312, GN, OFCL, 168,     ,      ,  40,  168, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090318, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090318, GN, OFCL, 120,     ,      ,  30,  120, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090318, GN, OFCL, 168,     ,      ,  50,  168, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090400, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 020, 
EP, 15, 2021090400, GN, OFCL, 120,     ,      ,  40,  120, DPB, genFcst, , ,  0, 020, 
EP, 15, 2021090400, GN, OFCL, 168,     ,      ,  60,  168, DPB, genFcst, , ,  0, 020, 
EP, 15, 2021090406, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 020, 
EP, 15, 2021090406, GN, OFCL, 120,     ,      ,  50,  120, JPC, genFcst, , ,  0, 020, 
EP, 15, 2021090406, GN, OFCL, 168,     ,      ,  70,  168, JPC, genFcst, , ,  0, 020, 
EP, 15, 2021090412, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090412, GN, OFCL, 120,     ,      ,  50,  120, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090412, GN, OFCL, 168,     ,      ,  70,  168, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090418, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090418, GN, OFCL, 120,     ,      ,  50,  120, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090418, GN, OFCL, 168,     ,      ,  70,  168, JLB, genFcst, , ,  0, 020, 
EP, 15, 2021090500, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 020, 
EP, 15, 2021090500, GN, OFCL, 120,     ,      ,  70,  120, SRS, genFcst, , ,  0, 020, 
EP, 15, 2021090500, GN, OFCL, 168,     ,      ,  90,  168, SRS, genFcst, , ,  0, 020, 
EP, 15, 2021090506, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 020, 
EP, 15, 2021090506, GN, OFCL, 120,     ,      ,  70,  120, BJR, genFcst, , ,  0, 020, 
EP, 15, 2021090506, GN, OFCL, 168,     ,      ,  90,  168, BJR, genFcst, , ,  0, 020, 
EP, 15, 2021090512, GN, OFCL,  48,     ,      ,  20,   48, RJP, genFcst, , ,  0, 020, 
EP, 15, 2021090512, GN, OFCL, 120,     ,      ,  70,  120, RJP, genFcst, , ,  0, 020, 
EP, 15, 2021090512, GN, OFCL, 168,     ,      ,  90,  168, RJP, genFcst, , ,  0, 020, 
EP, 15, 2021090518, GN, OFCL,  48,     ,      ,  30,   48, ASL, genFcst, , ,  0, 020, 
EP, 15, 2021090518, GN, OFCL, 120,     ,      ,  80,  120, ASL, genFcst, , ,  0, 020, 
EP, 15, 2021090518, GN, OFCL, 168,     ,      ,  90,  168, ASL, genFcst, , ,  0, 020, 
EP, 15, 2021090518, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021090518, ep962021,  1, 020, 
EP, 15, 2021090518, IN, IVCN,  12,     ,      ,  68,  21,   ,    5, 
EP, 15, 2021090518, IN, IVCN,  24,     ,      ,  68,  24,   ,    7, 
EP, 15, 2021090518, IN, IVCN,  36,     ,      ,  68,  28,   ,   10, 
EP, 15, 2021090518, IN, IVCN,  48,     ,      ,  68,  35,   ,   12, 
EP, 15, 2021090518, IN, IVCN,  60,     ,      ,  68,  44,   ,   14, 
EP, 15, 2021090518, IN, IVCN,  72,     ,      ,  68,  53,   ,   17, 
EP, 15, 2021090518, IN, IVCN,  96,     ,      ,  68,  63,   ,   20, 
EP, 15, 2021090518, IN, IVCN, 120,     ,      ,  68,  59,   ,   21, 
EP, 15, 2021090518, RI, EIOB,  12, 146N, 1027W,   0,  20,  40,    ,            0,           12, 
EP, 15, 2021090518, RI, EIOB,  24, 146N, 1027W,   0,  25,  45,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOB,  24, 146N, 1027W,   0,  30,  50,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOB,  24, 146N, 1027W,   0,  35,  55,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOB,  24, 146N, 1027W,   0,  40,  60,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOB,  36, 146N, 1027W,   0,  45,  65,    ,            0,           36, 
EP, 15, 2021090518, RI, EIOB,  48, 146N, 1027W,   0,  55,  75,    ,            0,           48, 
EP, 15, 2021090518, RI, EIOB,  72, 146N, 1027W,   0,  65,  85,    ,            0,           72, 
EP, 15, 2021090518, RI, EIOC,  12, 146N, 1027W,   0,  20,  40,    ,            0,           12, 
EP, 15, 2021090518, RI, EIOC,  24, 146N, 1027W,   2,  25,  45,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOC,  24, 146N, 1027W,   1,  30,  50,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOC,  24, 146N, 1027W,   0,  35,  55,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOC,  24, 146N, 1027W,   0,  40,  60,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOC,  36, 146N, 1027W,   5,  45,  65,    ,            0,           36, 
EP, 15, 2021090518, RI, EIOC,  48, 146N, 1027W,   5,  55,  75,    ,            0,           48, 
EP, 15, 2021090518, RI, EIOC,  72, 146N, 1027W,   2,  65,  85,    ,            0,           72, 
EP, 15, 2021090518, RI, EIOD,  12, 146N, 1027W,   0,  20,  40,    ,            0,           12, 
EP, 15, 2021090518, RI, EIOD,  24, 146N, 1027W,   0,  25,  45,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOD,  24, 146N, 1027W,   0,  30,  50,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOD,  24, 146N, 1027W,   0,  35,  55,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOD,  24, 146N, 1027W,   0,  40,  60,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOD,  36, 146N, 1027W,   0,  45,  65,    ,            0,           36, 
EP, 15, 2021090518, RI, EIOD,  48, 146N, 1027W,   0,  55,  75,    ,            0,           48, 
EP, 15, 2021090518, RI, EIOD,  72, 146N, 1027W,   0,  65,  85,    ,            0,           72, 
EP, 15, 2021090518, RI, EIOL,  12, 146N, 1027W,   1,  20,  40,    ,            0,           12, 
EP, 15, 2021090518, RI, EIOL,  24, 146N, 1027W,   5,  25,  45,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOL,  24, 146N, 1027W,   2,  30,  50,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOL,  24, 146N, 1027W,   1,  35,  55,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOL,  24, 146N, 1027W,   0,  40,  60,    ,            0,           24, 
EP, 15, 2021090518, RI, EIOL,  36, 146N, 1027W,  15,  45,  65,    ,            0,           36, 
EP, 15, 2021090518, RI, EIOL,  48, 146N, 1027W,  15,  55,  75,    ,            0,           48, 
EP, 15, 2021090518, RI, EIOL,  72, 146N, 1027W,   5,  65,  85,    ,            0,           72, 
EP, 15, 2021090518, RI, RIOB,  12, 146N, 1027W,   0,  20,  40,    ,            0,           12, 
EP, 15, 2021090518, RI, RIOB,  24, 146N, 1027W,   0,  25,  45,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOB,  24, 146N, 1027W,   0,  30,  50,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOB,  24, 146N, 1027W,   0,  35,  55,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOB,  24, 146N, 1027W,   0,  40,  60,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOB,  36, 146N, 1027W,   0,  45,  65,    ,            0,           36, 
EP, 15, 2021090518, RI, RIOB,  48, 146N, 1027W,   0,  55,  75,    ,            0,           48, 
EP, 15, 2021090518, RI, RIOB,  72, 146N, 1027W,   0,  65,  85,    ,            0,           72, 
EP, 15, 2021090518, RI, RIOC,  12, 146N, 1027W,   0,  20,  40,    ,            0,           12, 
EP, 15, 2021090518, RI, RIOC,  24, 146N, 1027W,   2,  25,  45,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOC,  24, 146N, 1027W,   0,  30,  50,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOC,  24, 146N, 1027W,   0,  35,  55,    ,            0,           24, 
EP, 15, 2021090518, RI, RIOC,  24, 146N, 1027W,   0,  40,  60,    ,            0,           24, 
