EP, 17, 2021101706, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101706, GN, OFCL, 120,     ,      ,  10,  120, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101706, GN, OFCL, 168,     ,      ,  10,  168, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101712, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101712, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101712, GN, OFCL, 168,     ,      ,  20,  168, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101718, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101718, GN, OFCL, 120,     ,      ,  10,  120, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101718, GN, OFCL, 168,     ,      ,  30,  168, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101800, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101800, GN, OFCL, 120,     ,      ,  20,  120, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101800, GN, OFCL, 168,     ,      ,  40,  168, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101806, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101806, GN, OFCL, 120,     ,      ,  20,  120, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101806, GN, OFCL, 168,     ,      ,  40,  168, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101812, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101812, GN, OFCL, 120,     ,      ,  30,  120, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101812, GN, OFCL, 168,     ,      ,  50,  168, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101818, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101818, GN, OFCL, 120,     ,      ,  40,  120, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101818, GN, OFCL, 168,     ,      ,  60,  168, DPB, genFcst, , ,  0, 029, 
EP, 17, 2021101900, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 029, 
EP, 17, 2021101900, GN, OFCL, 120,     ,      ,  50,  120, RJP, genFcst, , ,  0, 029, 
EP, 17, 2021101900, GN, OFCL, 168,     ,      ,  60,  168, RJP, genFcst, , ,  0, 029, 
EP, 17, 2021101906, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101906, GN, OFCL, 120,     ,      ,  60,  120, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101906, GN, OFCL, 168,     ,      ,  70,  168, JPC, genFcst, , ,  0, 029, 
EP, 17, 2021101912, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 029, 
EP, 17, 2021101912, GN, OFCL, 120,     ,      ,  60,  120, JLB, genFcst, , ,  0, 029, 
EP, 17, 2021101912, GN, OFCL, 168,     ,      ,  80,  168, JLB, genFcst, , ,  0, 029, 
EP, 17, 2021102000, GN, OFCL,  48,     ,      ,  10,   48, PPP, genFcst, , ,  0, 029, 
EP, 17, 2021102000, GN, OFCL, 120,     ,      ,  70,  120, PPP, genFcst, , ,  0, 029, 
EP, 17, 2021102000, GN, OFCL, 168,     ,      ,  80,  168, PPP, genFcst, , ,  0, 029, 
EP, 17, 2021102012, GN, OFCL,  48,     ,      ,  20,   48, BJR, genFcst, , ,  0, 029, 
EP, 17, 2021102012, GN, OFCL, 120,     ,      ,  80,  120, BJR, genFcst, , ,  0, 029, 
EP, 17, 2021102012, GN, OFCL, 168,     ,      ,  80,  168, BJR, genFcst, , ,  0, 029, 
EP, 17, 2021102018, GN, OFCL,  48,     ,      ,  20,   48, BJR, genFcst, , ,  0, 029, 
EP, 17, 2021102018, GN, OFCL, 120,     ,      ,  80,  120, BJR, genFcst, , ,  0, 029, 
EP, 17, 2021102018, GN, OFCL, 168,     ,      ,  80,  168, BJR, genFcst, , ,  0, 029, 
EP, 17, 2021102100, GN, OFCL,  48,     ,      ,  20,   48, PPP, genFcst, , ,  0, 029, 
EP, 17, 2021102100, GN, OFCL, 120,     ,      ,  80,  120, PPP, genFcst, , ,  0, 029, 
EP, 17, 2021102100, GN, OFCL, 168,     ,      ,  80,  168, PPP, genFcst, , ,  0, 029, 
EP, 17, 2021102106, GN, OFCL,  48,     ,      ,  30,   48, PPP, genFcst, , ,  0, 029, 
EP, 17, 2021102106, GN, OFCL, 120,     ,      ,  90,  120, PPP, genFcst, , ,  0, 029, 
EP, 17, 2021102106, GN, OFCL, 168,     ,      ,  90,  168, PPP, genFcst, , ,  0, 029, 
EP, 17, 2021102112, GN, OFCL,  48,     ,      ,  40,   48, ASL, genFcst, , ,  0, 029, 
EP, 17, 2021102112, GN, OFCL, 120,     ,      ,  90,  120, ASL, genFcst, , ,  0, 029, 
EP, 17, 2021102112, GN, OFCL, 168,     ,      ,  90,  168, ASL, genFcst, , ,  0, 029, 
EP, 17, 2021102112, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021102112, ep922021,  1, 029, 
EP, 17, 2021102112, IN, IVCN,  12,     ,      ,  68,  29,   ,    5, 
EP, 17, 2021102112, IN, IVCN,  24,     ,      ,  68,  37,   ,    9, 
EP, 17, 2021102112, IN, IVCN,  36,     ,      ,  68,  48,   ,   13, 
EP, 17, 2021102112, IN, IVCN,  48,     ,      ,  68,  60,   ,   16, 
EP, 17, 2021102112, IN, IVCN,  60,     ,      ,  68,  73,   ,   19, 
EP, 17, 2021102112, IN, IVCN,  72,     ,      ,  68,  78,   ,   21, 
EP, 17, 2021102112, IN, IVCN,  96,     ,      ,  68,  41,   ,   10, 
EP, 17, 2021102112, IN, IVCN, 120,     ,      ,  68,  28,   ,    7, 
EP, 17, 2021102112, RI, EIOB,  12, 128N,  955W,   1,  20,  45,    ,            0,           12, 
EP, 17, 2021102112, RI, EIOB,  24, 128N,  955W,   4,  25,  50,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOB,  24, 128N,  955W,   4,  30,  55,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOB,  24, 128N,  955W,   1,  35,  60,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOB,  24, 128N,  955W,   0,  40,  65,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOB,  36, 128N,  955W,   1,  45,  70,    ,            0,           36, 
EP, 17, 2021102112, RI, EIOB,  48, 128N,  955W,   1,  55,  80,    ,            0,           48, 
EP, 17, 2021102112, RI, EIOB,  72, 128N,  955W,  19,  65,  90,    ,            0,           72, 
EP, 17, 2021102112, RI, EIOC,  12, 128N,  955W,   1,  20,  45,    ,            0,           12, 
EP, 17, 2021102112, RI, EIOC,  24, 128N,  955W,  17,  25,  50,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOC,  24, 128N,  955W,  13,  30,  55,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOC,  24, 128N,  955W,   4,  35,  60,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOC,  24, 128N,  955W,   2,  40,  65,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOC,  36, 128N,  955W,  29,  45,  70,    ,            0,           36, 
EP, 17, 2021102112, RI, EIOC,  48, 128N,  955W,  48,  55,  80,    ,            0,           48, 
EP, 17, 2021102112, RI, EIOC,  72, 128N,  955W,  25,  65,  90,    ,            0,           72, 
EP, 17, 2021102112, RI, EIOD,  12, 128N,  955W,   0,  20,  45,    ,            0,           12, 
EP, 17, 2021102112, RI, EIOD,  24, 128N,  955W,  22,  25,  50,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOD,  24, 128N,  955W,  20,  30,  55,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOD,  24, 128N,  955W,   0,  35,  60,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOD,  24, 128N,  955W,   0,  40,  65,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOD,  36, 128N,  955W,  24,  45,  70,    ,            0,           36, 
EP, 17, 2021102112, RI, EIOD,  48, 128N,  955W,  49,  55,  80,    ,            0,           48, 
EP, 17, 2021102112, RI, EIOD,  72, 128N,  955W,   0,  65,  90,    ,            0,           72, 
EP, 17, 2021102112, RI, EIOL,  12, 128N,  955W,   2,  20,  45,    ,            0,           12, 
EP, 17, 2021102112, RI, EIOL,  24, 128N,  955W,  24,  25,  50,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOL,  24, 128N,  955W,  17,  30,  55,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOL,  24, 128N,  955W,  11,  35,  60,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOL,  24, 128N,  955W,   6,  40,  65,    ,            0,           24, 
EP, 17, 2021102112, RI, EIOL,  36, 128N,  955W,  61,  45,  70,    ,            0,           36, 
EP, 17, 2021102112, RI, EIOL,  48, 128N,  955W,  93,  55,  80,    ,            0,           48, 
EP, 17, 2021102112, RI, EIOL,  72, 128N,  955W,  57,  65,  90,    ,            0,           72, 
EP, 17, 2021102112, RI, RIOB,  12, 128N,  955W,   1,  20,  45,    ,            0,           12, 
EP, 17, 2021102112, RI, RIOB,  24, 128N,  955W,   4,  25,  50,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOB,  24, 128N,  955W,   4,  30,  55,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOB,  24, 128N,  955W,   1,  35,  60,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOB,  24, 128N,  955W,   0,  40,  65,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOB,  36, 128N,  955W,   1,  45,  70,    ,            0,           36, 
EP, 17, 2021102112, RI, RIOB,  48, 128N,  955W,   1,  55,  80,    ,            0,           48, 
EP, 17, 2021102112, RI, RIOB,  72, 128N,  955W,  13,  65,  90,    ,            0,           72, 
EP, 17, 2021102112, RI, RIOC,  12, 128N,  955W,   1,  20,  45,    ,            0,           12, 
EP, 17, 2021102112, RI, RIOC,  24, 128N,  955W,  18,  25,  50,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOC,  24, 128N,  955W,  13,  30,  55,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOC,  24, 128N,  955W,   3,  35,  60,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOC,  24, 128N,  955W,   2,  40,  65,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOC,  36, 128N,  955W,  22,  45,  70,    ,            0,           36, 
EP, 17, 2021102112, RI, RIOC,  48, 128N,  955W,  46,  55,  80,    ,            0,           48, 
EP, 17, 2021102112, RI, RIOC,  72, 128N,  955W,  21,  65,  90,    ,            0,           72, 
EP, 17, 2021102112, RI, RIOD,  12, 128N,  955W,   0,  20,  45,    ,            0,           12, 
EP, 17, 2021102112, RI, RIOD,  24, 128N,  955W,  22,  25,  50,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOD,  24, 128N,  955W,  20,  30,  55,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOD,  24, 128N,  955W,   0,  35,  60,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOD,  24, 128N,  955W,   0,  40,  65,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOD,  36, 128N,  955W,  21,  45,  70,    ,            0,           36, 
EP, 17, 2021102112, RI, RIOD,  48, 128N,  955W,  49,  55,  80,    ,            0,           48, 
EP, 17, 2021102112, RI, RIOD,  72, 128N,  955W,   0,  65,  90,    ,            0,           72, 
EP, 17, 2021102112, RI, RIOL,  12, 128N,  955W,   2,  20,  45,    ,            0,           12, 
EP, 17, 2021102112, RI, RIOL,  24, 128N,  955W,  27,  25,  50,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOL,  24, 128N,  955W,  16,  30,  55,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOL,  24, 128N,  955W,  10,  35,  60,    ,            0,           24, 
EP, 17, 2021102112, RI, RIOL,  24, 128N,  955W,   6,  40,  65,    ,            0,           24, 
