EP, 18, 2021102918, GN, OFCL,  48,     ,      ,   0,   48, JPC, genFcst, , ,  0, 031, 
EP, 18, 2021102918, GN, OFCL, 120,     ,      ,   0,  120, JPC, genFcst, , ,  0, 031, 
EP, 18, 2021102918, GN, OFCL, 168,     ,      ,  10,  168, JPC, genFcst, , ,  0, 031, 
EP, 18, 2021103000, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 031, 
EP, 18, 2021103000, GN, OFCL, 120,     ,      ,   0,  120, RJB, genFcst, , ,  0, 031, 
EP, 18, 2021103000, GN, OFCL, 168,     ,      ,  10,  168, RJB, genFcst, , ,  0, 031, 
EP, 18, 2021103006, GN, OFCL,  48,     ,      ,   0,   48, RJB, genFcst, , ,  0, 031, 
EP, 18, 2021103006, GN, OFCL, 120,     ,      ,   0,  120, RJB, genFcst, , ,  0, 031, 
EP, 18, 2021103006, GN, OFCL, 168,     ,      ,  10,  168, RJB, genFcst, , ,  0, 031, 
EP, 18, 2021103012, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 031, 
EP, 18, 2021103012, GN, OFCL, 120,     ,      ,   0,  120, BJR, genFcst, , ,  0, 031, 
EP, 18, 2021103012, GN, OFCL, 168,     ,      ,  10,  168, BJR, genFcst, , ,  0, 031, 
EP, 18, 2021103018, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 031, 
EP, 18, 2021103018, GN, OFCL, 120,     ,      ,  10,  120, BJR, genFcst, , ,  0, 031, 
EP, 18, 2021103018, GN, OFCL, 168,     ,      ,  20,  168, BJR, genFcst, , ,  0, 031, 
EP, 18, 2021103106, GN, OFCL,  48,     ,      ,   0,   48, PPP, genFcst, , ,  0, 031, 
EP, 18, 2021103106, GN, OFCL, 120,     ,      ,  10,  120, PPP, genFcst, , ,  0, 031, 
EP, 18, 2021103106, GN, OFCL, 168,     ,      ,  20,  168, PPP, genFcst, , ,  0, 031, 
EP, 18, 2021103112, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 031, 
EP, 18, 2021103112, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 031, 
EP, 18, 2021103112, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 031, 
EP, 18, 2021103118, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 031, 
EP, 18, 2021103118, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 031, 
EP, 18, 2021103118, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 031, 
EP, 18, 2021110100, GN, OFCL,  48,     ,      ,   0,   48, BJR, genFcst, , ,  0, 031, 
EP, 18, 2021110100, GN, OFCL, 120,     ,      ,  10,  120, BJR, genFcst, , ,  0, 031, 
EP, 18, 2021110100, GN, OFCL, 168,     ,      ,  20,  168, BJR, genFcst, , ,  0, 031, 
EP, 18, 2021110106, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 031, 
EP, 18, 2021110106, GN, OFCL, 120,     ,      ,  10,  120, JLB, genFcst, , ,  0, 031, 
EP, 18, 2021110106, GN, OFCL, 168,     ,      ,  30,  168, JLB, genFcst, , ,  0, 031, 
EP, 18, 2021110112, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 031, 
EP, 18, 2021110112, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 031, 
EP, 18, 2021110112, GN, OFCL, 168,     ,      ,  30,  168, SRS, genFcst, , ,  0, 031, 
EP, 18, 2021110118, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 031, 
EP, 18, 2021110118, GN, OFCL, 120,     ,      ,  10,  120, ASL, genFcst, , ,  0, 031, 
EP, 18, 2021110118, GN, OFCL, 168,     ,      ,  30,  168, ASL, genFcst, , ,  0, 031, 
EP, 18, 2021110200, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 031, 
EP, 18, 2021110200, GN, OFCL, 120,     ,      ,  20,  120, DPB, genFcst, , ,  0, 031, 
EP, 18, 2021110200, GN, OFCL, 168,     ,      ,  30,  168, DPB, genFcst, , ,  0, 031, 
EP, 18, 2021110206, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 031, 
EP, 18, 2021110206, GN, OFCL, 120,     ,      ,  20,  120, RJP, genFcst, , ,  0, 031, 
EP, 18, 2021110206, GN, OFCL, 168,     ,      ,  30,  168, RJP, genFcst, , ,  0, 031, 
EP, 18, 2021110212, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 031, 
EP, 18, 2021110212, GN, OFCL, 120,     ,      ,  30,  120, ASL, genFcst, , ,  0, 031, 
EP, 18, 2021110212, GN, OFCL, 168,     ,      ,  40,  168, ASL, genFcst, , ,  0, 031, 
EP, 18, 2021110218, GN, OFCL,  48,     ,      ,  10,   48, ASL, genFcst, , ,  0, 031, 
EP, 18, 2021110218, GN, OFCL, 120,     ,      ,  30,  120, ASL, genFcst, , ,  0, 031, 
EP, 18, 2021110218, GN, OFCL, 168,     ,      ,  40,  168, ASL, genFcst, , ,  0, 031, 
EP, 18, 2021110300, GN, OFCL,  48,     ,      ,  20,   48, DPB, genFcst, , ,  0, 031, 
EP, 18, 2021110300, GN, OFCL, 120,     ,      ,  50,  120, DPB, genFcst, , ,  0, 031, 
EP, 18, 2021110300, GN, OFCL, 168,     ,      ,  60,  168, DPB, genFcst, , ,  0, 031, 
EP, 18, 2021110306, GN, OFCL,  48,     ,      ,  30,   48, RJP, genFcst, , ,  0, 031, 
EP, 18, 2021110306, GN, OFCL, 120,     ,      ,  50,  120, RJP, genFcst, , ,  0, 031, 
EP, 18, 2021110306, GN, OFCL, 168,     ,      ,  60,  168, RJP, genFcst, , ,  0, 031, 
EP, 18, 2021110306, IN, IVCN,  12,     ,      ,  68,  28,   ,    5, 
EP, 18, 2021110306, IN, IVCN,  24,     ,      ,  68,  29,   ,    8, 
EP, 18, 2021110306, IN, IVCN,  36,     ,      ,  68,  27,   ,    9, 
EP, 18, 2021110306, IN, IVCN,  48,     ,      ,  68,  27,   ,   10, 
EP, 18, 2021110306, IN, IVCN,  60,     ,      ,  68,  27,   ,   11, 
EP, 18, 2021110306, IN, IVCN,  72,     ,      ,  68,  28,   ,   13, 
EP, 18, 2021110306, IN, IVCN,  96,     ,      ,  68,  30,   ,   12, 
EP, 18, 2021110306, IN, IVCN, 120,     ,      ,  68,  33,   ,   15, 
EP, 18, 2021110306, RI, EIOB,  12,  85N,  862W,   0,  20,  45,    ,            0,           12, 
EP, 18, 2021110306, RI, EIOB,  24,  85N,  862W,   0,  25,  50,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOB,  24,  85N,  862W,   0,  30,  55,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOB,  24,  85N,  862W,   0,  35,  60,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOB,  24,  85N,  862W,   0,  40,  65,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOB,  36,  85N,  862W,   0,  45,  70,    ,            0,           36, 
EP, 18, 2021110306, RI, EIOB,  48,  85N,  862W,   0,  55,  80,    ,            0,           48, 
EP, 18, 2021110306, RI, EIOB,  72,  85N,  862W,   0,  65,  90,    ,            0,           72, 
EP, 18, 2021110306, RI, EIOC,  12,  85N,  862W,   3,  20,  45,    ,            0,           12, 
EP, 18, 2021110306, RI, EIOC,  24,  85N,  862W,  19,  25,  50,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOC,  24,  85N,  862W,   8,  30,  55,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOC,  24,  85N,  862W,   5,  35,  60,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOC,  24,  85N,  862W,   1,  40,  65,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOC,  36,  85N,  862W,   3,  45,  70,    ,            0,           36, 
EP, 18, 2021110306, RI, EIOC,  48,  85N,  862W,   2,  55,  80,    ,            0,           48, 
EP, 18, 2021110306, RI, EIOC,  72,  85N,  862W,  11,  65,  90,    ,            0,           72, 
EP, 18, 2021110306, RI, EIOD,  12,  85N,  862W,   0,  20,  45,    ,            0,           12, 
EP, 18, 2021110306, RI, EIOD,  24,  85N,  862W,  15,  25,  50,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOD,  24,  85N,  862W,   0,  30,  55,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOD,  24,  85N,  862W,   0,  35,  60,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOD,  24,  85N,  862W,   0,  40,  65,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOD,  36,  85N,  862W,   0,  45,  70,    ,            0,           36, 
EP, 18, 2021110306, RI, EIOD,  48,  85N,  862W,   0,  55,  80,    ,            0,           48, 
EP, 18, 2021110306, RI, EIOD,  72,  85N,  862W,   0,  65,  90,    ,            0,           72, 
EP, 18, 2021110306, RI, EIOL,  12,  85N,  862W,   9,  20,  45,    ,            0,           12, 
EP, 18, 2021110306, RI, EIOL,  24,  85N,  862W,  41,  25,  50,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOL,  24,  85N,  862W,  25,  30,  55,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOL,  24,  85N,  862W,  15,  35,  60,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOL,  24,  85N,  862W,   2,  40,  65,    ,            0,           24, 
EP, 18, 2021110306, RI, EIOL,  36,  85N,  862W,   9,  45,  70,    ,            0,           36, 
EP, 18, 2021110306, RI, EIOL,  48,  85N,  862W,   5,  55,  80,    ,            0,           48, 
EP, 18, 2021110306, RI, EIOL,  72,  85N,  862W,  33,  65,  90,    ,            0,           72, 
EP, 18, 2021110306, RI, RIOB,  12,  85N,  862W,   0,  20,  45,    ,            0,           12, 
EP, 18, 2021110306, RI, RIOB,  24,  85N,  862W,   0,  25,  50,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOB,  24,  85N,  862W,   0,  30,  55,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOB,  24,  85N,  862W,   0,  35,  60,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOB,  24,  85N,  862W,   0,  40,  65,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOB,  36,  85N,  862W,   0,  45,  70,    ,            0,           36, 
EP, 18, 2021110306, RI, RIOB,  48,  85N,  862W,   0,  55,  80,    ,            0,           48, 
EP, 18, 2021110306, RI, RIOB,  72,  85N,  862W,   0,  65,  90,    ,            0,           72, 
EP, 18, 2021110306, RI, RIOC,  12,  85N,  862W,   3,  20,  45,    ,            0,           12, 
EP, 18, 2021110306, RI, RIOC,  24,  85N,  862W,  15,  25,  50,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOC,  24,  85N,  862W,   7,  30,  55,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOC,  24,  85N,  862W,   3,  35,  60,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOC,  24,  85N,  862W,   0,  40,  65,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOC,  36,  85N,  862W,   1,  45,  70,    ,            0,           36, 
EP, 18, 2021110306, RI, RIOC,  48,  85N,  862W,   0,  55,  80,    ,            0,           48, 
EP, 18, 2021110306, RI, RIOC,  72,  85N,  862W,  10,  65,  90,    ,            0,           72, 
EP, 18, 2021110306, RI, RIOD,  12,  85N,  862W,   0,  20,  45,    ,            0,           12, 
EP, 18, 2021110306, RI, RIOD,  24,  85N,  862W,  15,  25,  50,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOD,  24,  85N,  862W,   0,  30,  55,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOD,  24,  85N,  862W,   0,  35,  60,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOD,  24,  85N,  862W,   0,  40,  65,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOD,  36,  85N,  862W,   0,  45,  70,    ,            0,           36, 
EP, 18, 2021110306, RI, RIOD,  48,  85N,  862W,   0,  55,  80,    ,            0,           48, 
EP, 18, 2021110306, RI, RIOD,  72,  85N,  862W,   0,  65,  90,    ,            0,           72, 
EP, 18, 2021110306, RI, RIOL,  12,  85N,  862W,   8,  20,  45,    ,            0,           12, 
EP, 18, 2021110306, RI, RIOL,  24,  85N,  862W,  30,  25,  50,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOL,  24,  85N,  862W,  20,  30,  55,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOL,  24,  85N,  862W,   9,  35,  60,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOL,  24,  85N,  862W,   1,  40,  65,    ,            0,           24, 
EP, 18, 2021110306, RI, RIOL,  36,  85N,  862W,   2,  45,  70,    ,            0,           36, 
EP, 18, 2021110306, RI, RIOL,  48,  85N,  862W,   1,  55,  80,    ,            0,           48, 
EP, 18, 2021110306, RI, RIOL,  72,  85N,  862W,  30,  65,  90,    ,            0,           72, 
EP, 18, 2021110312, GN, OFCL,  48,     ,      ,  50,   48, SRS, genFcst, , ,  0, 031, 
EP, 18, 2021110312, GN, OFCL, 120,     ,      ,  70,  120, SRS, genFcst, , ,  0, 031, 
