EP, 19, 2021110106, GN, OFCL,  48,     ,      ,   0,   48, JLB, genFcst, , ,  0, 032, 
EP, 19, 2021110106, GN, OFCL, 120,     ,      ,  10,  120, JLB, genFcst, , ,  0, 032, 
EP, 19, 2021110106, GN, OFCL, 168,     ,      ,  20,  168, JLB, genFcst, , ,  0, 032, 
EP, 19, 2021110112, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 032, 
EP, 19, 2021110112, GN, OFCL, 120,     ,      ,  10,  120, SRS, genFcst, , ,  0, 032, 
EP, 19, 2021110112, GN, OFCL, 168,     ,      ,  20,  168, SRS, genFcst, , ,  0, 032, 
EP, 19, 2021110118, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110118, GN, OFCL, 120,     ,      ,  20,  120, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110118, GN, OFCL, 168,     ,      ,  30,  168, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110200, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 032, 
EP, 19, 2021110200, GN, OFCL, 120,     ,      ,  20,  120, DPB, genFcst, , ,  0, 032, 
EP, 19, 2021110200, GN, OFCL, 168,     ,      ,  30,  168, DPB, genFcst, , ,  0, 032, 
EP, 19, 2021110206, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 032, 
EP, 19, 2021110206, GN, OFCL, 120,     ,      ,  20,  120, RJP, genFcst, , ,  0, 032, 
EP, 19, 2021110206, GN, OFCL, 168,     ,      ,  30,  168, RJP, genFcst, , ,  0, 032, 
EP, 19, 2021110212, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110212, GN, OFCL, 120,     ,      ,  20,  120, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110212, GN, OFCL, 168,     ,      ,  30,  168, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110218, GN, OFCL,  48,     ,      ,   0,   48, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110218, GN, OFCL, 120,     ,      ,  20,  120, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110218, GN, OFCL, 168,     ,      ,  30,  168, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110300, GN, OFCL,  48,     ,      ,   0,   48, DPB, genFcst, , ,  0, 032, 
EP, 19, 2021110300, GN, OFCL, 120,     ,      ,  30,  120, DPB, genFcst, , ,  0, 032, 
EP, 19, 2021110300, GN, OFCL, 168,     ,      ,  40,  168, DPB, genFcst, , ,  0, 032, 
EP, 19, 2021110306, GN, OFCL,  48,     ,      ,   0,   48, RJP, genFcst, , ,  0, 032, 
EP, 19, 2021110306, GN, OFCL, 120,     ,      ,  30,  120, RJP, genFcst, , ,  0, 032, 
EP, 19, 2021110306, GN, OFCL, 168,     ,      ,  40,  168, RJP, genFcst, , ,  0, 032, 
EP, 19, 2021110312, GN, OFCL,  48,     ,      ,   0,   48, SRS, genFcst, , ,  0, 032, 
EP, 19, 2021110312, GN, OFCL, 120,     ,      ,  30,  120, SRS, genFcst, , ,  0, 032, 
EP, 19, 2021110312, GN, OFCL, 168,     ,      ,  40,  168, SRS, genFcst, , ,  0, 032, 
EP, 19, 2021110318, GN, OFCL,  48,     ,      ,  10,   48, PPP, genFcst, , ,  0, 032, 
EP, 19, 2021110318, GN, OFCL, 120,     ,      ,  40,  120, PPP, genFcst, , ,  0, 032, 
EP, 19, 2021110318, GN, OFCL, 168,     ,      ,  50,  168, PPP, genFcst, , ,  0, 032, 
EP, 19, 2021110400, GN, OFCL,  48,     ,      ,  20,   48, DPB, genFcst, , ,  0, 032, 
EP, 19, 2021110400, GN, OFCL, 120,     ,      ,  50,  120, DPB, genFcst, , ,  0, 032, 
EP, 19, 2021110400, GN, OFCL, 168,     ,      ,  60,  168, DPB, genFcst, , ,  0, 032, 
EP, 19, 2021110406, GN, OFCL,  48,     ,      ,  30,   48, RJP, genFcst, , ,  0, 032, 
EP, 19, 2021110406, GN, OFCL, 120,     ,      ,  50,  120, RJP, genFcst, , ,  0, 032, 
EP, 19, 2021110406, GN, OFCL, 168,     ,      ,  60,  168, RJP, genFcst, , ,  0, 032, 
EP, 19, 2021110412, GN, OFCL,  48,     ,      ,  30,   48, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110412, GN, OFCL, 120,     ,      ,  50,  120, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110412, GN, OFCL, 168,     ,      ,  60,  168, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110418, GN, OFCL,  48,     ,      ,  40,   48, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110418, GN, OFCL, 120,     ,      ,  50,  120, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110418, GN, OFCL, 168,     ,      ,  50,  168, ASL, genFcst, , ,  0, 032, 
EP, 19, 2021110418, GN, OFCL,   0,     ,      , 100,    0,    , invest, 2021110418, ep942021,  1, 032, 
EP, 19, 2021110418, IN, IVCN,  12,     ,      ,  68,  19,   ,    5, 
EP, 19, 2021110418, IN, IVCN,  24,     ,      ,  68,  19,   ,    6, 
EP, 19, 2021110418, IN, IVCN,  36,     ,      ,  68,  18,   ,    8, 
EP, 19, 2021110418, IN, IVCN,  48,     ,      ,  68,  19,   ,    9, 
EP, 19, 2021110418, RI, DTPE,  12, 115N, 1065W,   0,  20,  45,    ,            0,           12, 
EP, 19, 2021110418, RI, DTPE,  24, 115N, 1065W,   0,  25,  50,    ,            0,           24, 
EP, 19, 2021110418, RI, DTPE,  24, 115N, 1065W,   0,  30,  55,    ,            0,           24, 
EP, 19, 2021110418, RI, DTPE,  24, 115N, 1065W,   0,  35,  60,    ,            0,           24, 
EP, 19, 2021110418, RI, DTPE,  24, 115N, 1065W,   0,  40,  65,    ,            0,           24, 
EP, 19, 2021110418, RI, DTPE,  36, 115N, 1065W,   0,  45,  70,    ,            0,           36, 
EP, 19, 2021110418, RI, DTPE,  48, 115N, 1065W,   0,  55,  80,    ,            0,           48, 
EP, 19, 2021110418, RI, DTPE,  72, 115N, 1065W,   0,  65,  90,    ,            0,           72, 
EP, 19, 2021110418, RI, DTPE,  12, 115N, 1065W,   0,  20,  40,    ,            0,           12, 
EP, 19, 2021110418, RI, DTPE,  24, 115N, 1065W,   0,  25,  45,    ,            0,           24, 
EP, 19, 2021110418, RI, DTPE,  24, 115N, 1065W,   0,  30,  50,    ,            0,           24, 
EP, 19, 2021110418, RI, DTPE,  24, 115N, 1065W,   0,  35,  55,    ,            0,           24, 
EP, 19, 2021110418, RI, DTPE,  24, 115N, 1065W,   0,  40,  60,    ,            0,           24, 
EP, 19, 2021110418, RI, DTPE,  36, 115N, 1065W,   0,  45,  65,    ,            0,           36, 
EP, 19, 2021110418, RI, DTPE,  48, 115N, 1065W,   0,  55,  75,    ,            0,           48, 
EP, 19, 2021110418, RI, DTPE,  72, 115N, 1065W,   0,  65,  85,    ,            0,           72, 
EP, 19, 2021110418, RI, RIOB,  12, 115N, 1065W,   0,  20,  40,    ,            0,           12, 
EP, 19, 2021110418, RI, RIOB,  24, 115N, 1065W,   0,  25,  45,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOB,  24, 115N, 1065W,   0,  30,  50,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOB,  24, 115N, 1065W,   0,  35,  55,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOB,  24, 115N, 1065W,   0,  40,  60,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOB,  36, 115N, 1065W,   0,  45,  65,    ,            0,           36, 
EP, 19, 2021110418, RI, RIOB,  48, 115N, 1065W,   0,  55,  75,    ,            0,           48, 
EP, 19, 2021110418, RI, RIOB,  72, 115N, 1065W,   0,  65,  85,    ,            0,           72, 
EP, 19, 2021110418, RI, RIOC,  12, 115N, 1065W,   0,  20,  40,    ,            0,           12, 
EP, 19, 2021110418, RI, RIOC,  24, 115N, 1065W,   3,  25,  45,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOC,  24, 115N, 1065W,   1,  30,  50,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOC,  24, 115N, 1065W,   1,  35,  55,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOC,  24, 115N, 1065W,   0,  40,  60,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOC,  36, 115N, 1065W,   1,  45,  65,    ,            0,           36, 
EP, 19, 2021110418, RI, RIOC,  48, 115N, 1065W,   0,  55,  75,    ,            0,           48, 
EP, 19, 2021110418, RI, RIOC,  72, 115N, 1065W,   2,  65,  85,    ,            0,           72, 
EP, 19, 2021110418, RI, RIOD,  12, 115N, 1065W,   0,  20,  40,    ,            0,           12, 
EP, 19, 2021110418, RI, RIOD,  24, 115N, 1065W,   0,  25,  45,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOD,  24, 115N, 1065W,   0,  30,  50,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOD,  24, 115N, 1065W,   0,  35,  55,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOD,  24, 115N, 1065W,   0,  40,  60,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOD,  36, 115N, 1065W,   0,  45,  65,    ,            0,           36, 
EP, 19, 2021110418, RI, RIOD,  48, 115N, 1065W,   0,  55,  75,    ,            0,           48, 
EP, 19, 2021110418, RI, RIOD,  72, 115N, 1065W,   0,  65,  85,    ,            0,           72, 
EP, 19, 2021110418, RI, RIOL,  12, 115N, 1065W,   1,  20,  40,    ,            0,           12, 
EP, 19, 2021110418, RI, RIOL,  24, 115N, 1065W,   9,  25,  45,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOL,  24, 115N, 1065W,   4,  30,  50,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOL,  24, 115N, 1065W,   2,  35,  55,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOL,  24, 115N, 1065W,   0,  40,  60,    ,            0,           24, 
EP, 19, 2021110418, RI, RIOL,  36, 115N, 1065W,   4,  45,  65,    ,            0,           36, 
EP, 19, 2021110418, RI, RIOL,  48, 115N, 1065W,   1,  55,  75,    ,            0,           48, 
EP, 19, 2021110418, RI, RIOL,  72, 115N, 1065W,   5,  65,  85,    ,            0,           72, 
EP, 19, 2021110500, IN, IVCN,  12,     ,      ,  68,  21,   ,    5, 
EP, 19, 2021110500, IN, IVCN,  24,     ,      ,  68,  22,   ,    7, 
EP, 19, 2021110500, IN, IVCN,  36,     ,      ,  68,  23,   ,    9, 
EP, 19, 2021110500, IN, IVCN,  48,     ,      ,  68,  29,   ,   11, 
EP, 19, 2021110500, IN, IVCN,  60,     ,      ,  68,  32,   ,   12, 
EP, 19, 2021110500, IN, IVCN,  72,     ,      ,  68,  36,   ,   14, 
EP, 19, 2021110500, IN, IVCN,  96,     ,      ,  68,  38,   ,   11, 
EP, 19, 2021110500, IN, IVCN, 120,     ,      ,  68,  33,   ,    8, 
EP, 19, 2021110500, RI, EIOB,  12, 119N, 1070W,   0,  20,  40,    ,            0,           12, 
EP, 19, 2021110500, RI, EIOB,  24, 119N, 1070W,   0,  25,  45,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOB,  24, 119N, 1070W,   0,  30,  50,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOB,  24, 119N, 1070W,   0,  35,  55,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOB,  24, 119N, 1070W,   0,  40,  60,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOB,  36, 119N, 1070W,   0,  45,  65,    ,            0,           36, 
EP, 19, 2021110500, RI, EIOB,  48, 119N, 1070W,   0,  55,  75,    ,            0,           48, 
EP, 19, 2021110500, RI, EIOB,  72, 119N, 1070W,   0,  65,  85,    ,            0,           72, 
EP, 19, 2021110500, RI, EIOC,  12, 119N, 1070W,   0,  20,  40,    ,            0,           12, 
EP, 19, 2021110500, RI, EIOC,  24, 119N, 1070W,   1,  25,  45,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOC,  24, 119N, 1070W,   0,  30,  50,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOC,  24, 119N, 1070W,   0,  35,  55,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOC,  24, 119N, 1070W,   0,  40,  60,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOC,  36, 119N, 1070W,   1,  45,  65,    ,            0,           36, 
EP, 19, 2021110500, RI, EIOC,  48, 119N, 1070W,   1,  55,  75,    ,            0,           48, 
EP, 19, 2021110500, RI, EIOC,  72, 119N, 1070W,   2,  65,  85,    ,            0,           72, 
EP, 19, 2021110500, RI, EIOD,  12, 119N, 1070W,   0,  20,  40,    ,            0,           12, 
EP, 19, 2021110500, RI, EIOD,  24, 119N, 1070W,   0,  25,  45,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOD,  24, 119N, 1070W,   0,  30,  50,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOD,  24, 119N, 1070W,   0,  35,  55,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOD,  24, 119N, 1070W,   0,  40,  60,    ,            0,           24, 
EP, 19, 2021110500, RI, EIOD,  36, 119N, 1070W,   0,  45,  65,    ,            0,           36, 
EP, 19, 2021110500, RI, EIOD,  48, 119N, 1070W,   0,  55,  75,    ,            0,           48, 
