AL, 05, 1856082500,   , BEST,   0, 210N,  698W,  70,     , HU, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856082506,   , BEST,   0, 210N,  708W,  70,     , HU, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856082512,   , BEST,   0, 211N,  719W,  70,     , HU, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856082518,   , BEST,   0, 212N,  728W,  70,     , HU, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856082600,   , BEST,   0, 216N,  739W,  70,     , HU, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856082606,   , BEST,   0, 217N,  748W,  70,     , HU, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856082612,   , BEST,   0, 220N,  759W,  80,     , HU, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856082618,   , BEST,   0, 222N,  766W,  80,     , HU, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856082700,   , BEST,   0, 224N,  776W,  80,     , HU, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856082706,   , BEST,   0, 226N,  786W,  80,     , HU, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
AL, 05, 1856082712,   , BEST,   0, 227N,  795W,  90,     , HU, , , , , , , , , , , , , ,    UNN,  34,    ,     ,     ,     ,     ,  50,    ,     ,     ,     ,     ,  64,    ,     ,     ,     ,     AMED
